Date	Open	High	Low	Close	Volume
20200203	154.279999	157.139999	154.000000	154.770004	154.426498
20200204	155.910004	157.619995	155.630005	155.990005	155.643784
20200205	156.600006	157.759995	156.470001	157.259995	156.910950
20200206	157.759995	157.970001	155.190002	155.470001	155.124939
20200207	155.300003	155.759995	154.020004	154.970001	154.626053
20200210	154.080002	155.649994	153.830002	155.589996	155.244659
20200211	156.220001	156.660004	155.520004	155.949997	155.603867
20200212	156.500000	158.940002	155.639999	158.660004	158.307861
20200213	158.429993	160.240005	157.770004	159.850006	159.495224
20200214	159.309998	160.119995	157.460007	158.029999	157.679245
20200218	158.300003	162.350006	157.750000	161.710007	161.351089
20200219	162.020004	164.380005	161.570007	163.789993	163.426468
20200220	163.789993	166.029999	163.160004	165.729996	165.362152
20200221	165.889999	167.039993	165.029999	166.880005	166.509613
20200224	163.529999	166.509995	163.529999	164.860001	164.494095
20200225	165.669998	166.899994	161.050003	161.500000	161.141556
20200226	162.050003	164.490005	161.210007	162.669998	162.308960
20200227	161.149994	162.509995	157.440002	157.660004	157.310074
20200228	155.729996	156.220001	147.559998	150.300003	149.966415
20200302	150.360001	159.750000	150.250000	159.600006	159.245773
20200303	159.520004	163.279999	154.360001	156.419998	156.072830
20200304	157.889999	160.509995	156.509995	160.160004	159.804535
20200305	158.279999	161.020004	155.500000	157.479996	157.130463
20200306	154.259995	158.919998	152.169998	158.380005	158.028488
20200309	150.789993	162.039993	150.050003	159.279999	158.926483
20200310	162.630005	167.440002	160.119995	166.250000	165.881012
20200311	163.089996	165.729996	156.690002	157.630005	157.280151
20200312	152.009995	157.070007	140.149994	141.970001	141.654892
20200313	148.710007	148.990005	138.490005	145.809998	145.486374
20200316	134.190002	139.600006	125.000000	136.100006	135.797928
20200317	137.899994	156.479996	137.589996	154.529999	154.187027
20200318	145.500000	157.649994	137.899994	148.740005	148.409882
20200319	149.169998	151.300003	141.440002	143.000000	142.682617
20200320	142.389999	144.910004	135.039993	140.130005	139.818985
20200323	139.880005	145.289993	137.020004	139.869995	139.559555
20200324	145.169998	149.669998	137.710007	141.820007	141.505234
20200325	141.539993	143.419998	136.690002	137.229996	136.925415
20200326	136.899994	142.869995	135.259995	140.520004	140.208115
20200327	138.169998	147.720001	137.520004	146.119995	145.795685
20200330	149.350006	149.789993	146.270004	146.770004	146.444244
20200331	146.190002	156.880005	146.190002	151.009995	150.674835
20200401	148.240005	157.979996	148.240005	153.160004	152.820068
20200402	153.500000	161.330002	152.830002	159.699997	159.345551
20200403	158.600006	162.800003	158.600006	162.199997	161.839996
20200406	166.169998	170.130005	162.419998	169.649994	169.649994
20200407	168.669998	172.029999	165.369995	169.179993	169.179993
20200408	169.740005	172.639999	166.119995	169.220001	169.220001
20200409	167.110001	171.289993	166.649994	169.240005	169.240005
20200413	170.160004	172.960007	167.630005	171.570007	171.570007
20200414	176.899994	178.839996	175.130005	178.070007	178.070007
20200415	177.229996	177.839996	171.820007	176.110001	176.110001
20200416	178.169998	183.949997	177.570007	180.130005	180.130005
20200417	180.250000	182.740005	177.380005	182.110001	182.110001
20200420	181.380005	181.929993	178.029999	179.000000	179.000000
20200421	178.500000	179.979996	176.000000	178.740005	178.740005
20200422	180.289993	182.130005	178.809998	179.149994	179.149994
20200423	177.139999	179.910004	176.360001	176.500000	176.500000
20200424	178.059998	178.389999	175.550003	175.979996	175.979996
20200427	176.419998	182.589996	174.080002	179.490005	179.490005
20200428	181.000000	183.320007	178.009995	178.429993	178.429993
20200429	179.179993	179.850006	174.580002	174.800003	174.800003
20200430	173.639999	177.000000	173.000000	175.300003	175.300003
20200501	174.220001	176.429993	172.660004	173.000000	173.000000
20200504	173.740005	175.800003	172.669998	175.440002	175.440002
20200505	176.000000	176.850006	174.059998	174.869995	174.869995
20200506	175.839996	176.910004	173.380005	173.899994	173.899994
20200507	175.250000	175.789993	173.860001	175.169998	175.169998
