Date	Open	High	Low	Close	Volume
20200203	111.190002	111.930000	110.050003	111.830002	110.976105
20200204	112.400002	113.000000	111.169998	111.260002	110.410461
20200205	111.730003	113.000000	111.500000	111.980003	111.124962
20200206	112.589996	113.000000	111.099998	111.690002	110.837173
20200207	111.839996	112.230003	111.290001	111.449997	110.599007
20200210	111.300003	111.650002	110.769997	111.620003	110.767708
20200211	112.089996	112.980003	111.550003	112.349998	111.492134
20200212	112.519997	112.919998	110.930000	111.150002	110.301300
20200213	110.830002	112.739998	110.620003	112.160004	111.303589
20200214	112.279999	112.849998	111.709999	112.849998	111.988312
20200218	112.690002	112.849998	111.489998	112.589996	111.730301
20200219	113.000000	113.970001	112.709999	113.480003	112.613510
20200220	113.070000	113.320000	112.230003	112.839996	111.978386
20200221	112.839996	113.580002	112.209999	113.150002	112.286026
20200224	111.809998	113.110001	111.449997	112.339996	111.482208
20200225	112.730003	112.889999	109.970001	110.400002	109.557022
20200226	111.089996	111.809998	109.930000	109.930000	109.090614
20200227	109.019997	113.250000	108.760002	110.970001	110.122673
20200228	109.279999	109.300003	103.620003	106.059998	105.250160
20200302	106.980003	112.209999	106.489998	112.110001	111.253967
20200303	112.290001	112.959999	107.419998	108.650002	107.820389
20200304	110.379997	115.489998	110.379997	115.480003	114.598236
20200305	118.300003	118.580002	114.110001	115.680000	114.796707
20200306	116.839996	116.839996	108.720001	112.019997	111.164650
20200309	109.040001	112.000000	107.309998	109.839996	109.001297
20200310	113.000000	113.220001	102.750000	106.339996	105.528023
20200311	104.589996	104.589996	97.019997	99.730003	98.968498
20200312	93.650002	94.000000	88.059998	90.410004	89.719666
20200313	96.800003	102.550003	90.300003	96.769997	96.031097
20200316	88.699997	91.070000	83.260002	86.389999	85.730354
20200317	88.620003	89.639999	80.120003	86.209999	85.551727
20200318	81.800003	82.980003	74.669998	77.459999	76.868538
20200319	76.830002	84.400002	73.470001	79.309998	78.704414
20200320	81.040001	81.779999	73.470001	75.239998	74.665489
20200323	74.059998	80.849998	73.209999	75.139999	74.566254
20200324	78.209999	79.529999	74.779999	79.279999	78.674644
20200325	78.230003	81.070000	76.919998	79.019997	78.416626
20200326	80.519997	91.489998	80.330002	88.970001	88.290657
20200327	85.400002	87.459999	82.370003	83.080002	82.445633
20200330	83.180000	84.220001	80.769997	83.059998	82.425781
20200331	81.440002	81.790001	79.070000	80.300003	79.686859
20200401	76.290001	79.000000	74.110001	78.769997	78.168533
20200402	77.410004	79.430000	75.940002	77.449997	76.858612
20200403	76.919998	77.430000	73.019997	73.339996	72.779999
20200406	75.790001	79.940002	74.589996	78.690002	78.690002
20200407	83.320000	84.510002	81.120003	83.410004	83.410004
20200408	84.000000	89.000000	84.000000	87.839996	87.839996
20200409	89.000000	93.139999	88.870003	89.769997	89.769997
20200413	89.769997	89.980003	85.410004	86.430000	86.430000
20200414	87.500000	90.519997	87.099998	90.099998	90.099998
20200415	86.489998	89.519997	86.269997	89.050003	89.050003
20200416	89.139999	91.500000	88.089996	90.750000	90.750000
20200417	93.000000	95.870003	92.730003	95.400002	95.400002
20200420	94.199997	96.300003	93.500000	95.029999	95.029999
20200421	93.000000	95.410004	92.550003	94.459999	94.459999
20200422	100.040001	103.599998	95.517197	98.589996	98.589996
