Date	Open	High	Low	Close	Volume
20200203	29.410000	29.940001	29.110001	29.150000	29.150000
20200204	29.440001	29.799999	29.350000	29.740000	29.740000
20200205	30.110001	30.840000	30.070000	30.629999	30.629999
20200206	30.809999	30.879999	29.910000	30.049999	30.049999
20200207	29.900000	30.070000	29.600000	29.790001	29.790001
20200210	29.660000	29.860001	29.410000	29.830000	29.830000
20200211	30.000000	30.430000	29.719999	30.209999	30.209999
20200212	30.580000	30.600000	29.850000	30.350000	30.350000
20200213	30.240000	30.510000	30.020000	30.330000	30.330000
20200214	30.420000	30.480000	30.010000	30.209999	30.209999
20200218	30.150000	30.580000	30.129999	30.299999	30.299999
20200219	30.299999	30.770000	30.110001	30.480000	30.480000
20200220	29.820000	30.090000	29.379999	29.980000	29.980000
20200221	29.809999	29.889999	29.120001	29.209999	29.209999
20200224	28.510000	28.660000	27.959999	28.309999	28.309999
20200225	28.340000	28.500000	27.040001	27.420000	27.420000
20200226	27.629999	28.330000	26.400000	26.469999	26.469999
20200227	25.389999	25.389999	23.889999	24.670000	24.670000
20200228	24.139999	25.900000	24.000000	25.700001	25.700001
20200302	25.889999	26.430000	24.940001	26.400000	26.400000
20200303	26.170000	26.930000	25.620001	26.240000	26.240000
20200304	26.480000	26.520000	25.760000	26.510000	26.510000
20200305	25.740000	25.969999	24.980000	25.230000	25.230000
20200306	24.340000	25.559999	24.250000	25.440001	25.440001
20200309	23.940001	24.780001	23.600000	23.650000	23.650000
20200310	24.480000	25.090000	23.530001	25.080000	25.080000
20200311	24.410000	24.790001	23.809999	24.059999	24.059999
20200312	22.610001	22.770000	20.879999	22.280001	22.280001
20200313	23.360001	24.040001	20.879999	22.889999	22.889999
20200316	19.870001	21.240000	19.290001	20.629999	20.629999
20200317	21.160000	21.600000	19.750000	21.510000	21.510000
20200318	20.110001	20.809999	17.700001	19.879999	19.879999
20200319	19.500000	21.770000	19.240000	21.219999	21.219999
20200320	21.400000	21.969999	18.570000	18.760000	18.760000
20200323	19.230000	19.230000	17.120001	18.490000	18.490000
20200324	19.450001	21.100000	18.850000	20.030001	20.030001
20200325	20.250000	22.200001	18.799999	21.059999	21.059999
20200326	21.590000	22.080000	20.070000	20.930000	20.930000
20200327	19.980000	20.490000	18.930000	19.030001	19.030001
20200330	18.790001	20.170000	18.100000	20.010000	20.010000
20200331	20.120001	20.459999	19.370001	19.440001	19.440001
20200401	18.760000	20.010000	18.549999	19.450001	19.450001
20200402	19.180000	20.049999	18.459999	18.680000	18.680000
20200403	18.549999	18.920000	17.690001	18.360001	18.360001
20200406	19.180000	20.129999	19.000000	19.650000	19.650000
20200407	20.900000	21.750000	20.520000	20.670000	20.670000
20200408	20.840000	22.059999	20.639999	21.580000	21.580000
20200409	22.270000	22.750000	21.990000	22.320000	22.320000
20200413	22.000000	22.299999	20.889999	21.990000	21.990000
20200414	22.049999	22.790001	22.000000	22.299999	22.299999
20200415	21.330000	21.570000	20.930000	21.350000	21.350000
20200416	21.410000	21.610001	20.639999	21.469999	21.469999
20200417	22.110001	22.430000	21.830000	22.139999	22.139999
20200420	21.520000	22.320000	21.459999	21.700001	21.700001
20200421	21.430000	21.590000	20.770000	20.780001	20.780001
20200422	21.250000	21.389999	20.660000	20.740000	20.740000
