Date	Open	High	Low	Close	Volume
20200203	132.940002	133.800003	132.699997	133.779999	132.293716
20200204	133.630005	134.309998	133.100006	133.100006	131.621277
20200205	134.000000	134.809998	132.990005	134.449997	132.956268
20200206	134.910004	135.509995	133.929993	134.210007	132.718948
20200207	134.490005	134.809998	133.520004	133.610001	132.125610
20200210	133.729996	133.809998	132.919998	133.460007	131.977280
20200211	133.690002	134.270004	133.279999	134.020004	132.531052
20200212	133.809998	134.410004	133.399994	133.750000	132.264053
20200213	133.669998	134.110001	133.070007	133.550003	132.066284
20200214	133.779999	134.490005	133.360001	134.020004	132.531052
20200218	134.539993	135.350006	134.279999	134.649994	133.154053
20200219	134.279999	134.929993	134.020004	134.070007	132.580505
20200220	134.020004	134.259995	132.919998	133.949997	132.461823
20200221	133.990005	135.669998	133.839996	134.960007	133.460617
20200224	134.630005	135.660004	132.779999	132.860001	131.383942
20200225	132.830002	133.270004	128.080002	128.119995	126.696594
20200226	128.369995	129.039993	124.680000	124.730003	123.344269
20200227	124.019997	124.379997	117.930000	118.010002	116.698921
20200228	116.309998	116.309998	110.199997	111.669998	110.429359
20200302	113.070000	116.860001	111.400002	116.639999	115.344139
20200303	116.660004	119.489998	112.059998	113.019997	111.764359
20200304	114.389999	119.349998	114.050003	119.309998	117.984474
20200305	117.309998	117.790001	114.699997	116.260002	114.968369
20200306	112.900002	116.620003	110.570000	116.120003	114.829926
20200309	109.500000	109.500000	101.680000	102.529999	101.390900
20200310	104.510002	108.139999	100.860001	108.010002	106.810020
20200311	106.000000	106.660004	102.599998	104.110001	102.953354
20200312	95.970001	99.190002	87.449997	91.180000	90.167000
20200313	95.169998	96.440002	89.580002	96.440002	96.440002
20200316	81.000000	91.610001	79.919998	83.029999	83.029999
20200317	85.169998	89.610001	83.260002	88.379997	88.379997
20200318	83.839996	83.839996	71.209999	77.000000	77.000000
20200319	76.900002	86.250000	73.820000	85.410004	85.410004
20200320	86.610001	87.669998	81.190002	83.000000	83.000000
20200323	81.360001	84.769997	74.570000	76.809998	76.809998
20200324	80.510002	87.169998	79.139999	86.519997	86.519997
20200325	85.889999	96.709999	84.000000	92.480003	92.480003
20200326	91.690002	99.080002	91.050003	97.980003	97.980003
20200327	94.769997	100.550003	91.279999	97.529999	97.529999
20200330	98.410004	100.260002	96.000000	99.430000	99.430000
20200331	98.139999	99.230003	94.910004	94.970001	94.970001
20200401	92.019997	92.019997	85.529999	88.080002	88.080002
20200402	87.070000	91.980003	86.750000	89.169998	89.169998
20200403	87.820000	89.370003	86.260002	87.129997	87.129997
20200406	91.459999	97.129997	90.930000	96.040001	96.040001
20200407	99.779999	101.489998	97.339996	97.449997	97.449997
20200408	97.860001	104.709999	97.129997	103.839996	103.839996
20200409	104.940002	113.300003	104.940002	111.250000	111.250000
20200413	109.980003	110.309998	107.199997	108.639999	108.639999
20200414	110.459999	111.230003	106.779999	108.339996	108.339996
20200415	105.239998	105.680000	102.680000	104.800003	104.800003
20200416	105.739998	107.360001	101.510002	101.570000	101.570000
20200417	103.889999	106.650002	102.269997	105.849998	105.849998
20200420	103.199997	104.089996	99.550003	100.760002	100.760002
20200421	98.519997	100.279999	98.160004	99.139999	99.139999
20200422	101.300003	101.449997	99.669998	100.190002	100.190002
