Date	Open	High	Low	Close	Volume
20200203	31.980000	32.759998	31.889999	32.169998	31.546778
20200204	32.919998	33.090000	32.250000	33.060001	32.419540
20200205	33.639999	34.950001	33.400002	34.500000	33.831642
20200206	34.740002	34.810001	34.310001	34.630001	33.959126
20200207	35.500000	35.750000	32.470001	32.700001	32.066513
20200210	32.490002	32.590000	31.410000	31.600000	30.987823
20200211	31.760000	32.439999	31.459999	31.889999	31.272203
20200212	32.250000	32.310001	31.480000	31.799999	31.183947
20200213	31.420000	31.540001	30.559999	30.639999	30.046419
20200214	30.650000	31.000000	30.000000	30.820000	30.222933
20200218	30.680000	30.950001	29.620001	29.780001	29.203081
20200219	29.809999	30.080000	29.580000	29.799999	29.222692
20200220	29.580000	30.530001	29.350000	30.400000	29.811069
20200221	30.030001	30.080000	29.000000	29.250000	28.683348
20200224	27.969999	28.299999	27.709999	28.150000	27.604658
20200225	28.260000	28.490000	26.110001	26.180000	25.672823
20200226	26.530001	26.730000	25.250000	25.299999	24.809870
20200227	24.490000	25.110001	23.520000	23.920000	23.456606
20200228	23.049999	24.260000	22.889999	24.110001	23.642925
20200302	24.370001	24.400000	22.420000	23.730000	23.270285
20200303	23.670000	24.430000	21.830000	22.219999	21.789537
20200304	22.520000	22.920000	21.930000	22.330000	21.897408
20200305	21.290001	21.500000	19.799999	19.950001	19.563515
20200306	18.920000	20.090000	18.709999	19.030001	18.661339
20200309	17.360001	18.150000	15.600000	15.640000	15.337011
20200310	16.820000	17.040001	15.110000	16.430000	16.111708
20200311	17.780001	18.010000	16.080000	16.430000	16.111708
20200312	15.150000	15.330000	13.420000	13.430000	13.169825
20200313	14.790000	15.210000	12.970000	15.140000	14.846698
20200316	12.640000	13.300000	10.790000	10.850000	10.639807
20200317	11.350000	11.390000	9.800000	10.000000	9.806273
20200318	9.290000	9.740000	7.900000	9.310000	9.129641
20200319	9.000000	13.300000	8.830000	12.470000	12.228423
20200320	12.950000	13.960000	11.540000	11.670000	11.443921
20200323	11.470000	11.480000	10.270000	10.840000	10.630000
20200324	11.690000	15.680000	11.690000	14.990000	14.990000
20200325	15.000000	16.700001	14.380000	14.500000	14.500000
20200326	15.750000	16.469999	14.750000	15.310000	15.310000
20200327	14.230000	14.820000	13.500000	14.240000	14.240000
20200330	14.000000	14.860000	13.250000	14.440000	14.440000
20200331	14.560000	14.750000	12.780000	13.050000	13.050000
20200401	12.040000	12.180000	11.500000	11.960000	11.960000
20200402	11.690000	13.090000	11.600000	12.490000	12.490000
20200403	12.430000	12.650000	11.350000	11.670000	11.670000
20200406	12.830000	13.870000	12.640000	13.520000	13.520000
20200407	14.850000	15.700000	13.730000	13.910000	13.910000
20200408	14.300000	15.840000	14.150000	15.800000	15.800000
20200409	16.750000	17.719999	15.800000	16.090000	16.090000
20200413	16.100000	16.240000	15.220000	15.590000	15.590000
20200414	15.850000	16.139999	15.180000	15.380000	15.380000
20200415	14.340000	14.870000	13.610000	14.360000	14.360000
20200416	14.510000	14.560000	13.210000	13.570000	13.570000
20200417	14.070000	15.370000	14.070000	15.330000	15.330000
20200420	14.800000	15.460000	14.520000	15.070000	15.070000
20200421	14.450000	14.840000	14.010000	14.410000	14.410000
20200422	14.920000	14.970000	14.530000	14.680000	14.680000
