Date	Open	High	Low	Close	Volume
20200203	76.760002	77.849998	76.589996	77.660004	76.765007
20200204	77.940002	77.940002	75.080002	75.470001	74.600243
20200205	75.760002	77.669998	75.580002	77.330002	76.438805
20200206	77.419998	77.610001	76.220001	76.290001	75.410789
20200207	76.370003	77.320000	76.209999	77.000000	76.112610
20200210	77.209999	78.309998	76.730003	78.199997	77.298775
20200211	78.489998	78.930000	77.940002	78.000000	77.101082
20200212	77.889999	78.089996	77.279999	77.500000	76.606850
20200213	77.669998	77.949997	76.599998	77.370003	76.478348
20200214	77.449997	77.519997	76.910004	77.139999	76.250992
20200218	77.379997	77.570000	76.900002	77.120003	76.231232
20200219	77.160004	78.070000	76.410004	76.639999	75.756760
20200220	76.570000	77.419998	76.510002	77.320000	76.428925
20200221	77.199997	78.529999	77.040001	77.570000	76.676041
20200224	77.750000	77.809998	76.309998	76.320000	75.440445
20200225	76.410004	76.809998	74.760002	75.080002	74.214737
20200226	75.059998	75.849998	74.260002	74.309998	73.453606
20200227	74.010002	74.209999	69.849998	70.250000	69.440399
20200228	68.580002	68.940002	65.260002	67.190002	66.415665
20200302	67.529999	70.470001	67.110001	70.440002	69.628212
20200303	69.809998	71.820000	67.910004	68.300003	67.512878
20200304	68.809998	70.169998	68.139999	70.160004	69.351440
20200305	69.529999	71.070000	68.510002	69.010002	68.214691
20200306	67.449997	68.209999	66.169998	67.589996	66.811050
20200309	65.239998	66.440002	61.759998	61.759998	61.048241
20200310	62.560001	64.050003	60.200001	63.889999	63.153694
20200311	62.080002	62.080002	58.630001	59.740002	59.051525
20200312	56.040001	56.549999	51.279999	52.430000	51.825768
20200313	54.939999	55.349998	49.779999	53.250000	52.636318
20200316	48.470001	51.110001	43.630001	46.150002	45.618145
20200317	47.040001	53.959999	45.549999	51.360001	50.768101
20200318	48.410000	50.820000	45.779999	49.040001	48.474838
20200319	48.509998	49.279999	45.000000	48.759998	48.198059
20200320	48.869999	51.570000	46.560001	46.860001	46.319962
20200323	46.459999	48.419998	44.139999	44.470001	43.957504
20200324	46.330002	51.200001	45.970001	50.380001	49.799393
20200325	50.029999	56.790001	50.029999	53.820000	53.199749
20200326	54.130001	59.549999	53.849998	57.730000	57.064686
20200327	55.099998	57.570000	54.180000	55.360001	54.722000
20200330	55.709999	57.169998	54.430000	56.310001	56.310001
20200331	56.439999	56.439999	54.099998	54.790001	54.790001
20200401	52.270000	54.220001	49.799999	51.270000	51.270000
20200402	50.009998	53.200001	50.009998	51.529999	51.529999
20200403	50.959999	51.930000	48.330002	49.360001	49.360001
20200406	51.599998	55.000000	51.490002	53.169998	53.169998
20200407	55.009998	55.580002	53.299999	54.029999	54.029999
20200408	54.279999	58.320000	53.770000	57.570000	57.570000
20200409	58.320000	61.900002	58.160000	60.270000	60.270000
20200413	59.680000	59.990002	58.009998	59.389999	59.389999
20200414	60.639999	60.919998	58.400002	59.860001	59.860001
20200415	58.480000	59.490002	57.520000	57.880001	57.880001
20200416	58.000000	60.669998	58.000000	59.820000	59.820000
20200417	61.009998	62.410000	59.830002	62.060001	62.060001
20200420	61.299999	61.750000	60.000000	60.009998	60.009998
20200421	59.070000	59.950001	57.369999	58.189999	58.189999
20200422	59.349998	59.549999	58.279999	58.340000	58.340000
