Date	Open	High	Low	Close	Volume
20200203	72.099998	73.339996	71.739998	72.599998	72.118568
20200204	74.540001	74.760002	72.970001	73.239998	72.754318
20200205	74.599998	76.160004	74.540001	76.010002	75.505959
20200206	76.629997	76.629997	74.910004	75.250000	74.750992
20200207	74.940002	74.940002	73.610001	73.769997	73.280807
20200210	73.459999	73.760002	72.769997	73.389999	72.903328
20200211	73.870003	74.669998	73.699997	73.830002	73.340408
20200212	74.550003	75.580002	74.300003	75.400002	74.900002
20200213	74.349998	74.489998	72.389999	73.139999	73.139999
20200214	73.059998	73.510002	72.610001	73.510002	73.510002
20200218	72.260002	72.709999	70.699997	71.440002	71.440002
20200219	71.870003	72.580002	71.580002	71.860001	71.860001
20200220	71.760002	72.820000	71.510002	72.019997	72.019997
20200221	71.470001	72.099998	71.000000	72.089996	72.089996
20200224	69.570000	69.949997	69.000000	69.190002	69.190002
20200225	69.370003	69.690002	66.320000	66.599998	66.599998
20200226	67.269997	68.610001	66.570000	66.629997	66.629997
20200227	65.050003	67.709999	64.370003	64.379997	64.379997
20200228	62.450001	64.220001	62.110001	64.110001	64.110001
20200302	64.540001	66.529999	63.520000	66.300003	66.300003
20200303	66.220001	67.900002	63.209999	63.740002	63.740002
20200304	64.720001	66.940002	64.410004	66.669998	66.669998
20200305	64.510002	66.500000	64.260002	64.730003	64.730003
20200306	62.820000	64.059998	61.220001	62.139999	62.139999
20200309	55.000000	57.000000	50.330002	50.360001	50.360001
20200310	52.520000	53.869999	49.770000	53.860001	53.860001
20200311	51.660000	53.099998	50.939999	52.139999	52.139999
20200312	47.540001	51.860001	45.119999	46.180000	46.180000
20200313	48.799999	50.330002	45.299999	50.330002	50.330002
20200316	44.919998	48.459999	43.439999	46.959999	46.959999
20200317	47.660000	48.000000	45.160000	47.419998	47.419998
20200318	43.990002	44.549999	38.000000	41.139999	41.139999
20200319	40.520000	47.970001	39.299999	46.020000	46.020000
20200320	46.500000	48.119999	43.220001	44.090000	44.090000
20200323	42.840000	43.000000	37.750000	38.080002	38.080002
20200324	40.889999	44.740002	40.160000	44.299999	44.299999
20200325	44.750000	49.939999	44.200001	47.610001	47.610001
20200326	48.689999	49.360001	46.230000	48.799999	48.799999
20200327	46.180000	47.040001	45.099998	45.580002	45.580002
20200330	45.959999	46.980000	45.259998	46.630001	46.630001
20200331	46.310001	48.130001	46.209999	47.650002	47.650002
20200401	44.820000	45.919998	43.549999	45.700001	45.700001
20200402	45.540001	48.639999	45.450001	47.730000	47.730000
20200403	47.779999	48.689999	45.369999	45.720001	45.720001
20200406	48.459999	49.799999	47.830002	49.389999	49.389999
20200407	52.299999	53.410000	50.180000	50.290001	50.290001
20200408	50.639999	52.889999	50.639999	52.099998	52.099998
20200409	53.509998	55.139999	50.549999	51.779999	51.779999
20200413	51.450001	51.599998	50.020000	51.189999	51.189999
20200414	52.320000	52.349998	49.889999	50.490002	50.490002
20200415	48.740002	49.150002	46.580002	47.910000	47.910000
20200416	47.959999	48.259998	46.340000	47.369999	47.369999
20200417	48.980000	50.709999	48.980000	50.540001	50.540001
20200420	49.279999	51.770000	48.639999	50.919998	50.919998
20200421	50.000000	51.459999	49.119999	50.770000	50.770000
20200422	52.340000	52.720001	51.689999	52.110001	52.110001
20200423	52.599998	54.189999	52.599998	52.910000	52.910000
20200424	53.529999	54.189999	52.619999	53.820000	53.820000
20200427	53.990002	56.480000	53.990002	56.029999	56.029999
20200428	57.369999	58.410000	56.180000	57.529999	57.529999
20200429	59.000000	59.660000	58.380001	59.070000	59.070000
20200430	58.139999	58.340000	56.720001	57.029999	57.029999
20200501	55.869999	55.990002	53.380001	53.790001	53.790001
20200504	53.189999	54.320000	52.250000	54.290001	54.290001
20200505	55.450001	55.740002	54.599998	54.700001	54.700001
20200506	54.500000	55.139999	53.770000	54.580002	54.580002
20200507	55.860001	56.250000	55.419998	55.779999	55.779999
