Date	Open	High	Low	Close	Volume
20200203	92.639999	92.769997	91.849998	92.410004	91.849342
20200204	92.019997	92.279999	90.440002	90.599998	90.050316
20200205	90.370003	90.589996	89.779999	90.489998	89.940987
20200206	90.820000	91.330002	90.599998	90.870003	90.318687
20200207	91.110001	91.230003	90.419998	90.580002	90.030441
20200210	90.699997	91.370003	90.599998	91.370003	90.815651
20200211	91.430000	91.750000	91.089996	91.180000	90.626801
20200212	90.779999	91.680000	90.620003	91.260002	90.706322
20200213	91.360001	92.550003	91.000000	92.480003	91.918915
20200214	92.790001	93.809998	92.790001	93.660004	93.091759
20200218	94.129997	94.900002	93.750000	94.809998	94.234779
20200219	94.839996	94.930000	94.300003	94.300003	93.727875
20200220	97.070000	99.419998	94.769997	95.650002	95.069687
20200221	95.720001	97.239998	95.459999	95.959999	95.377800
20200224	95.870003	96.440002	95.110001	95.209999	94.632347
20200225	95.309998	96.169998	93.089996	93.379997	92.813454
20200226	93.440002	94.720001	93.040001	93.459999	92.892967
20200227	93.410004	93.930000	89.459999	89.519997	88.976868
20200228	88.000000	88.000000	84.480003	86.459999	85.935440
20200302	86.610001	93.709999	86.610001	93.620003	93.052002
20200303	93.029999	95.089996	91.599998	92.400002	92.400002
20200304	93.190002	98.639999	93.180000	98.540001	98.540001
20200305	97.250000	98.919998	96.440002	97.440002	97.440002
20200306	95.190002	96.809998	93.300003	96.360001	96.360001
20200309	91.400002	94.589996	90.000000	92.559998	92.559998
20200310	93.339996	94.339996	87.449997	91.139999	91.139999
20200311	89.230003	89.589996	86.260002	87.790001	87.790001
20200312	83.720001	84.449997	73.900002	82.620003	82.620003
20200313	85.889999	88.690002	81.430000	88.529999	88.529999
20200316	81.339996	84.099998	76.470001	77.180000	77.180000
20200317	78.629997	90.160004	78.629997	87.209999	87.209999
20200318	83.199997	88.739998	78.440002	86.250000	86.250000
20200319	86.720001	86.720001	75.459999	77.050003	77.050003
20200320	77.510002	77.750000	67.419998	68.339996	68.339996
20200323	67.690002	67.889999	60.689999	62.230000	62.230000
20200324	64.699997	72.459999	61.959999	71.440002	71.440002
20200325	70.239998	74.550003	68.010002	71.900002	71.900002
20200326	71.989998	79.480003	71.500000	78.739998	78.739998
20200327	76.430000	83.629997	75.419998	80.959999	80.959999
20200330	82.639999	84.000000	79.660004	83.650002	83.650002
20200331	82.550003	82.739998	78.040001	78.209999	78.209999
20200401	75.500000	77.180000	75.000000	75.989998	75.989998
20200402	74.529999	79.889999	74.529999	79.290001	79.290001
20200403	78.199997	79.089996	74.400002	75.059998	75.059998
20200406	78.010002	82.879997	77.129997	82.089996	82.089996
20200407	83.250000	83.989998	79.449997	79.779999	79.779999
20200408	80.239998	84.029999	78.889999	83.349998	83.349998
20200409	84.449997	91.000000	84.139999	90.099998	90.099998
20200413	88.730003	89.800003	85.480003	86.720001	86.720001
20200414	88.900002	91.730003	88.559998	91.400002	91.400002
20200415	89.809998	90.839996	87.419998	88.919998	88.919998
20200416	89.440002	90.309998	88.800003	89.790001	89.790001
20200417	91.489998	92.139999	89.160004	91.559998	91.559998
20200420	92.019997	93.500000	87.529999	87.769997	87.769997
20200421	86.519997	88.430000	86.169998	87.199997	87.199997
20200422	88.500000	89.080002	87.470001	88.010002	88.010002
20200423	87.830002	88.480003	85.139999	86.559998	86.559998
20200424	86.720001	87.180000	84.769997	86.570000	86.570000
20200427	87.010002	87.379997	85.339996	85.570000	85.570000
20200428	86.309998	87.669998	85.720001	86.220001	86.220001
20200429	87.150002	87.150002	82.970001	83.370003	83.370003
20200430	82.830002	83.089996	80.220001	80.699997	80.699997
20200501	80.220001	80.839996	79.330002	79.870003	79.870003
20200504	80.309998	81.279999	79.379997	80.800003	80.800003
20200505	80.769997	82.550003	80.760002	80.989998	80.989998
20200506	80.930000	81.389999	76.169998	76.260002	76.260002
20200507	78.919998	81.330002	77.120003	78.839996	78.839996
