Date	Open	High	Low	Close	Volume
20200203	42.970001	43.520000	42.230000	42.250000	42.139130
20200204	43.009998	43.959999	42.860001	43.470001	43.355930
20200205	44.230000	44.919998	44.139999	44.880001	44.762230
20200206	45.040001	45.360001	43.470001	43.630001	43.515511
20200207	43.400002	43.730000	43.009998	43.610001	43.495560
20200210	43.500000	43.709999	43.009998	43.189999	43.076660
20200211	43.480000	44.240002	43.320000	43.919998	43.804745
20200212	44.200001	44.830002	44.200001	44.310001	44.193726
20200213	44.020000	44.660000	43.970001	44.599998	44.482960
20200214	44.560001	44.880001	43.980000	44.189999	44.074036
20200218	44.110001	44.490002	43.500000	43.790001	43.675091
20200219	43.939999	45.070000	43.820000	44.930000	44.812096
20200220	55.680000	57.299999	54.590000	54.730000	54.586380
20200221	54.520000	54.720001	53.139999	53.349998	53.209999
20200224	50.930000	51.290001	49.930000	50.380001	50.380001
20200225	50.549999	50.959999	48.169998	48.520000	48.520000
20200226	48.619999	49.180000	47.580002	47.770000	47.770000
20200227	46.160000	47.869999	45.660000	45.950001	45.950001
20200228	44.259998	46.090000	44.119999	45.779999	45.779999
20200302	45.580002	47.099998	45.049999	47.029999	47.029999
20200303	46.849998	47.500000	44.400002	45.000000	45.000000
20200304	45.660000	46.049999	44.900002	45.990002	45.990002
20200305	44.180000	44.400002	42.509998	42.860001	42.860001
20200306	40.779999	42.500000	40.380001	42.200001	42.200001
20200309	37.750000	38.950001	36.840000	36.950001	36.950001
20200310	39.040001	39.990002	36.840000	39.639999	39.639999
20200311	38.450001	38.900002	36.400002	36.849998	36.849998
20200312	34.000000	34.380001	30.750000	30.860001	30.860001
20200313	33.180000	37.349998	32.790001	36.110001	36.110001
20200316	30.000000	34.430000	28.389999	29.500000	29.500000
20200317	30.120001	34.169998	28.420000	32.869999	32.869999
20200318	30.280001	31.520000	25.760000	29.360001	29.360001
20200319	28.900000	32.240002	27.469999	30.280001	30.280001
20200320	30.299999	30.870001	28.500000	28.980000	28.980000
20200323	29.049999	29.209999	27.160000	27.270000	27.270000
20200324	29.340000	33.110001	28.709999	32.880001	32.880001
20200325	33.619999	35.430000	32.029999	33.880001	33.880001
20200326	34.480000	36.910000	33.240002	35.790001	35.790001
20200327	33.709999	34.880001	33.049999	33.980000	33.980000
20200330	33.630001	35.810001	33.049999	35.310001	35.310001
20200331	34.869999	35.709999	33.930000	34.320000	34.320000
20200401	32.220001	32.660000	31.410000	31.980000	31.980000
20200402	31.650000	34.360001	31.510000	34.250000	34.250000
20200403	34.110001	34.709999	33.180000	34.290001	34.290001
20200406	36.389999	38.119999	36.310001	37.540001	37.540001
20200407	39.900002	40.160000	37.189999	37.400002	37.400002
20200408	37.869999	40.330002	37.869999	39.919998	39.919998
20200409	40.759998	42.470001	40.759998	41.759998	41.759998
20200413	41.380001	41.590000	39.759998	40.160000	40.160000
20200414	40.889999	41.380001	38.869999	40.520000	40.520000
20200415	37.930000	40.020000	37.759998	39.000000	39.000000
20200416	38.279999	39.590000	37.619999	39.110001	39.110001
20200417	40.880001	40.939999	38.970001	39.869999	39.869999
20200420	38.869999	40.299999	38.529999	39.250000	39.250000
20200421	38.009998	38.919998	37.320000	37.639999	37.639999
20200422	38.709999	39.020000	38.200001	38.630001	38.630001
20200423	39.020000	39.200001	38.060001	38.220001	38.220001
20200424	38.650002	38.930000	38.020000	38.660000	38.660000
20200427	39.180000	40.400002	39.090000	40.110001	40.110001
20200428	41.439999	42.250000	40.689999	40.860001	40.860001
20200429	42.130001	42.500000	41.650002	41.889999	41.889999
20200430	40.959999	41.230000	40.080002	40.610001	40.610001
20200501	39.529999	39.790001	39.080002	39.439999	39.439999
20200504	39.270000	39.349998	38.250000	39.169998	39.169998
20200505	39.910000	40.400002	38.990002	39.049999	39.049999
20200506	39.549999	39.750000	38.139999	38.369999	38.369999
20200507	39.000000	40.279999	38.919998	40.220001	40.220001
