Date	Open	High	Low	Close	Volume
20200203	8.850000	9.140000	8.850000	8.980000	8.980000
20200204	9.080000	9.240000	9.070000	9.180000	9.180000
20200205	8.410000	8.480000	8.260000	8.310000	8.310000
20200206	8.370000	8.380000	8.250000	8.250000	8.250000
20200207	8.210000	8.210000	8.020000	8.110000	8.110000
20200210	8.150000	8.150000	8.050000	8.060000	8.060000
20200211	8.100000	8.150000	8.080000	8.100000	8.100000
20200212	8.140000	8.330000	8.130000	8.240000	8.240000
20200213	8.210000	8.360000	8.210000	8.250000	8.250000
20200214	8.270000	8.270000	8.080000	8.100000	8.100000
20200218	8.120000	8.150000	8.020000	8.060000	8.060000
20200219	8.060000	8.100000	8.000000	8.000000	8.000000
20200220	8.000000	8.070000	7.990000	8.030000	8.030000
20200221	8.020000	8.030000	7.890000	7.890000	7.890000
20200224	7.700000	7.720000	7.550000	7.570000	7.570000
20200225	7.680000	7.680000	7.220000	7.230000	7.230000
20200226	7.300000	7.460000	7.210000	7.210000	7.210000
20200227	7.130000	7.280000	6.920000	6.970000	6.970000
20200228	6.840000	6.960000	6.670000	6.960000	6.960000
20200302	7.110000	7.230000	6.880000	7.200000	7.200000
20200303	7.290000	7.340000	6.890000	6.970000	6.970000
20200304	7.090000	7.090000	6.920000	7.080000	7.080000
20200305	6.960000	6.970000	6.710000	6.740000	6.740000
20200306	6.600000	6.680000	6.400000	6.490000	6.490000
20200309	5.970000	6.140000	5.870000	5.900000	5.900000
20200310	6.260000	6.290000	5.800000	6.260000	6.260000
20200311	6.060000	6.110000	5.880000	5.900000	5.900000
20200312	5.380000	5.690000	5.200000	5.350000	5.350000
20200313	5.870000	5.900000	5.120000	5.630000	5.630000
20200316	5.040000	5.220000	5.000000	5.010000	5.010000
20200317	5.080000	5.140000	4.700000	5.010000	5.010000
20200318	4.750000	4.840000	4.100000	4.500000	4.500000
20200319	4.330000	4.580000	4.100000	4.470000	4.470000
20200320	4.540000	4.750000	4.250000	4.330000	4.330000
20200323	4.270000	4.520000	3.960000	4.010000	4.010000
20200324	4.470000	4.990000	4.260000	4.950000	4.950000
20200325	5.770000	5.870000	5.120000	5.390000	5.390000
20200326	5.360000	5.650000	5.160000	5.250000	5.250000
20200327	5.070000	5.300000	4.910000	5.190000	5.190000
20200330	5.110000	5.120000	4.930000	5.030000	5.030000
20200331	5.030000	5.190000	4.750000	4.830000	4.830000
20200401	4.630000	4.770000	4.360000	4.400000	4.400000
20200402	4.390000	4.570000	4.250000	4.360000	4.360000
20200403	4.400000	4.420000	4.170000	4.240000	4.240000
20200406	4.540000	4.670000	4.410000	4.530000	4.530000
20200407	4.850000	5.030000	4.630000	4.710000	4.710000
20200408	4.860000	5.090000	4.800000	5.030000	5.030000
20200409	5.510000	5.750000	5.240000	5.370000	5.370000
20200413	5.430000	5.430000	5.020000	5.160000	5.160000
20200414	5.270000	5.440000	5.160000	5.290000	5.290000
20200415	5.060000	5.140000	4.950000	5.030000	5.030000
20200416	5.060000	5.070000	4.890000	4.940000	4.940000
20200417	5.170000	5.280000	5.030000	5.120000	5.120000
20200420	5.010000	5.090000	4.910000	4.980000	4.980000
20200421	4.890000	4.920000	4.720000	4.770000	4.770000
20200422	4.870000	4.890000	4.750000	4.765000	4.765000
