Date	Open	High	Low	Close	Volume
20200203	68.949997	70.099998	68.830002	68.980003	68.724640
20200204	70.220001	71.459999	69.980003	71.239998	70.976265
20200205	71.860001	72.309998	71.290001	72.059998	71.793236
20200206	72.500000	72.500000	71.330002	71.540001	71.275162
20200207	71.029999	71.320000	70.440002	70.750000	70.488083
20200210	70.529999	71.769997	70.529999	71.730003	71.464462
20200211	72.389999	72.720001	71.820000	72.370003	72.102089
20200212	72.669998	72.760002	72.010002	72.480003	72.211685
20200213	72.099998	73.000000	71.860001	72.639999	72.371086
20200214	72.570000	73.279999	72.410004	72.989998	72.719788
20200218	72.660004	72.889999	72.199997	72.610001	72.341202
20200219	72.760002	73.139999	72.199997	72.330002	72.062241
20200220	72.099998	73.269997	71.959999	72.989998	72.719788
20200221	72.529999	72.900002	70.720001	71.029999	70.767044
20200224	68.620003	69.760002	68.330002	69.339996	69.083298
20200225	69.660004	69.660004	66.739998	67.110001	66.861557
20200226	67.519997	68.129997	64.800003	64.830002	64.590004
20200227	63.380001	65.300003	62.250000	62.299999	62.299999
20200228	60.139999	62.529999	59.939999	61.750000	61.750000
20200302	62.270000	63.669998	61.139999	63.669998	63.669998
20200303	63.360001	65.459999	61.910000	62.820000	62.820000
20200304	64.580002	67.199997	64.370003	67.180000	67.180000
20200305	65.040001	65.800003	63.189999	63.869999	63.869999
20200306	61.509998	62.340000	59.139999	60.419998	60.419998
20200309	56.160000	57.209999	55.500000	56.169998	56.169998
20200310	58.029999	59.430000	56.040001	59.360001	59.360001
20200311	57.439999	58.169998	54.610001	54.939999	54.939999
20200312	51.410000	52.340000	47.619999	47.650002	47.650002
20200313	50.169998	50.470001	44.759998	48.599998	48.599998
20200316	43.959999	44.910000	40.139999	40.900002	40.900002
20200317	41.669998	44.220001	39.930000	41.700001	41.700001
20200318	38.470001	39.009998	34.130001	36.500000	36.500000
20200319	35.900002	38.830002	34.150002	37.720001	37.720001
20200320	38.860001	39.680000	36.299999	36.599998	36.599998
20200323	36.040001	38.139999	33.900002	34.830002	34.830002
20200324	36.990002	40.630001	36.810001	40.369999	40.369999
20200325	40.430000	44.470001	39.189999	42.410000	42.410000
20200326	43.070000	44.919998	42.509998	44.450001	44.450001
20200327	42.560001	44.759998	41.470001	43.439999	43.439999
20200330	43.220001	44.810001	41.730000	44.509998	44.509998
20200331	44.060001	44.770000	43.180000	43.250000	43.250000
20200401	41.049999	41.930000	38.980000	39.380001	39.380001
20200402	38.660000	40.119999	37.189999	38.459999	38.459999
20200403	38.360001	39.139999	35.209999	35.419998	35.419998
20200406	37.529999	41.009998	37.000000	40.619999	40.619999
20200407	42.860001	45.520000	42.860001	43.650002	43.650002
20200408	44.209999	48.060001	43.560001	47.290001	47.290001
20200409	48.270000	51.820000	48.029999	50.830002	50.830002
20200413	50.070000	50.639999	46.110001	46.860001	46.860001
20200414	48.169998	48.299999	45.709999	46.150002	46.150002
20200415	44.189999	44.630001	42.520000	43.330002	43.330002
20200416	42.709999	44.009998	41.439999	43.790001	43.790001
20200417	47.049999	47.750000	45.970001	46.599998	46.599998
20200420	45.000000	45.750000	43.750000	43.919998	43.919998
20200421	42.500000	43.090000	41.799999	42.250000	42.250000
20200422	43.340000	43.520000	42.450001	43.080002	43.080002
20200423	43.599998	45.299999	43.459999	43.799999	43.799999
20200424	43.590000	44.310001	42.950001	43.720001	43.720001
20200427	44.259998	47.160000	43.939999	46.820000	46.820000
20200428	48.290001	50.500000	48.279999	49.660000	49.660000
20200429	51.450001	52.060001	50.880001	51.529999	51.529999
20200430	50.509998	50.509998	47.599998	48.200001	48.200001
20200501	52.099998	54.189999	50.740002	51.500000	51.500000
20200504	50.380001	51.270000	49.919998	51.110001	51.110001
20200505	51.669998	53.560001	51.669998	53.070000	53.070000
20200506	53.380001	53.810001	51.570000	51.939999	51.939999
20200507	52.590000	54.230000	52.590000	54.049999	54.049999
