Date	Open	High	Low	Close	Volume
20200203	145.500000	147.399994	143.600006	143.839996	143.120407
20200204	146.369995	148.240005	146.000000	147.509995	146.772049
20200205	149.500000	150.850006	148.820007	149.949997	149.199844
20200206	151.380005	151.380005	148.490005	148.630005	147.886459
20200207	147.300003	157.440002	146.419998	155.660004	154.881287
20200210	158.800003	160.289993	156.199997	156.779999	155.995682
20200211	158.270004	159.559998	156.869995	158.000000	157.209579
20200212	159.199997	159.809998	157.229996	158.509995	157.717026
20200213	157.789993	161.830002	156.479996	161.470001	160.662216
20200214	160.460007	161.289993	158.000000	158.619995	157.826477
20200218	159.309998	160.910004	156.389999	158.570007	157.776733
20200219	159.000000	161.690002	158.830002	161.139999	160.333862
20200220	161.070007	165.250000	159.500000	164.910004	164.085007
20200221	163.259995	164.139999	161.690002	163.250000	162.433319
20200224	156.259995	157.720001	152.619995	154.850006	154.075348
20200225	155.660004	155.800003	144.809998	145.600006	144.871613
20200226	147.419998	149.389999	143.559998	144.529999	143.806961
20200227	140.759995	145.490005	136.479996	138.759995	138.065826
20200228	135.000000	141.199997	134.059998	141.169998	140.463776
20200302	142.179993	142.520004	135.279999	139.750000	139.050873
20200303	140.000000	142.169998	132.559998	133.089996	132.424194
20200304	135.059998	136.460007	132.179993	136.410004	135.727585
20200305	132.009995	133.139999	128.750000	129.929993	129.279999
20200306	125.750000	130.649994	123.790001	127.680000	127.680000
20200309	120.400002	121.580002	113.849998	115.699997	115.699997
20200310	120.139999	121.750000	113.870003	120.669998	120.669998
20200311	117.389999	118.300003	108.529999	111.010002	111.010002
20200312	103.199997	105.180000	96.199997	97.000000	97.000000
20200313	102.459999	106.680000	96.000000	106.629997	106.629997
20200316	92.000000	99.870003	90.489998	90.489998	90.489998
20200317	92.900002	100.150002	88.690002	94.959999	94.959999
20200318	90.389999	100.699997	89.800003	99.680000	99.680000
20200319	98.849998	116.160004	97.370003	111.680000	111.680000
20200320	113.879997	118.699997	106.589996	111.059998	111.059998
20200323	110.940002	115.050003	107.250000	111.760002	111.760002
20200324	118.000000	121.800003	115.430000	120.040001	120.040001
20200325	121.360001	126.940002	114.930000	118.309998	118.309998
20200326	119.360001	127.000000	119.010002	125.599998	125.599998
20200327	120.050003	124.349998	116.000000	120.580002	120.580002
20200330	122.379997	125.610001	119.250000	124.309998	124.309998
20200331	122.500000	124.849998	119.260002	121.260002	121.260002
20200401	116.010002	118.750000	112.300003	113.480003	113.480003
20200402	112.529999	117.300003	111.589996	116.639999	116.639999
20200403	115.239998	116.000000	107.690002	109.220001	109.220001
20200406	113.040001	119.809998	113.010002	119.019997	119.019997
20200407	124.910004	125.480003	115.750000	115.949997	115.949997
20200408	123.000000	127.230003	119.919998	125.540001	125.540001
20200409	129.610001	130.000000	120.160004	122.290001	122.290001
20200413	125.190002	125.190002	121.739998	123.529999	123.529999
20200414	125.739998	126.980003	122.050003	125.080002	125.080002
20200415	121.690002	121.690002	118.150002	119.900002	119.900002
20200416	119.730003	121.000000	117.120003	119.080002	119.080002
20200417	121.000000	124.959999	120.730003	124.849998	124.849998
20200420	122.529999	125.669998	121.830002	122.639999	122.639999
20200421	120.629997	122.180000	119.620003	120.480003	120.480003
20200422	122.519997	122.964996	119.800003	119.980003	119.980003
