Date	Open	High	Low	Close	Volume
20200203	317.250000	321.839996	315.429993	319.079987	319.079987
20200204	322.989990	325.730011	322.290009	323.929993	323.929993
20200205	326.459991	327.480011	323.549988	326.869995	326.869995
20200206	327.660004	329.850006	326.859985	328.850006	328.850006
20200207	310.010010	310.040009	302.369995	306.760010	306.760010
20200210	305.619995	313.950012	304.619995	313.679993	313.679993
20200211	315.239990	317.779999	311.290009	315.750000	315.750000
20200212	315.630005	317.220001	314.239990	316.380005	316.380005
20200213	314.630005	320.209991	314.010010	317.579987	317.579987
20200214	317.989990	320.040009	315.279999	318.429993	318.429993
20200218	318.000000	323.600006	317.459991	320.570007	320.570007
20200219	321.040009	325.519989	320.799988	321.109985	321.109985
20200220	320.769989	322.260010	312.989990	317.390015	317.390015
20200221	315.000000	315.220001	306.440002	308.920013	308.920013
20200224	298.779999	303.309998	295.130005	298.420013	298.420013
20200225	299.290009	299.459991	286.829987	288.380005	288.380005
20200226	290.660004	296.700012	284.100006	284.200012	284.200012
20200227	278.230011	280.029999	265.399994	265.670013	265.670013
20200228	255.550003	268.790009	253.839996	265.790009	265.790009
20200302	267.440002	282.899994	267.440002	282.040009	282.040009
20200303	281.100006	283.380005	264.489990	266.410004	266.410004
20200304	270.899994	272.579987	264.269989	268.250000	268.250000
20200305	260.720001	261.450012	251.380005	252.720001	252.720001
20200306	244.979996	249.820007	242.149994	249.160004	249.160004
20200309	228.979996	234.789993	220.000000	222.589996	222.589996
20200310	229.320007	237.919998	221.110001	237.669998	237.669998
20200311	230.820007	233.399994	218.279999	222.470001	222.470001
20200312	208.539993	223.970001	204.259995	214.429993	214.429993
20200313	227.990005	236.820007	214.789993	235.460007	235.460007
20200316	210.000000	214.119995	200.220001	210.910004	210.910004
20200317	214.779999	225.729996	198.630005	224.339996	224.339996
20200318	207.169998	220.410004	169.240005	200.509995	200.509995
20200319	197.389999	209.559998	183.899994	193.300003	193.300003
20200320	197.699997	210.149994	185.720001	187.029999	187.029999
20200323	186.000000	186.229996	168.509995	171.720001	171.720001
20200324	183.899994	202.830002	179.630005	190.429993	190.429993
20200325	191.940002	224.740005	188.009995	212.330002	212.330002
20200326	216.580002	238.600006	204.449997	212.360001	212.360001
20200327	210.270004	210.270004	194.770004	196.179993	196.179993
20200330	194.679993	200.589996	182.250000	194.020004	194.020004
20200331	192.440002	196.660004	182.809998	186.539993	186.539993
20200401	178.330002	180.509995	169.139999	173.220001	173.220001
20200402	172.679993	197.619995	170.000000	181.520004	181.520004
20200403	181.520004	188.809998	180.580002	184.779999	184.779999
20200406	197.339996	207.369995	193.990005	206.089996	206.089996
20200407	216.369995	221.320007	209.970001	210.360001	210.360001
20200408	213.630005	221.720001	210.470001	220.309998	220.309998
20200409	226.080002	232.899994	222.550003	224.990005	224.990005
20200413	223.000000	223.000000	213.929993	218.229996	218.229996
20200414	223.429993	227.720001	219.419998	221.839996	221.839996
20200415	212.300003	217.059998	209.850006	211.470001	211.470001
20200416	213.110001	213.110001	203.710007	209.240005	209.240005
20200417	216.539993	224.820007	216.399994	223.589996	223.589996
20200420	219.039993	221.410004	213.089996	214.130005	214.130005
20200421	207.649994	209.789993	203.179993	204.300003	204.300003
20200422	208.649994	215.399994	207.149994	213.690002	213.690002
20200423	215.089996	221.240005	214.309998	218.610001	218.610001
20200424	220.500000	224.289993	215.979996	222.619995	222.619995
20200427	224.360001	232.990005	222.270004	232.259995	232.259995
20200428	236.100006	240.309998	231.160004	235.589996	235.589996
20200429	244.649994	250.050003	240.320007	247.949997	247.949997
20200430	244.130005	245.300003	237.630005	241.250000	241.250000
20200501	235.490005	236.919998	230.339996	232.830002	232.830002
20200504	231.070007	232.800003	227.000000	231.750000	231.750000
20200505	235.830002	239.690002	235.679993	236.070007	236.070007
20200506	238.220001	243.070007	236.440002	240.570007	240.570007
20200507	245.130005	249.660004	244.759995	248.149994	248.149994
