Date	Open	High	Low	Close	Volume
20200203	36.500000	37.250000	36.410000	36.830002	36.563538
20200204	37.270000	37.570000	36.990002	37.400002	37.129414
20200205	37.810001	38.209999	37.450001	37.930000	37.655579
20200206	38.259998	38.439999	36.180000	36.500000	36.235924
20200207	36.450001	36.459999	35.889999	36.369999	36.106861
20200210	36.220001	36.845001	36.099998	36.779999	36.513897
20200211	36.849998	36.849998	36.180000	36.610001	36.345127
20200212	36.770000	37.220001	36.720001	37.160000	36.891148
20200213	36.950001	37.740002	36.950001	37.520000	37.248543
20200214	37.529999	37.590000	37.000000	37.310001	37.040066
20200218	37.259998	37.404999	36.939999	37.220001	36.950714
20200219	37.240002	37.720001	37.099998	37.529999	37.258469
20200220	37.180000	37.340000	35.900002	36.540001	36.275635
20200221	36.290001	36.840000	35.480000	35.500000	35.243156
20200224	35.270000	35.439999	34.090000	34.270000	34.022057
20200225	34.410000	34.549999	32.645000	32.830002	32.592476
20200226	33.360001	33.410000	32.080002	32.400002	32.165588
20200227	31.990000	32.560001	30.990000	30.990000	30.765787
20200228	30.200001	31.320000	29.860001	30.450001	30.229694
20200302	30.480000	31.790001	30.070000	31.790001	31.560001
20200303	31.190001	32.279999	30.340000	30.709999	30.709999
20200304	31.040001	31.270000	30.129999	30.670000	30.670000
20200305	29.830000	30.040001	28.910000	29.120001	29.120001
20200306	27.709999	28.790001	27.549999	28.520000	28.520000
20200309	26.750000	27.629999	26.379999	27.129999	27.129999
20200310	27.959999	28.980000	26.770000	28.760000	28.760000
20200311	27.820000	28.280001	27.299999	27.520000	27.520000
20200312	26.549999	26.660000	24.290001	25.559999	25.559999
20200313	26.400000	27.780001	24.243000	25.379999	25.379999
20200316	23.299999	24.379999	22.680000	23.190001	23.190001
20200317	23.500000	24.440001	22.170000	23.790001	23.790001
20200318	22.540001	23.260000	20.639999	21.410000	21.410000
20200319	21.430000	22.730000	20.100000	21.940001	21.940001
20200320	22.299999	22.770000	19.920000	20.049999	20.049999
20200323	20.129999	20.549999	19.129999	19.809999	19.809999
20200324	20.820000	21.730000	20.170000	21.650000	21.650000
20200325	21.650000	24.540001	21.260000	23.340000	23.340000
20200326	23.459999	24.780001	23.459999	24.600000	24.600000
20200327	23.709999	23.950001	21.950001	22.040001	22.040001
20200330	22.110001	23.969999	21.520000	23.770000	23.770000
20200331	23.950001	24.320000	22.760000	22.879999	22.879999
20200401	21.850000	22.183001	21.260000	21.565001	21.565001
20200402	21.559999	22.709999	21.219999	21.840000	21.840000
20200403	21.730000	21.969999	21.200001	21.590000	21.590000
20200406	22.780001	24.620001	22.690001	24.450001	24.450001
20200407	25.690001	26.440001	24.900000	24.969999	24.969999
20200408	25.040001	26.030001	25.000000	25.820000	25.820000
20200409	25.920000	26.559999	25.170000	25.639999	25.639999
20200413	25.459999	25.510000	24.320000	25.400000	25.400000
20200414	25.799999	26.180000	25.389999	26.010000	26.010000
20200415	25.150000	25.250000	24.549999	25.170000	25.170000
20200416	25.160000	25.290001	24.420000	25.129999	25.129999
20200417	25.750000	26.330000	25.520000	26.230000	26.230000
20200420	25.459999	26.440001	25.459999	25.690001	25.690001
20200421	24.910000	25.379999	24.780001	25.049999	25.049999
20200422	25.680000	25.879999	25.230000	25.290001	25.290001
