Date	Open	High	Low	Close	Volume
20200203	12.460000	12.680000	12.250000	12.260000	12.247838
20200204	12.490000	12.620000	12.390000	12.580000	12.567520
20200205	12.760000	12.860000	12.570000	12.860000	12.847241
20200206	12.940000	13.000000	12.830000	12.950000	12.937153
20200207	13.020000	13.090000	12.810000	12.830000	12.817272
20200210	12.840000	12.970000	12.770000	12.910000	12.897192
20200211	12.950000	12.980000	12.780000	12.850000	12.837253
20200212	12.950000	13.260000	12.880000	13.160000	13.146944
20200213	13.080000	13.160000	12.900000	12.940000	12.927162
20200214	12.970000	13.070000	12.750000	12.830000	12.817272
20200218	12.710000	12.950000	12.670000	12.750000	12.737351
20200219	12.700000	12.940000	12.590000	12.610000	12.597489
20200220	12.650000	12.680000	12.410000	12.530000	12.517570
20200221	12.450000	12.460000	12.220000	12.250000	12.237847
20200224	11.690000	12.060000	11.600000	11.860000	11.848234
20200225	11.970000	12.000000	11.180000	11.320000	11.308769
20200226	11.370000	11.540000	10.800000	10.950000	10.939137
20200227	10.620000	10.950000	10.310000	10.390000	10.379693
20200228	9.950000	11.190000	9.860000	10.880000	10.869206
20200302	11.210000	11.340000	10.760000	11.210000	11.198879
20200303	11.250000	11.380000	10.670000	10.880000	10.869206
20200304	11.060000	11.120000	10.700000	10.950000	10.939137
20200305	10.600000	10.730000	9.950000	10.080000	10.070000
20200306	9.740000	9.760000	9.180000	9.400000	9.400000
20200309	8.330000	8.660000	8.110000	8.210000	8.210000
20200310	8.780000	8.850000	8.160000	8.850000	8.850000
20200311	8.620000	8.660000	8.160000	8.210000	8.210000
20200312	7.230000	7.780000	6.830000	7.230000	7.230000
20200313	7.800000	8.040000	7.190000	7.850000	7.850000
20200316	6.990000	7.150000	6.650000	6.660000	6.660000
20200317	6.910000	7.330000	6.300000	7.080000	7.080000
20200318	6.510000	6.800000	5.900000	6.600000	6.600000
20200319	6.400000	6.910000	6.150000	6.480000	6.480000
20200320	7.010000	7.050000	6.450000	6.520000	6.520000
20200323	6.450000	6.630000	6.030000	6.110000	6.110000
20200324	6.660000	7.060000	6.470000	7.010000	7.010000
20200325	7.450000	8.000000	6.960000	7.560000	7.560000
20200326	7.630000	8.300000	7.510000	8.120000	8.120000
20200327	7.680000	7.870000	7.540000	7.620000	7.620000
20200330	7.540000	7.940000	7.350000	7.890000	7.890000
20200331	7.870000	8.180000	7.820000	7.940000	7.940000
20200401	7.520000	7.550000	7.000000	7.040000	7.040000
20200402	7.020000	7.390000	6.770000	6.900000	6.900000
20200403	7.030000	7.050000	6.580000	6.730000	6.730000
20200406	7.070000	7.300000	6.940000	7.230000	7.230000
20200407	7.690000	7.750000	7.000000	7.030000	7.030000
20200408	7.180000	7.380000	7.060000	7.300000	7.300000
20200409	7.450000	7.540000	7.090000	7.140000	7.140000
20200413	7.130000	7.130000	6.760000	7.020000	7.020000
20200414	7.100000	7.240000	6.840000	6.930000	6.930000
20200415	6.730000	6.730000	6.350000	6.500000	6.500000
20200416	6.480000	6.540000	6.200000	6.240000	6.240000
20200417	6.470000	6.940000	6.340000	6.840000	6.840000
20200420	6.610000	6.750000	6.460000	6.510000	6.510000
20200421	6.390000	6.580000	6.300000	6.480000	6.480000
20200422	6.590000	6.640000	6.420000	6.470000	6.470000
