Date	Open	High	Low	Close	Volume
20200203	33.560001	34.340000	33.520000	33.720001	33.313606
20200204	34.349998	34.820000	34.200001	34.369999	33.955772
20200205	34.900002	35.450001	34.189999	35.029999	34.607819
20200206	35.049999	35.099998	34.250000	34.330002	33.916256
20200207	34.080002	34.160000	33.419998	33.630001	33.224693
20200210	33.990002	34.299999	33.669998	34.250000	33.837219
20200211	34.340000	35.259998	34.070000	35.009998	34.588058
20200212	35.330002	35.790001	35.130001	35.490002	35.062275
20200213	35.209999	35.529999	35.160000	35.290001	34.864685
20200214	35.299999	35.389999	34.419998	34.759998	34.341072
20200218	34.250000	34.740002	33.959999	34.410000	33.995289
20200219	34.529999	35.099998	34.520000	34.919998	34.499142
20200220	34.660000	35.400002	34.590000	35.290001	34.864685
20200221	34.990002	35.080002	34.410000	34.650002	34.232399
20200224	33.639999	33.750000	32.790001	33.090000	32.691200
20200225	33.250000	33.279999	31.400000	31.750000	31.367350
20200226	32.099998	32.610001	31.889999	32.000000	31.614336
20200227	31.299999	31.920000	30.549999	30.709999	30.339882
20200228	29.780001	30.500000	29.330000	30.500000	30.132414
20200302	30.520000	31.450001	29.740000	31.420000	31.041327
20200303	31.500000	32.299999	30.260000	30.520000	30.152174
20200304	31.000000	31.570000	30.360001	31.530001	31.150002
20200305	30.540001	30.770000	30.010000	30.100000	30.100000
20200306	29.209999	29.540001	28.450001	28.690001	28.690001
20200309	26.000000	26.120001	24.150000	24.690001	24.690001
20200310	25.980000	27.139999	24.590000	27.120001	27.120001
20200311	26.000000	26.620001	25.760000	26.000000	26.000000
20200312	23.600000	24.350000	22.500000	23.040001	23.040001
20200313	24.600000	25.330000	22.900000	24.709999	24.709999
20200316	21.510000	22.410000	21.000000	21.000000	21.000000
20200317	21.309999	21.580000	19.500000	20.320000	20.320000
20200318	18.830000	19.049999	14.330000	16.799999	16.799999
20200319	16.340000	18.990000	15.000000	17.709999	17.709999
20200320	18.420000	18.959999	17.680000	18.139999	18.139999
20200323	18.010000	18.559999	17.230000	17.600000	17.600000
20200324	19.320000	21.670000	18.600000	21.110001	21.110001
20200325	23.000000	23.150000	21.000000	21.490000	21.490000
20200326	21.639999	22.969999	21.059999	22.559999	22.559999
20200327	21.370001	21.959999	20.740000	21.379999	21.379999
20200330	22.309999	22.480000	20.629999	21.320000	21.320000
20200331	20.969999	22.209999	20.549999	20.780001	20.780001
20200401	19.500000	20.170000	18.990000	19.260000	19.260000
20200402	19.100000	19.690001	17.790001	18.190001	18.190001
20200403	18.400000	18.780001	17.850000	18.040001	18.040001
20200406	19.100000	19.760000	18.549999	19.549999	19.549999
20200407	21.270000	22.209999	20.709999	21.299999	21.299999
20200408	21.740000	23.600000	21.469999	23.129999	23.129999
20200409	24.160000	24.990000	23.580000	24.059999	24.059999
20200413	24.040001	24.100000	22.719999	23.010000	23.010000
20200414	23.600000	23.770000	22.670000	22.980000	22.980000
20200415	21.920000	22.270000	21.469999	21.660000	21.660000
20200416	21.639999	21.650000	20.559999	20.870001	20.870001
20200417	21.920000	22.540001	21.830000	22.480000	22.480000
20200420	21.719999	22.639999	21.440001	22.379999	22.379999
20200421	21.270000	21.889999	20.980000	21.240000	21.240000
20200422	21.650000	21.780001	21.070000	21.299999	21.299999
20200423	21.549999	22.059999	21.450001	21.520000	21.520000
20200424	21.709999	22.240000	21.540001	21.950001	21.950001
20200427	21.520000	22.570000	21.139999	22.450001	22.450001
20200428	23.180000	23.400000	22.100000	22.180000	22.180000
20200429	22.750000	24.570000	22.680000	23.780001	23.780001
20200430	23.440001	23.440001	22.250000	22.290001	22.290001
20200501	21.650000	21.760000	20.799999	20.900000	20.900000
20200504	20.450001	20.879999	20.120001	20.750000	20.750000
20200505	21.250000	21.969999	21.120001	21.260000	21.260000
20200506	23.049999	23.650000	21.830000	21.889999	21.889999
20200507	22.180000	22.980000	22.030001	22.879999	22.879999
