Date	Open	High	Low	Close	Volume
20200203	94.169998	95.540001	93.879997	94.300003	93.465302
20200204	95.940002	97.160004	95.360001	95.389999	94.545654
20200205	96.160004	98.250000	96.120003	98.019997	97.152367
20200206	98.599998	98.680000	95.720001	96.150002	95.298927
20200207	95.570000	95.839996	94.919998	95.379997	94.535736
20200210	95.339996	95.559998	94.430000	95.139999	94.297867
20200211	95.209999	96.070000	94.839996	95.709999	94.862816
20200212	96.070000	96.769997	95.709999	96.550003	95.695389
20200213	96.010002	96.970001	95.690002	96.959999	96.101753
20200214	96.980003	96.980003	95.680000	96.470001	95.616096
20200218	96.339996	97.709999	95.910004	96.760002	95.903526
20200219	100.000000	102.000000	98.510002	99.349998	98.470596
20200220	98.680000	99.930000	98.000000	99.610001	98.728302
20200221	99.019997	99.389999	96.000000	96.209999	95.358391
20200224	94.209999	96.790001	93.449997	95.720001	94.872734
20200225	95.900002	95.900002	91.980003	92.040001	91.225304
20200226	93.099998	94.790001	90.120003	90.180000	89.381767
20200227	88.949997	90.900002	86.699997	86.709999	85.942482
20200228	84.680000	87.339996	84.410004	87.239998	86.467789
20200302	87.610001	89.080002	84.629997	89.040001	88.251862
20200303	88.389999	89.699997	85.160004	86.360001	85.595581
20200304	87.669998	89.370003	85.669998	89.250000	88.459999
20200305	85.919998	87.000000	84.370003	85.650002	85.650002
20200306	83.349998	84.860001	80.779999	82.849998	82.849998
20200309	78.550003	81.930000	77.360001	80.150002	80.150002
20200310	83.080002	85.989998	81.500000	85.919998	85.919998
20200311	83.550003	85.449997	82.699997	83.900002	83.900002
20200312	78.660004	82.589996	75.220001	78.449997	78.449997
20200313	81.260002	81.879997	75.680000	79.269997	79.269997
20200316	70.760002	74.599998	70.000000	70.949997	70.949997
20200317	72.050003	76.860001	70.500000	76.849998	76.849998
20200318	72.099998	73.269997	60.900002	66.349998	66.349998
20200319	65.510002	66.320000	62.330002	64.309998	64.309998
20200320	65.160004	65.290001	55.020000	55.349998	55.349998
20200323	55.230000	55.450001	49.680000	50.290001	50.290001
20200324	52.619999	61.259998	52.310001	60.810001	60.810001
20200325	60.939999	68.779999	59.900002	64.779999	64.779999
20200326	65.050003	69.260002	63.490002	68.639999	68.639999
20200327	65.209999	66.870003	63.279999	64.459999	64.459999
20200330	64.459999	67.199997	63.410000	66.080002	66.080002
20200331	65.459999	68.040001	64.589996	67.330002	67.330002
20200401	63.599998	64.430000	61.910000	62.740002	62.740002
20200402	61.990002	64.739998	59.500000	61.400002	61.400002
20200403	61.150002	61.990002	57.869999	58.259998	58.259998
20200406	61.669998	67.650002	61.669998	67.099998	67.099998
20200407	71.260002	72.809998	68.150002	69.360001	69.360001
20200408	70.889999	73.580002	69.540001	73.250000	73.250000
20200409	74.870003	76.220001	70.889999	71.669998	71.669998
20200413	71.410004	71.519997	68.620003	71.290001	71.290001
20200414	72.610001	74.480003	72.089996	74.169998	74.169998
20200415	71.209999	72.410004	69.449997	71.519997	71.519997
20200416	71.169998	73.949997	70.650002	73.480003	73.480003
20200417	76.029999	78.010002	73.739998	74.650002	74.650002
20200420	73.570000	75.419998	72.650002	73.180000	73.180000
20200421	71.220001	72.139999	70.559998	71.040001	71.040001
20200422	72.470001	72.750000	71.440002	71.845001	71.845001
