Date	Open	High	Low	Close	Volume
20200203	196.789993	199.929993	196.279999	198.059998	197.835648
20200204	201.000000	203.820007	200.740005	202.940002	202.710129
20200205	205.080002	205.369995	198.199997	200.649994	200.422714
20200206	201.020004	202.649994	200.789993	201.669998	201.441559
20200207	200.639999	201.929993	198.350006	200.789993	200.562546
20200210	200.250000	204.660004	200.250000	204.639999	204.408203
20200211	205.160004	206.179993	202.380005	203.179993	202.949844
20200212	199.610001	203.679993	198.229996	201.649994	201.421585
20200213	200.789993	204.419998	199.250000	202.729996	202.500351
20200214	203.509995	206.369995	203.270004	206.369995	206.136230
20200218	206.000000	208.320007	205.449997	207.070007	206.835449
20200219	208.389999	209.619995	206.869995	206.979996	206.745544
20200220	206.529999	209.619995	203.619995	208.470001	208.233856
20200221	207.559998	207.919998	203.039993	204.389999	204.158478
20200224	197.610001	201.550003	195.529999	200.419998	200.192978
20200225	201.130005	202.240005	190.820007	191.199997	190.983414
20200226	190.910004	196.429993	188.770004	189.649994	189.435165
20200227	185.380005	189.240005	182.360001	183.750000	183.541855
20200228	176.750000	184.039993	175.000000	183.970001	183.761612
20200302	185.050003	192.419998	183.149994	192.389999	192.172073
20200303	192.399994	195.309998	184.820007	187.580002	187.367523
20200304	190.190002	194.220001	188.050003	193.919998	193.700333
20200305	189.339996	190.509995	182.850006	185.729996	185.519608
20200306	179.429993	181.059998	173.839996	179.559998	179.356598
20200309	166.750000	170.690002	161.350006	164.750000	164.563385
20200310	170.309998	183.649994	165.500000	181.770004	181.564102
20200311	176.529999	179.000000	168.770004	172.149994	171.955002
20200312	160.000000	170.000000	151.729996	157.110001	157.110001
20200313	165.559998	173.529999	156.009995	172.990005	172.990005
20200316	150.009995	155.070007	136.729996	139.830002	139.830002
20200317	141.970001	148.350006	134.270004	147.809998	147.809998
20200318	135.960007	139.550003	116.239998	134.559998	134.559998
20200319	132.970001	137.089996	122.669998	130.520004	130.520004
20200320	132.869995	135.309998	117.379997	119.000000	119.000000
20200323	116.680000	118.690002	105.540001	116.070000	116.070000
20200324	121.910004	142.800003	121.480003	141.229996	141.229996
20200325	141.899994	154.169998	139.559998	146.699997	146.699997
20200326	149.509995	155.850006	145.070007	152.869995	152.869995
20200327	145.020004	150.479996	143.149994	144.960007	144.960007
20200330	144.690002	152.419998	142.289993	151.229996	151.229996
20200331	148.660004	150.029999	142.720001	144.229996	144.229996
20200401	135.979996	138.000000	130.000000	133.110001	133.110001
20200402	131.940002	135.559998	127.300003	130.690002	130.690002
20200403	129.000000	131.199997	124.550003	126.300003	126.300003
20200406	135.360001	144.419998	131.440002	143.740005	143.740005
20200407	151.220001	152.619995	139.729996	141.070007	141.070007
20200408	142.919998	150.449997	140.429993	149.289993	149.289993
20200409	151.940002	155.300003	148.610001	151.029999	151.029999
20200413	148.800003	149.130005	139.009995	143.660004	143.660004
20200414	147.820007	148.800003	145.089996	146.289993	146.289993
20200415	141.779999	142.339996	138.520004	140.779999	140.779999
20200416	141.899994	141.899994	137.990005	141.000000	141.000000
20200417	147.059998	155.369995	146.750000	154.880005	154.880005
20200420	152.000000	152.570007	147.009995	148.210007	148.210007
20200421	144.979996	145.339996	139.949997	141.289993	141.289993
20200422	145.199997	148.789993	144.009995	147.619995	147.619995
20200423	148.419998	149.949997	146.929993	147.259995	147.259995
20200424	148.830002	153.669998	147.279999	153.009995	153.009995
20200427	154.490005	159.360001	154.490005	158.830002	158.830002
20200428	163.250000	165.839996	159.679993	162.869995	162.869995
20200429	168.710007	173.490005	168.500000	169.820007	169.820007
20200430	167.910004	168.080002	164.279999	166.020004	166.020004
20200501	161.410004	163.440002	159.300003	161.639999	161.639999
20200504	159.630005	162.990005	157.630005	162.410004	162.410004
20200505	165.529999	168.750000	165.369995	166.949997	166.949997
20200506	179.850006	182.699997	169.869995	170.100006	170.100006
20200507	174.250000	178.419998	174.410004	176.759995	176.759995
