Date	Open	High	Low	Close	Volume
20200203	97.519997	98.910004	97.400002	98.120003	97.352600
20200204	99.290001	99.750000	98.709999	98.849998	98.076881
20200205	99.209999	99.980003	97.699997	98.040001	97.273224
20200206	98.459999	98.730003	97.779999	97.849998	97.084709
20200207	97.669998	97.980003	95.919998	96.199997	95.447609
20200210	96.019997	98.099998	95.849998	97.709999	96.945801
20200211	97.580002	98.260002	97.389999	98.040001	97.273224
20200212	98.099998	99.000000	96.940002	97.809998	97.045021
20200213	97.550003	98.500000	97.199997	98.300003	97.531189
20200214	98.139999	98.449997	97.570000	98.180000	97.412125
20200218	98.440002	98.720001	96.839996	97.120003	96.360420
20200219	103.870003	105.580002	101.779999	103.669998	102.859184
20200220	103.500000	103.949997	98.410004	99.809998	99.029373
20200221	99.330002	99.620003	96.500000	96.580002	95.824638
20200224	94.470001	95.699997	92.820000	95.360001	94.614182
20200225	95.459999	96.540001	91.230003	92.000000	91.280457
20200226	91.449997	93.540001	90.320000	90.379997	89.673126
20200227	89.589996	91.260002	88.510002	89.279999	88.581734
20200228	87.730003	88.860001	85.440002	88.389999	87.698692
20200302	90.000000	93.550003	89.400002	93.470001	92.738968
20200303	93.610001	94.940002	89.389999	90.070000	89.365555
20200304	91.430000	93.519997	90.099998	93.410004	92.679436
20200305	91.129997	91.440002	87.129997	89.379997	88.680946
20200306	86.830002	87.980003	84.959999	87.519997	86.835495
20200309	81.839996	83.660004	79.559998	81.160004	80.525246
20200310	83.360001	84.779999	81.029999	84.419998	83.759743
20200311	82.349998	83.040001	79.470001	80.510002	79.880325
20200312	75.949997	77.860001	72.379997	72.879997	72.309998
20200313	75.070000	77.720001	73.250000	77.339996	77.339996
20200316	69.000000	73.500000	67.500000	70.849998	70.849998
20200317	71.730003	75.730003	70.650002	73.930000	73.930000
20200318	70.389999	71.959999	65.620003	71.709999	71.709999
20200319	71.389999	73.529999	68.839996	70.110001	70.110001
20200320	70.849998	70.849998	65.709999	66.029999	66.029999
20200323	65.910004	65.910004	61.040001	63.630001	63.630001
20200324	66.639999	70.809998	65.220001	70.370003	70.370003
20200325	70.449997	73.790001	66.470001	71.709999	71.709999
20200326	72.160004	74.949997	71.080002	74.230003	74.230003
20200327	72.040001	76.180000	70.260002	73.529999	73.529999
20200330	73.870003	77.230003	72.410004	76.690002	76.690002
20200331	76.040001	76.980003	74.570000	74.959999	74.959999
20200401	71.989998	74.480003	70.209999	71.410004	71.410004
20200402	70.910004	73.660004	70.629997	73.459999	73.459999
20200403	73.349998	74.099998	70.650002	71.559998	71.559998
20200406	74.349998	76.180000	74.110001	75.440002	75.440002
20200407	77.519997	78.480003	73.629997	74.230003	74.230003
20200408	74.690002	77.730003	74.050003	77.360001	77.360001
20200409	78.769997	79.739998	77.610001	78.650002	78.650002
20200413	78.570000	78.570000	76.839996	77.820000	77.820000
20200414	79.220001	82.410004	78.919998	81.989998	81.989998
20200415	79.940002	80.410004	77.650002	77.930000	77.930000
20200416	78.129997	79.080002	77.320000	78.660004	78.660004
20200417	80.980003	83.250000	80.519997	82.110001	82.110001
20200420	81.410004	81.739998	79.529999	80.050003	80.050003
20200421	78.570000	79.459999	77.730003	78.040001	78.040001
20200422	79.570000	79.949997	78.510002	78.959999	78.959999
20200423	78.669998	80.529999	78.669998	79.300003	79.300003
20200424	79.730003	80.349998	78.379997	78.919998	78.919998
20200427	78.779999	81.250000	78.290001	80.739998	80.739998
20200428	82.269997	83.970001	81.699997	83.400002	83.400002
20200429	86.050003	87.500000	82.610001	82.910004	82.910004
20200430	82.250000	82.360001	79.620003	81.160004	81.160004
20200501	79.739998	81.160004	79.220001	79.809998	79.809998
20200504	79.110001	80.059998	78.760002	79.720001	79.720001
20200505	80.180000	81.790001	79.910004	80.760002	80.760002
20200506	81.290001	81.750000	78.639999	78.730003	78.730003
20200507	79.269997	80.180000	79.269997	79.910004	79.910004
