Date	Open	High	Low	Close	Volume
20200203	59.570000	60.410000	59.410000	60.139999	59.763836
20200204	59.389999	60.250000	57.680000	57.720001	57.358974
20200205	58.220001	59.810001	58.169998	59.410000	59.038403
20200206	59.599998	59.910000	59.200001	59.619999	59.247089
20200207	59.430000	59.919998	59.200001	59.810001	59.435902
20200210	59.790001	59.869999	58.730000	59.000000	58.630966
20200211	59.110001	59.750000	58.970001	59.480000	59.107964
20200212	59.599998	59.910000	58.900002	58.900002	58.531593
20200213	58.930000	59.330002	58.610001	59.240002	58.869469
20200214	59.169998	59.430000	58.779999	59.099998	58.730339
20200218	58.799999	58.950001	58.040001	58.529999	58.163906
20200219	58.700001	58.709999	58.060001	58.090000	57.726658
20200220	57.889999	58.110001	57.340000	58.080002	57.716724
20200221	57.910000	58.310001	57.730000	58.049999	57.686909
20200224	57.169998	57.820000	56.369999	56.590000	56.236042
20200225	56.639999	56.770000	55.040001	55.270000	54.924297
20200226	55.549999	55.889999	54.439999	54.450001	54.109428
20200227	53.860001	54.480000	51.959999	51.959999	51.634998
20200228	50.439999	51.060001	48.930000	49.950001	49.950001
20200302	50.119999	53.119999	49.919998	53.119999	53.119999
20200303	54.189999	54.230000	50.919998	51.580002	51.580002
20200304	52.529999	54.070000	51.759998	53.900002	53.900002
20200305	52.049999	52.750000	51.080002	51.700001	51.700001
20200306	49.759998	51.209999	49.590000	50.959999	50.959999
20200309	47.450001	48.049999	45.279999	46.619999	46.619999
20200310	48.540001	48.840000	46.410000	48.299999	48.299999
20200311	46.680000	47.029999	44.240002	45.130001	45.130001
20200312	41.980000	43.500000	36.570000	40.180000	40.180000
20200313	42.590000	43.020000	38.540001	42.520000	42.520000
20200316	36.500000	37.119999	32.349998	33.500000	33.500000
20200317	34.459999	35.360001	30.910000	33.310001	33.310001
20200318	31.209999	31.209999	19.040001	26.250000	26.250000
20200319	25.980000	34.240002	25.430000	33.520000	33.520000
20200320	34.110001	35.320000	31.219999	31.270000	31.270000
20200323	31.430000	31.639999	28.840000	30.709999	30.709999
20200324	31.320000	34.709999	31.209999	34.630001	34.630001
20200325	34.480000	35.700001	31.540001	33.209999	33.209999
20200326	33.700001	35.119999	32.400002	34.939999	34.939999
20200327	33.500000	36.360001	32.080002	35.130001	35.130001
20200330	34.970001	36.410000	33.000000	35.840000	35.840000
20200331	35.299999	35.730000	34.750000	35.240002	35.240002
20200401	34.090000	34.730000	33.230000	33.459999	33.459999
20200402	33.160000	34.860001	32.790001	33.270000	33.270000
20200403	32.900002	33.310001	32.020000	32.150002	32.150002
20200406	34.049999	34.270000	32.730000	33.950001	33.950001
20200407	36.000000	37.639999	35.169998	36.919998	36.919998
20200408	37.270000	39.369999	37.250000	38.700001	38.700001
20200409	39.740002	42.049999	39.720001	41.880001	41.880001
20200413	41.730000	41.750000	40.200001	40.930000	40.930000
20200414	41.900002	42.900002	40.820000	41.230000	41.230000
20200415	39.369999	39.830002	38.549999	38.730000	38.730000
20200416	38.459999	38.689999	37.330002	37.419998	37.419998
20200417	39.049999	40.250000	38.959999	40.009998	40.009998
20200420	38.810001	39.310001	38.029999	38.639999	38.639999
20200421	37.029999	38.070000	36.660000	36.759998	36.759998
20200422	37.740002	37.740002	35.660000	35.680000	35.680000
20200423	36.180000	36.939999	35.740002	35.930000	35.930000
20200424	36.209999	36.419998	35.389999	36.040001	36.040001
20200427	36.020000	38.320000	36.020000	38.029999	38.029999
20200428	39.279999	40.669998	38.439999	39.340000	39.340000
20200429	40.549999	41.500000	39.869999	41.150002	41.150002
20200430	37.209999	40.840000	36.630001	37.990002	37.990002
20200501	36.810001	37.240002	35.509998	35.689999	35.689999
20200504	35.230000	35.529999	34.259998	35.389999	35.389999
20200505	35.740002	36.560001	35.150002	35.160000	35.160000
20200506	35.419998	35.529999	33.480000	33.529999	33.529999
20200507	34.029999	35.610001	34.099998	35.590000	35.590000
