Date	Open	High	Low	Close	Volume
20200203	33.689999	34.130001	33.509998	34.099998	33.656990
20200204	34.799999	34.959999	34.259998	34.290001	33.844524
20200205	34.730000	35.369999	34.720001	35.340000	34.880882
20200206	35.500000	35.599998	34.500000	34.500000	34.051796
20200207	34.250000	34.320000	33.779999	33.869999	33.429977
20200210	33.779999	33.939999	33.220001	33.930000	33.489201
20200211	34.090000	34.470001	33.869999	34.180000	33.735954
20200212	34.680000	34.980000	34.330002	34.689999	34.239326
20200213	34.360001	34.599998	33.990002	34.560001	34.111019
20200214	34.619999	34.619999	34.009998	34.360001	33.913616
20200218	34.360001	34.790001	34.110001	34.570000	34.120888
20200219	34.810001	34.939999	34.619999	34.860001	34.407120
20200220	35.509998	36.020000	34.930000	35.869999	35.403996
20200221	35.599998	35.759998	34.950001	35.189999	34.732830
20200224	34.259998	34.330002	33.720001	34.130001	33.686604
20200225	34.410000	34.410000	32.509998	32.759998	32.334400
20200226	33.049999	33.090000	31.490000	31.760000	31.347393
20200227	31.120001	32.279999	30.260000	31.170000	30.765057
20200228	30.309999	31.080000	29.600000	30.469999	30.074150
20200302	30.410000	31.059999	29.620001	31.059999	30.656487
20200303	31.100000	31.209999	28.770000	29.250000	28.870001
20200304	29.389999	30.150000	28.940001	30.090000	30.090000
20200305	29.139999	29.209999	27.730000	27.799999	27.799999
20200306	26.799999	27.080000	25.760000	26.190001	26.190001
20200309	24.219999	24.219999	22.850000	23.530001	23.530001
20200310	24.240000	25.299999	22.530001	25.280001	25.280001
20200311	24.350000	24.450001	22.910000	23.070000	23.070000
20200312	21.040001	21.410000	19.230000	20.360001	20.360001
20200313	21.950001	23.900000	20.250000	23.719999	23.719999
20200316	20.379999	22.389999	19.500000	20.620001	20.620001
20200317	21.030001	22.850000	19.780001	22.790001	22.790001
20200318	21.120001	22.350000	18.129999	20.160000	20.160000
20200319	19.129999	19.700001	17.200001	18.690001	18.690001
20200320	19.330000	19.500000	16.040001	16.219999	16.219999
20200323	16.000000	16.200001	14.310000	15.340000	15.340000
20200324	16.719999	19.480000	16.510000	19.480000	19.480000
20200325	20.250000	23.320000	18.070000	20.559999	20.559999
20200326	20.600000	22.700001	19.760000	20.750000	20.750000
20200327	19.620001	19.980000	17.580000	17.799999	17.799999
20200330	18.010000	18.350000	16.950001	17.920000	17.920000
20200331	17.870001	19.850000	17.709999	18.930000	18.930000
20200401	17.760000	17.920000	17.030001	17.290001	17.290001
20200402	17.000000	17.780001	15.720000	16.100000	16.100000
20200403	16.040001	16.709999	14.650000	15.040000	15.040000
20200406	15.690000	16.830000	15.270000	16.730000	16.730000
20200407	18.400000	19.600000	17.400000	17.920000	17.920000
20200408	18.040001	19.150000	17.719999	18.850000	18.850000
20200409	19.680000	21.850000	19.370001	21.129999	21.129999
20200413	21.190001	21.290001	19.020000	19.230000	19.230000
20200414	19.850000	20.240000	19.010000	19.350000	19.350000
20200415	18.420000	18.520000	17.719999	18.430000	18.430000
20200416	18.629999	18.879999	18.090000	18.350000	18.350000
20200417	19.469999	19.889999	18.490000	19.350000	19.350000
20200420	18.660000	19.280001	18.240000	18.530001	18.530001
20200421	17.940001	18.270000	17.340000	17.740000	17.740000
20200422	18.230000	18.330000	17.760000	18.010000	18.010000
