Date	Open	High	Low	Close	Volume
20200203	174.460007	175.619995	170.669998	171.320007	170.397720
20200204	174.080002	176.059998	174.000000	175.210007	174.266769
20200205	176.910004	177.630005	175.399994	176.899994	175.947662
20200206	178.000000	178.000000	176.160004	176.350006	175.400635
20200207	175.850006	176.720001	174.699997	175.279999	174.336395
20200210	174.919998	177.119995	174.110001	176.949997	175.997406
20200211	178.250000	179.940002	177.199997	179.149994	178.185547
20200212	179.479996	181.639999	179.050003	181.179993	180.204620
20200213	180.330002	180.949997	178.690002	180.119995	179.150330
20200214	180.509995	181.860001	179.979996	180.809998	179.836624
20200218	180.100006	180.490005	178.949997	179.419998	178.454102
20200219	179.830002	181.679993	179.500000	180.860001	179.886353
20200220	180.929993	182.210007	179.009995	180.699997	179.727203
20200221	179.610001	180.990005	178.750000	179.880005	178.911636
20200224	174.440002	177.369995	173.460007	175.270004	174.326447
20200225	175.639999	176.550003	166.830002	167.800003	166.896667
20200226	168.589996	172.080002	166.770004	167.179993	166.279984
20200227	163.009995	166.830002	159.520004	159.550003	159.550003
20200228	153.750000	162.169998	150.619995	162.169998	162.169998
20200302	163.089996	165.479996	157.589996	164.240005	164.240005
20200303	164.279999	168.179993	160.559998	161.889999	161.889999
20200304	164.899994	171.929993	164.259995	171.190002	171.190002
20200305	166.500000	167.910004	163.220001	164.919998	164.919998
20200306	158.809998	165.119995	157.580002	164.029999	164.029999
20200309	152.500000	157.259995	149.740005	152.860001	152.860001
20200310	155.850006	161.940002	153.350006	161.690002	161.690002
20200311	156.830002	157.479996	151.559998	153.389999	153.389999
20200312	143.389999	145.479996	134.440002	134.850006	134.850006
20200313	142.149994	149.679993	138.020004	149.410004	149.410004
20200316	128.000000	143.229996	124.010002	135.270004	135.270004
20200317	136.229996	141.970001	130.190002	131.800003	131.800003
20200318	121.919998	124.129997	101.099998	119.610001	119.610001
20200319	117.750000	122.419998	112.019997	118.959999	118.959999
20200320	120.889999	121.160004	110.779999	112.500000	112.500000
20200323	107.489998	111.080002	101.080002	103.860001	103.860001
20200324	110.000000	119.529999	109.250000	119.510002	119.510002
20200325	120.290001	135.339996	119.800003	129.649994	129.649994
20200326	131.830002	139.389999	131.160004	137.399994	137.399994
20200327	131.419998	135.210007	128.139999	131.270004	131.270004
20200330	130.750000	133.759995	130.130005	131.750000	131.750000
20200331	131.839996	136.110001	130.000000	133.789993	133.789993
20200401	128.279999	131.279999	125.500000	129.710007	129.710007
20200402	128.600006	133.149994	127.139999	132.809998	132.809998
20200403	132.500000	132.839996	126.529999	127.449997	127.449997
20200406	133.520004	135.369995	132.509995	134.000000	134.000000
20200407	140.639999	142.220001	135.000000	135.240005	135.240005
20200408	136.669998	140.380005	135.210007	139.250000	139.250000
20200409	140.000000	146.300003	139.699997	143.429993	143.429993
20200413	142.759995	143.210007	136.509995	137.940002	137.940002
20200414	140.710007	143.729996	138.550003	140.589996	140.589996
20200415	137.570007	137.970001	132.509995	134.839996	134.839996
20200416	134.580002	135.300003	129.580002	132.330002	132.330002
20200417	135.869995	140.199997	135.669998	138.320007	138.320007
20200420	135.789993	138.190002	134.889999	135.699997	135.699997
20200421	133.070007	134.020004	130.720001	132.000000	132.000000
20200422	134.220001	134.710007	132.085007	132.570007	132.570007
