Date	Open	High	Low	Close	Volume
20200203	40.360001	40.919998	40.049999	40.750000	40.089443
20200204	42.459999	43.779999	41.400002	41.669998	40.994526
20200205	42.430000	44.400002	42.430000	43.849998	43.139191
20200206	43.950001	44.270000	42.970001	43.799999	43.090000
20200207	41.520000	42.849998	40.950001	42.650002	42.650002
20200210	42.299999	43.750000	41.869999	43.570000	43.570000
20200211	44.340000	44.400002	43.720001	44.080002	44.080002
20200212	45.080002	45.480000	44.430000	45.189999	45.189999
20200213	45.169998	45.709999	44.570000	45.400002	45.400002
20200214	45.549999	45.680000	44.680000	45.310001	45.310001
20200218	44.720001	45.310001	44.150002	45.070000	45.070000
20200219	45.459999	45.590000	44.689999	45.459999	45.459999
20200220	45.759998	46.369999	45.119999	45.470001	45.470001
20200221	44.790001	45.020000	43.630001	44.900002	44.900002
20200224	42.610001	43.040001	41.830002	41.900002	41.900002
20200225	42.119999	42.270000	39.279999	39.680000	39.680000
20200226	39.990002	40.369999	38.799999	38.889999	38.889999
20200227	37.189999	38.470001	35.900002	37.119999	37.119999
20200228	35.709999	37.400002	35.290001	36.889999	36.889999
20200302	37.410000	37.639999	35.869999	37.619999	37.619999
20200303	37.380001	38.029999	34.790001	35.490002	35.490002
20200304	36.070000	36.869999	34.380001	34.919998	34.919998
20200305	33.820000	33.950001	31.160000	31.780001	31.780001
20200306	30.590000	30.889999	27.240000	27.600000	27.600000
20200309	20.010000	23.030001	18.309999	18.510000	18.510000
20200310	20.030001	21.530001	17.930000	20.940001	20.940001
20200311	20.490000	21.139999	19.379999	20.010000	20.010000
20200312	18.219999	18.600000	15.850000	15.960000	15.960000
20200313	17.059999	17.790001	15.500000	17.510000	17.510000
20200316	15.070000	17.820000	14.130000	14.560000	14.560000
20200317	14.570000	17.500000	14.060000	16.010000	16.010000
20200318	14.860000	15.060000	13.080000	13.390000	13.390000
20200319	13.320000	14.060000	12.400000	12.800000	12.800000
20200320	13.450000	14.320000	12.400000	13.160000	13.160000
20200323	13.310000	14.970000	12.880000	14.130000	14.130000
20200324	15.430000	18.600000	15.060000	18.090000	18.090000
20200325	18.549999	19.219999	16.280001	17.000000	17.000000
20200326	17.250000	19.200001	17.160000	18.950001	18.950001
20200327	17.629999	19.160000	16.660000	16.840000	16.840000
20200330	16.040001	16.590000	15.180000	15.500000	15.500000
20200331	16.030001	16.799999	15.140000	15.650000	15.650000
20200401	15.050000	15.160000	13.440000	14.240000	14.240000
20200402	14.890000	17.870001	14.820000	16.350000	16.350000
20200403	17.219999	17.290001	14.610000	15.460000	15.460000
20200406	16.389999	16.950001	15.670000	16.620001	16.620001
20200407	18.010000	18.240000	16.709999	17.379999	17.379999
20200408	17.900000	18.990000	17.559999	18.770000	18.770000
20200409	20.100000	21.330000	17.950001	19.180000	19.180000
20200413	19.780001	20.049999	18.219999	18.650000	18.650000
20200414	18.450001	18.920000	17.940001	18.340000	18.340000
20200415	16.790001	17.020000	15.750000	16.320000	16.320000
20200416	16.160000	16.440001	15.500000	16.070000	16.070000
20200417	16.440001	17.799999	16.360001	17.740000	17.740000
20200420	16.020000	17.920000	15.720000	17.639999	17.639999
20200421	16.920000	18.580000	16.660000	18.500000	18.500000
20200422	19.580000	19.990000	17.959999	18.430000	18.430000
20200423	19.200001	19.690001	18.730000	19.340000	19.340000
20200424	19.330000	19.549999	17.230000	17.770000	17.770000
20200427	17.150000	17.850000	16.570000	17.719999	17.719999
20200428	18.770000	19.100000	17.809999	18.980000	18.980000
20200429	20.090000	21.280001	19.500000	21.219999	21.219999
20200430	21.540001	21.600000	19.420000	19.770000	19.770000
20200501	18.000000	19.660000	16.660000	16.809999	16.809999
20200504	16.490000	18.129999	16.209999	18.049999	18.049999
20200505	19.360001	19.480000	16.980000	17.000000	17.000000
20200506	17.040001	17.379999	15.940000	15.960000	15.960000
20200507	16.490000	17.020000	16.320000	16.990000	16.990000
