Date	Open	High	Low	Close	Volume
20200203	339.149994	341.279999	332.260010	333.089996	332.389221
20200204	337.119995	346.179993	335.730011	342.750000	342.028900
20200205	349.429993	367.929993	349.429993	364.799988	364.032501
20200206	366.750000	366.750000	347.309998	359.149994	358.394379
20200207	359.149994	361.179993	352.600006	353.260010	352.516785
20200210	351.660004	356.190002	351.089996	353.000000	352.257324
20200211	353.880005	357.510010	351.799988	357.170013	356.418579
20200212	361.489990	375.190002	361.489990	373.859985	373.073425
20200213	370.089996	381.040009	370.089996	380.200012	379.400116
20200214	379.679993	380.000000	370.799988	375.850006	375.059265
20200218	376.959991	385.000000	370.000000	372.119995	371.337097
20200219	372.500000	379.220001	371.010010	378.519989	377.723633
20200220	373.980011	375.019989	366.320007	370.989990	370.209473
20200221	368.440002	371.459991	363.320007	369.670013	368.892273
20200224	353.000000	355.940002	345.640015	346.160004	345.431732
20200225	349.640015	349.640015	329.690002	332.019989	331.321472
20200226	333.089996	336.190002	323.619995	328.670013	327.978546
20200227	322.260010	325.980011	312.450012	314.329987	313.668671
20200228	306.850006	319.779999	304.140015	319.679993	319.007416
20200302	321.500000	346.970001	313.660004	345.359985	344.633392
20200303	344.809998	353.649994	322.609985	325.369995	324.685455
20200304	358.609985	374.690002	357.510010	372.339996	371.556641
20200305	364.500000	379.369995	361.850006	370.600006	369.820313
20200306	358.500000	368.279999	351.420013	367.010010	366.237885
20200309	336.690002	348.809998	323.299988	337.200012	336.490601
20200310	346.329987	357.309998	342.130005	349.299988	348.565094
20200311	342.040009	350.559998	325.720001	328.220001	327.529480
20200312	305.529999	317.079987	291.230011	293.049988	292.433441
20200313	307.000000	314.589996	280.059998	313.910004	313.249573
20200316	261.049988	292.299988	251.130005	270.209991	269.641510
20200317	276.010010	277.850006	262.040009	272.579987	272.006500
20200318	257.809998	259.309998	230.000000	246.580002	246.061234
20200319	246.580002	261.329987	235.020004	256.190002	255.651016
20200320	261.010010	273.809998	230.279999	230.610001	230.124832
20200323	230.850006	239.779999	208.250000	214.429993	213.978867
20200324	227.550003	243.929993	218.100006	234.059998	233.567566
20200325	229.179993	281.279999	225.630005	269.010010	268.444061
20200326	272.339996	306.959991	270.040009	304.480011	303.839417
20200327	290.140015	304.000000	289.000000	297.070007	296.445007
20200330	299.320007	318.970001	298.070007	311.230011	311.230011
20200331	312.059998	317.850006	298.579987	314.019989	314.019989
20200401	300.000000	302.470001	288.010010	298.750000	298.750000
20200402	293.000000	306.940002	287.899994	300.109985	300.109985
20200403	293.679993	299.000000	285.489990	291.630005	291.630005
20200406	305.220001	330.839996	301.290009	327.470001	327.470001
20200407	340.089996	345.000000	318.059998	320.049988	320.049988
20200408	324.820007	346.000000	319.329987	337.260010	337.260010
20200409	336.760010	345.239990	332.480011	341.899994	341.899994
20200413	343.690002	349.029999	337.540009	348.260010	348.260010
20200414	356.269989	364.040009	351.290009	352.209991	352.209991
20200415	349.000000	359.329987	344.950012	353.540009	353.540009
20200416	356.000000	380.350006	353.279999	377.309998	377.309998
20200417	381.619995	383.670013	365.670013	373.589996	373.589996
20200420	367.109985	377.579987	366.000000	367.329987	367.329987
20200421	360.500000	363.230011	356.010010	358.859985	358.859985
20200422	365.179993	371.750000	364.799988	371.424988	371.424988
