Date	Open	High	Low	Close	Volume
20200203	64.459999	65.040001	64.300003	64.419998	64.104309
20200204	65.769997	66.059998	64.919998	65.459999	65.139214
20200205	66.690002	67.599998	66.129997	67.339996	67.009995
20200206	67.300003	67.400002	66.769997	67.089996	67.089996
20200207	66.860001	67.300003	66.010002	66.019997	66.019997
20200210	65.559998	66.400002	65.440002	66.389999	66.389999
20200211	66.830002	67.709999	66.570000	67.410004	67.410004
20200212	67.599998	68.089996	67.309998	67.459999	67.459999
20200213	66.989998	67.650002	66.739998	67.440002	67.440002
20200214	67.519997	67.860001	66.820000	67.269997	67.269997
20200218	66.660004	66.690002	65.879997	66.139999	66.139999
20200219	66.389999	67.199997	66.180000	67.110001	67.110001
20200220	67.040001	67.290001	64.559998	65.449997	65.449997
20200221	65.180000	65.250000	64.040001	64.339996	64.339996
20200224	61.610001	62.770000	61.320000	61.759998	61.759998
20200225	61.990002	62.279999	59.459999	59.730000	59.730000
20200226	60.110001	60.820000	59.270000	59.650002	59.650002
20200227	57.930000	58.509998	55.799999	55.830002	55.830002
20200228	54.299999	56.380001	53.599998	55.520000	55.520000
20200302	55.790001	58.220001	54.520000	58.180000	58.180000
20200303	58.029999	59.020000	55.400002	55.970001	55.970001
20200304	57.009998	58.709999	56.160000	58.680000	58.680000
20200305	57.060001	58.660000	56.610001	56.959999	56.959999
20200306	55.180000	56.009998	54.540001	55.770000	55.770000
20200309	51.919998	52.709999	50.000000	50.849998	50.849998
20200310	52.759998	54.000000	50.430000	53.980000	53.980000
20200311	52.389999	53.540001	51.009998	51.660000	51.660000
20200312	47.990002	50.090000	45.369999	45.540001	45.540001
20200313	48.259998	55.000000	47.740002	54.430000	54.430000
20200316	47.509998	52.250000	43.630001	44.610001	44.610001
20200317	45.759998	51.630001	45.200001	50.080002	50.080002
20200318	46.709999	50.049999	45.200001	47.610001	47.610001
20200319	47.840000	49.230000	45.160000	45.939999	45.939999
20200320	46.509998	49.419998	45.470001	45.830002	45.830002
20200323	46.020000	50.490002	45.910000	49.580002	49.580002
20200324	53.139999	54.639999	51.349998	52.400002	52.400002
20200325	52.480000	53.790001	49.910000	51.259998	51.259998
20200326	51.740002	55.950001	51.660000	55.540001	55.540001
20200327	53.419998	54.639999	52.070000	52.369999	52.369999
20200330	52.990002	56.099998	52.830002	55.490002	55.490002
20200331	55.060001	55.799999	53.220001	54.119999	54.119999
20200401	52.500000	54.689999	51.430000	51.880001	51.880001
20200402	51.290001	54.560001	51.220001	54.349998	54.349998
20200403	53.849998	55.130001	52.730000	54.130001	54.130001
20200406	56.630001	58.770000	56.119999	58.430000	58.430000
20200407	59.939999	61.490002	58.209999	58.400002	58.400002
20200408	58.990002	59.509998	57.910000	58.980000	58.980000
20200409	59.360001	59.720001	56.060001	57.139999	57.139999
20200413	56.570000	58.770000	56.570000	58.700001	58.700001
20200414	60.040001	60.900002	59.509998	60.660000	60.660000
20200415	59.740002	59.830002	58.389999	58.869999	58.869999
20200416	59.610001	60.959999	58.810001	60.790001	60.790001
20200417	62.020000	62.130001	59.830002	60.360001	60.360001
20200420	59.279999	60.040001	58.889999	59.180000	59.180000
20200421	58.110001	58.599998	55.930000	56.360001	56.360001
20200422	58.270000	59.570000	57.810001	59.125000	59.125000
