Date	Open	High	Low	Close	Volume
20200203	129.289993	132.919998	127.930000	132.809998	132.809998
20200204	135.720001	140.520004	135.720001	140.289993	140.289993
20200205	143.199997	143.199997	139.000000	140.410004	140.410004
20200206	141.759995	143.639999	138.500000	141.449997	141.449997
20200207	139.699997	139.699997	133.360001	133.550003	133.550003
20200210	132.779999	138.169998	132.100006	138.169998	138.169998
20200211	139.860001	145.000000	139.860001	140.750000	140.750000
20200212	142.429993	148.320007	142.389999	147.070007	147.070007
20200213	144.000000	150.000000	132.330002	149.970001	149.970001
20200214	150.000000	150.000000	139.000000	139.490005	139.490005
20200218	138.630005	140.350006	135.509995	135.809998	135.809998
20200219	137.250000	144.199997	137.070007	143.940002	143.940002
20200220	142.630005	144.229996	140.589996	140.869995	140.869995
20200221	139.470001	139.470001	134.619995	135.009995	135.009995
20200224	129.059998	133.729996	122.699997	132.169998	132.169998
20200225	134.669998	135.389999	124.760002	127.050003	127.050003
20200226	128.130005	131.169998	126.650002	126.730003	126.730003
20200227	122.419998	128.929993	120.080002	122.809998	122.809998
20200228	118.500000	130.039993	118.000000	127.639999	127.639999
20200302	129.210007	130.839996	123.849998	130.350006	130.350006
20200303	130.000000	133.960007	126.059998	127.750000	127.750000
20200304	127.809998	131.740005	126.360001	131.589996	131.589996
20200305	125.660004	132.309998	124.550003	127.610001	127.610001
20200306	123.300003	126.519997	119.440002	121.470001	121.470001
20200309	112.519997	120.320000	110.000000	116.930000	116.930000
20200310	121.190002	123.809998	115.919998	123.349998	123.349998
20200311	118.959999	119.589996	109.739998	110.849998	110.849998
20200312	103.070000	113.989998	98.470001	105.879997	105.879997
20200313	110.250000	112.750000	104.050003	112.150002	112.150002
20200316	101.099998	108.070000	98.040001	105.360001	105.360001
20200317	107.849998	127.209999	105.360001	124.250000	124.250000
20200318	114.459999	122.849998	110.190002	118.660004	118.660004
20200319	116.830002	120.589996	107.269997	109.940002	109.940002
20200320	111.779999	114.970001	105.000000	109.080002	109.080002
20200323	109.559998	115.720001	107.059998	110.019997	110.019997
20200324	115.260002	123.379997	113.930000	121.199997	121.199997
20200325	115.699997	123.370003	111.750000	116.750000	116.750000
20200326	117.760002	118.980003	113.750000	116.980003	116.980003
20200327	113.389999	114.370003	106.449997	109.029999	109.029999
20200330	109.250000	111.809998	104.650002	109.199997	109.199997
20200331	108.709999	114.519997	108.709999	110.279999	110.279999
20200401	106.269997	109.889999	103.650002	105.800003	105.800003
20200402	104.279999	108.459999	100.919998	102.919998	102.919998
20200403	102.089996	105.570000	101.849998	102.739998	102.739998
20200406	106.489998	114.620003	106.449997	113.949997	113.949997
20200407	117.430000	119.589996	113.599998	114.349998	114.349998
20200408	116.360001	117.349998	112.379997	117.309998	117.309998
20200409	117.250000	121.120003	115.510002	119.050003	119.050003
20200413	118.290001	119.160004	115.010002	116.989998	116.989998
20200414	119.919998	122.150002	117.790001	120.750000	120.750000
20200415	117.900002	118.580002	113.010002	114.440002	114.440002
20200416	116.279999	117.360001	112.510002	115.480003	115.480003
20200417	117.739998	121.129997	117.010002	119.050003	119.050003
20200420	118.389999	120.440002	116.050003	117.940002	117.940002
20200421	113.989998	115.290001	111.410004	111.650002	111.650002
20200422	114.440002	115.699997	113.699997	114.050003	114.050003
