Date	Open	High	Low	Close	Volume
20200203	17.420000	17.750000	17.280001	17.280001	16.996422
20200204	17.600000	17.969999	17.590000	17.850000	17.557068
20200205	18.129999	18.459999	18.110001	18.389999	18.088203
20200206	18.580000	18.650000	18.110001	18.200001	17.901323
20200207	18.010000	18.270000	17.930000	18.219999	17.920994
20200210	18.110001	18.590000	18.059999	18.580000	18.275087
20200211	18.650000	18.930000	18.650000	18.889999	18.579998
20200212	18.840000	19.010000	18.570000	18.580000	18.580000
20200213	18.430000	18.500000	18.010000	18.010000	18.010000
20200214	18.010000	18.040001	17.719999	17.780001	17.780001
20200218	17.850000	18.090000	17.570000	17.620001	17.620001
20200219	17.650000	17.830000	17.620001	17.690001	17.690001
20200220	17.799999	18.230000	17.760000	18.030001	18.030001
20200221	17.889999	17.920000	17.370001	17.480000	17.480000
20200224	16.799999	16.930000	16.650000	16.780001	16.780001
20200225	16.840000	16.840000	15.800000	15.860000	15.860000
20200226	15.940000	16.090000	15.460000	15.460000	15.460000
20200227	15.060000	15.400000	14.550000	14.600000	14.600000
20200228	14.080000	14.490000	13.800000	14.400000	14.400000
20200302	14.470000	14.810000	14.020000	14.780000	14.780000
20200303	14.690000	15.100000	14.110000	14.290000	14.290000
20200304	14.530000	14.630000	13.930000	14.620000	14.620000
20200305	13.980000	14.030000	13.260000	13.420000	13.420000
20200306	12.750000	13.500000	12.640000	13.120000	13.120000
20200309	11.820000	12.420000	11.360000	11.590000	11.590000
20200310	12.310000	12.470000	11.480000	12.470000	12.470000
20200311	11.930000	12.040000	10.660000	11.160000	11.160000
20200312	10.160000	10.180000	9.170000	9.450000	9.450000
20200313	10.230000	10.800000	9.010000	10.800000	10.800000
20200316	8.840000	9.350000	8.250000	8.750000	8.750000
20200317	8.960000	10.360000	8.170000	10.180000	10.180000
20200318	9.140000	11.160000	8.950000	9.830000	9.830000
20200319	9.450000	10.790000	9.110000	9.840000	9.840000
20200320	9.960000	9.960000	8.530000	8.550000	8.550000
20200323	8.250000	8.510000	7.380000	7.610000	7.610000
20200324	8.340000	8.640000	7.890000	8.520000	8.520000
20200325	8.660000	9.460000	8.290000	8.980000	8.980000
20200326	9.050000	10.000000	8.920000	9.810000	9.810000
20200327	9.400000	9.870000	8.880000	9.370000	9.370000
20200330	9.310000	9.660000	8.850000	9.560000	9.560000
20200331	9.570000	9.640000	8.900000	9.080000	9.080000
20200401	8.510000	8.570000	7.880000	8.010000	8.010000
20200402	8.020000	8.550000	7.880000	8.220000	8.220000
20200403	8.220000	8.380000	7.670000	7.810000	7.810000
20200406	8.460000	9.060000	8.300000	8.960000	8.960000
20200407	9.740000	10.130000	9.040000	9.140000	9.140000
20200408	9.280000	9.630000	9.170000	9.470000	9.470000
20200409	9.850000	10.360000	9.580000	9.860000	9.860000
20200413	9.900000	9.930000	9.350000	9.570000	9.570000
20200414	9.840000	9.970000	9.450000	9.810000	9.810000
20200415	8.830000	9.090000	8.800000	8.960000	8.960000
20200416	8.920000	8.920000	8.500000	8.710000	8.710000
20200417	9.150000	9.320000	8.900000	9.070000	9.070000
20200420	8.820000	9.240000	8.560000	9.090000	9.090000
20200421	8.720000	9.200000	8.640000	8.930000	8.930000
20200422	9.170000	9.280000	8.930000	9.180000	9.180000
20200423	8.670000	8.870000	7.200000	7.240000	7.240000
20200424	7.400000	7.850000	7.300000	7.800000	7.800000
20200427	7.900000	8.030000	7.710000	7.950000	7.950000
20200428	8.140000	8.570000	8.120000	8.510000	8.510000
20200429	8.830000	8.990000	8.450000	8.620000	8.620000
20200430	8.400000	8.690000	8.180000	8.620000	8.620000
20200501	8.270000	8.300000	7.860000	7.990000	7.990000
20200504	7.820000	8.140000	7.610000	8.090000	8.090000
20200505	8.330000	8.360000	7.840000	7.860000	7.860000
20200506	7.920000	8.050000	7.600000	7.620000	7.620000
20200507	7.730000	7.980000	7.660000	7.960000	7.960000
