Date	Open	High	Low	Close	Volume
20200203	39.580002	39.990002	39.270000	39.290001	38.955288
20200204	39.689999	40.049999	39.209999	39.240002	38.905716
20200205	39.610001	40.020000	39.299999	39.810001	39.470860
20200206	39.919998	40.099998	39.700001	39.919998	39.579922
20200207	39.759998	40.029999	39.580002	39.810001	39.470860
20200210	39.709999	40.639999	39.599998	40.540001	40.194641
20200211	40.660000	40.970001	40.599998	40.759998	40.412766
20200212	40.930000	41.860001	40.930000	41.790001	41.433990
20200213	41.549999	41.560001	40.779999	41.130001	40.779613
20200214	41.119999	41.959999	41.009998	41.959999	41.602543
20200218	41.980000	42.360001	41.509998	41.990002	41.632290
20200219	42.090000	42.439999	41.849998	41.970001	41.612457
20200220	41.820000	42.410000	41.680000	42.240002	41.880157
20200221	42.060001	42.650002	41.889999	42.450001	42.088371
20200224	41.669998	41.840000	41.029999	41.630001	41.275356
20200225	41.630001	41.689999	39.430000	39.450001	39.113926
20200226	39.849998	40.400002	39.299999	39.310001	38.975121
20200227	38.720001	39.419998	37.900002	37.900002	37.577133
20200228	36.910000	37.340000	35.580002	36.570000	36.258461
20200302	36.810001	38.119999	36.099998	38.070000	37.745682
20200303	37.919998	39.470001	37.310001	37.450001	37.130966
20200304	38.169998	39.480000	37.580002	39.349998	39.014774
20200305	38.480000	39.400002	38.180000	38.820000	38.489292
20200306	37.279999	38.480000	37.259998	38.160000	37.834915
20200309	35.580002	36.900002	35.230000	35.720001	35.415703
20200310	36.830002	37.599998	35.160000	37.549999	37.230110
20200311	36.419998	36.770000	34.950001	35.209999	34.910046
20200312	32.639999	33.230000	30.520000	30.520000	30.260000
20200313	32.040001	32.810001	30.660000	32.810001	32.810001
20200316	28.750000	32.849998	28.580000	30.600000	30.600000
20200317	31.290001	31.900000	28.719999	29.530001	29.530001
20200318	27.670000	28.129999	23.959999	26.320000	26.320000
20200319	25.940001	26.629999	24.120001	26.080000	26.080000
20200320	26.690001	26.690001	24.110001	24.910000	24.910000
20200323	24.440001	24.549999	22.780001	23.500000	23.500000
20200324	24.639999	25.639999	24.299999	25.360001	25.360001
20200325	25.559999	27.370001	24.780001	26.129999	26.129999
20200326	26.410000	27.549999	25.820000	27.000000	27.000000
20200327	26.129999	26.670000	25.230000	25.940001	25.940001
20200330	25.940001	26.690001	24.660000	26.490000	26.490000
20200331	26.200001	27.469999	25.980000	26.959999	26.959999
20200401	25.790001	26.219999	24.770000	25.160000	25.160000
20200402	25.180000	26.670000	25.150000	26.049999	26.049999
20200403	25.980000	26.299999	25.000000	25.469999	25.469999
20200406	26.730000	27.959999	26.629999	27.410000	27.410000
20200407	28.600000	29.530001	28.100000	28.270000	28.270000
20200408	28.520000	29.730000	28.299999	29.309999	29.309999
20200409	29.629999	31.340000	29.620001	30.600000	30.600000
20200413	30.350000	30.530001	29.000000	29.360001	29.360001
20200414	30.000000	31.100000	29.790001	30.799999	30.799999
20200415	29.790001	29.809999	28.940001	29.100000	29.100000
20200416	29.030001	29.170000	28.100000	28.500000	28.500000
20200417	29.219999	30.080000	29.100000	29.540001	29.540001
20200420	28.790001	29.070000	28.190001	28.469999	28.469999
20200421	27.709999	28.240000	27.490000	27.590000	27.590000
20200422	28.299999	28.469999	27.400000	27.750000	27.750000
20200423	28.100000	28.290001	27.670000	27.850000	27.850000
20200424	27.969999	28.030001	27.290001	27.910000	27.910000
20200427	28.160000	29.309999	28.150000	29.049999	29.049999
20200428	29.660000	30.400000	29.540001	29.730000	29.730000
20200429	30.700001	31.250000	30.320000	30.629999	30.629999
20200430	30.150000	30.150000	29.030001	29.110001	29.110001
20200501	28.670000	29.160000	27.459999	27.860001	27.860001
20200504	27.629999	28.629999	26.920000	28.530001	28.530001
20200505	28.799999	29.209999	28.420000	28.650000	28.650000
20200506	28.889999	28.959999	28.299999	28.309999	28.309999
20200507	28.540001	28.940001	28.480000	28.684999	28.684999
