Date	Open	High	Low	Close	Volume
20200203	151.169998	152.910004	150.869995	151.979996	151.557144
20200204	153.100006	155.330002	152.789993	153.770004	153.342178
20200205	161.429993	164.839996	160.080002	163.979996	163.523758
20200206	165.259995	165.740005	162.740005	164.199997	163.743149
20200207	164.190002	166.070007	163.539993	165.289993	164.830109
20200210	165.289993	168.720001	164.889999	168.380005	167.911530
20200211	169.470001	169.789993	167.610001	168.119995	167.652237
20200212	168.529999	169.220001	166.139999	169.119995	168.649460
20200213	168.440002	169.990005	168.259995	168.949997	168.479935
20200214	169.160004	172.179993	168.729996	172.080002	171.601227
20200218	171.619995	174.149994	171.190002	172.860001	172.379059
20200219	173.759995	174.119995	172.020004	173.820007	173.336395
20200220	174.050003	174.929993	172.119995	174.460007	173.974609
20200221	173.740005	173.740005	170.089996	171.009995	170.534195
20200224	165.520004	169.320007	165.070007	167.929993	167.462769
20200225	168.720001	169.080002	163.389999	163.750000	163.294403
20200226	164.490005	165.279999	160.479996	160.550003	160.103302
20200227	157.729996	160.990005	154.220001	154.550003	154.119995
20200228	151.770004	153.910004	147.729996	151.740005	151.740005
20200302	152.600006	158.820007	150.419998	158.729996	158.729996
20200303	158.699997	161.389999	155.740005	157.789993	157.789993
20200304	160.949997	165.589996	158.350006	165.399994	165.399994
20200305	160.449997	165.550003	160.449997	164.990005	164.990005
20200306	160.220001	163.839996	156.929993	161.440002	161.440002
20200309	152.429993	157.080002	150.820007	151.630005	151.630005
20200310	156.110001	163.490005	151.820007	163.429993	163.429993
20200311	161.000000	163.020004	157.259995	161.009995	161.009995
20200312	152.039993	161.330002	149.199997	155.149994	155.149994
20200313	160.490005	162.139999	147.169998	160.899994	160.899994
20200316	148.000000	156.070007	144.399994	147.960007	147.960007
20200317	150.839996	162.559998	150.600006	156.190002	156.190002
20200318	145.059998	159.600006	144.070007	158.630005	158.630005
20200319	162.630005	162.630005	146.440002	148.570007	148.570007
20200320	152.970001	153.910004	130.300003	134.330002	134.330002
20200323	134.410004	135.410004	123.639999	129.610001	129.610001
20200324	133.979996	143.369995	133.899994	142.229996	142.229996
20200325	141.320007	146.039993	138.110001	141.860001	141.860001
20200326	142.220001	153.199997	141.339996	151.009995	151.009995
20200327	146.949997	155.220001	145.279999	149.029999	149.029999
20200330	150.630005	156.779999	146.490005	156.050003	156.050003
20200331	154.509995	158.059998	152.710007	155.240005	155.240005
20200401	149.869995	152.550003	144.690002	147.080002	147.080002
20200402	144.330002	151.839996	142.570007	151.160004	151.160004
20200403	149.919998	157.770004	149.529999	156.210007	156.210007
20200406	160.729996	168.669998	159.380005	167.339996	167.339996
20200407	171.570007	173.820007	166.009995	167.179993	167.179993
20200408	158.830002	170.500000	158.830002	169.380005	169.380005
20200409	170.679993	171.970001	169.199997	170.160004	170.160004
20200413	168.389999	169.779999	162.220001	163.119995	163.119995
20200414	165.919998	168.350006	164.050003	168.000000	168.000000
20200415	164.259995	165.720001	161.289993	163.220001	163.220001
20200416	166.020004	167.410004	162.809998	165.410004	165.410004
20200417	168.660004	170.679993	167.839996	169.660004	169.660004
20200420	166.960007	168.130005	165.960007	166.669998	166.669998
20200421	164.649994	164.809998	155.000000	156.380005	156.380005
20200422	157.330002	161.059998	156.009995	159.639999	159.639999
20200423	159.600006	160.669998	155.699997	156.199997	156.199997
20200424	157.259995	159.160004	155.259995	159.110001	159.110001
20200427	161.259995	164.250000	160.250000	163.470001	163.470001
20200428	164.800003	165.800003	159.919998	160.350006	160.350006
20200429	162.330002	165.490005	160.889999	161.279999	161.279999
20200430	160.919998	164.389999	159.369995	163.550003	163.550003
20200501	160.509995	162.839996	157.399994	158.500000	158.500000
20200504	158.580002	162.750000	157.300003	162.029999	162.029999
20200505	164.360001	177.570007	164.360001	176.199997	176.199997
20200506	175.169998	179.809998	174.529999	178.500000	178.500000
20200507	180.350006	184.149994	178.649994	184.149399	184.149399
