Date	Open	High	Low	Close	Volume
20200203	68.580002	69.230003	68.349998	68.839996	68.191101
20200204	69.169998	69.660004	68.629997	68.680000	68.032608
20200205	68.820000	69.610001	68.820000	69.360001	68.706200
20200206	64.220001	66.379997	63.150002	63.459999	62.861813
20200207	63.259998	64.290001	62.380001	64.169998	63.565121
20200210	63.950001	65.430000	63.549999	65.339996	64.724091
20200211	65.580002	66.570000	65.480003	66.269997	65.645325
20200212	67.500000	67.820000	66.080002	66.180000	65.556175
20200213	66.220001	67.220001	66.050003	67.139999	66.507126
20200214	67.080002	67.949997	66.910004	67.709999	67.071754
20200218	67.230003	67.370003	66.529999	67.150002	66.517036
20200219	67.160004	67.489998	66.250000	66.300003	65.675049
20200220	65.779999	66.089996	65.099998	65.669998	65.050980
20200221	65.400002	65.580002	64.949997	65.519997	64.902397
20200224	64.680000	65.050003	63.930000	64.500000	63.892010
20200225	64.660004	64.889999	62.880001	63.389999	62.792473
20200226	63.639999	64.239998	62.570000	62.770000	62.178318
20200227	62.160000	62.360001	60.919998	61.020000	60.444817
20200228	60.000000	60.730000	57.709999	60.470001	59.900002
20200302	60.209999	63.139999	60.119999	63.139999	63.139999
20200303	63.150002	64.419998	62.049999	62.650002	62.650002
20200304	63.349998	64.610001	63.000000	64.550003	64.550003
20200305	63.730000	64.580002	63.279999	63.660000	63.660000
20200306	61.919998	63.380001	61.540001	63.189999	63.189999
20200309	60.209999	63.169998	60.000000	62.410000	62.410000
20200310	62.869999	64.199997	60.380001	62.889999	62.889999
20200311	61.459999	62.139999	60.189999	61.689999	61.689999
20200312	58.520000	60.000000	56.840000	58.189999	58.189999
20200313	60.070000	63.779999	59.509998	63.660000	63.660000
20200316	58.369999	64.860001	58.250000	62.560001	62.560001
20200317	63.389999	69.370003	62.209999	69.220001	69.220001
20200318	67.300003	70.360001	64.459999	68.959999	68.959999
20200319	68.459999	68.750000	61.070000	61.430000	61.430000
20200320	61.470001	61.529999	55.340000	55.810001	55.810001
20200323	55.200001	56.790001	52.660000	53.560001	53.560001
20200324	54.759998	56.950001	54.020000	56.270000	56.270000
20200325	56.000000	59.270000	54.709999	56.169998	56.169998
20200326	56.250000	59.619999	55.599998	58.759998	58.759998
20200327	57.720001	60.930000	57.040001	59.470001	59.470001
20200330	60.380001	61.500000	59.770000	60.910000	60.910000
20200331	61.099998	61.830002	59.709999	59.990002	59.990002
20200401	59.009998	61.410000	58.369999	61.090000	61.090000
20200402	60.279999	61.980000	59.639999	61.320000	61.320000
20200403	60.680000	63.939999	60.680000	63.580002	63.580002
20200406	64.559998	64.559998	61.869999	63.509998	63.509998
20200407	63.799999	65.029999	62.020000	62.549999	62.549999
20200408	62.599998	62.830002	61.000000	61.459999	61.459999
20200409	60.980000	64.000000	60.980000	62.740002	62.740002
20200413	62.439999	63.000000	61.200001	62.799999	62.799999
20200414	63.880001	64.389999	63.020000	63.619999	63.619999
20200415	63.619999	63.619999	62.500000	62.950001	62.950001
20200416	63.459999	64.430000	62.740002	64.129997	64.129997
20200417	64.379997	65.050003	63.459999	65.019997	65.019997
20200420	65.099998	67.150002	64.760002	66.250000	66.250000
20200421	65.860001	66.239998	64.529999	65.519997	65.519997
20200422	65.870003	65.870003	65.260002	65.750000	65.750000
