Date	Open	High	Low	Close	Volume
20200203	93.849998	94.989998	92.820000	93.209999	93.209999
20200204	94.870003	95.980003	93.959999	94.669998	94.669998
20200205	95.550003	96.808998	95.129997	95.400002	95.400002
20200206	96.739998	97.981003	95.839996	96.489998	96.489998
20200207	96.000000	96.283997	93.660004	94.500000	94.500000
20200210	94.250000	94.839996	93.930000	94.550003	94.550003
20200211	95.500000	97.959999	95.480003	96.150002	96.150002
20200212	96.820000	98.699997	96.820000	98.470001	98.470001
20200213	97.830002	98.343002	96.379997	96.610001	96.610001
20200214	97.000000	98.290001	96.860001	98.160004	98.160004
20200218	98.000000	98.127998	97.000000	97.599998	97.599998
20200219	97.849998	99.084999	97.720001	98.480003	98.480003
20200220	98.480003	99.029999	96.889999	98.459999	98.459999
20200221	97.889999	98.310997	95.650002	96.180000	96.180000
20200224	93.000000	93.228996	90.349998	90.889999	90.889999
20200225	99.790001	99.849998	93.190002	93.660004	93.660004
20200226	94.680000	97.169998	93.260002	94.070000	94.070000
20200227	91.360001	96.010002	90.599998	92.400002	92.400002
20200228	89.500000	95.000000	89.360001	94.760002	94.760002
20200302	94.940002	97.480003	93.449997	97.419998	97.419998
20200303	97.000000	99.769997	92.739998	93.510002	93.510002
20200304	95.440002	98.059998	93.669998	97.930000	97.930000
20200305	95.410004	98.919998	95.000000	98.599998	98.599998
20200306	95.809998	96.860001	93.620003	96.010002	96.010002
20200309	90.199997	92.260002	87.709999	89.199997	89.199997
20200310	91.790001	94.980003	88.839996	94.830002	94.830002
20200311	92.370003	94.209999	90.269997	91.800003	91.800003
20200312	85.709999	88.550003	82.330002	82.360001	82.360001
20200313	87.089996	92.029999	85.110001	92.029999	92.029999
20200316	80.779999	89.382004	80.000000	83.779999	83.779999
20200317	85.400002	94.500000	80.199997	94.190002	94.190002
20200318	86.629997	91.110001	82.419998	86.000000	86.000000
20200319	85.160004	86.489998	79.870003	85.970001	85.970001
20200320	86.180000	86.489998	81.139999	83.089996	83.089996
20200323	82.660004	83.900002	79.000000	81.169998	81.169998
20200324	84.760002	86.849998	81.889999	85.059998	85.059998
20200325	84.180000	85.000000	80.589996	81.959999	81.959999
20200326	82.099998	86.250000	81.709999	84.209999	84.209999
20200327	82.980003	82.980003	77.930000	78.279999	78.279999
20200330	79.389999	86.489998	78.959999	85.660004	85.660004
20200331	85.180000	86.580002	83.190002	83.680000	83.680000
20200401	81.190002	83.379997	80.070000	80.889999	80.889999
20200402	79.889999	83.879997	79.404999	83.750000	83.750000
20200403	83.599998	84.940002	80.669998	82.519997	82.519997
20200406	85.559998	91.529999	85.000000	90.730003	90.730003
20200407	93.309998	94.629997	89.000000	89.209999	89.209999
20200408	90.110001	91.739998	88.301003	91.000000	91.000000
20200409	91.059998	93.269997	90.379997	92.099998	92.099998
20200413	91.410004	92.860001	90.716003	92.550003	92.550003
20200414	93.639999	96.150002	93.598999	94.860001	94.860001
20200415	93.290001	93.480003	91.860001	92.970001	92.970001
20200416	93.129997	96.879997	92.584999	96.580002	96.580002
20200417	97.650002	98.570000	94.860001	95.839996	95.839996
20200420	95.370003	97.089996	94.699997	95.309998	95.309998
20200421	94.470001	94.470001	91.282997	91.599998	91.599998
20200422	93.610001	94.059998	93.359001	93.823997	93.823997
