Date	Open	High	Low	Close	Volume
20200203	19.110001	19.500000	18.990000	19.180000	18.624634
20200204	19.270000	19.629999	19.180000	19.430000	18.867395
20200205	19.430000	19.830000	19.400000	19.719999	19.148996
20200206	19.820000	19.900000	19.610001	19.670000	19.100445
20200207	19.670000	19.809999	19.540001	19.620001	19.051893
20200210	19.830000	19.840000	19.530001	19.700001	19.129578
20200211	19.750000	19.799999	19.049999	19.120001	18.566372
20200212	19.049999	19.100000	18.559999	18.770000	18.226505
20200213	18.760000	19.090000	18.690001	18.930000	18.381872
20200214	18.990000	19.320000	18.860001	19.260000	18.702316
20200218	19.250000	19.290001	18.950001	19.070000	18.517818
20200219	19.080000	19.129999	18.510000	18.559999	18.022585
20200220	18.549999	18.969999	18.459999	18.959999	18.411003
20200221	18.920000	19.170000	18.850000	19.070000	18.517818
20200224	18.910000	19.090000	18.830000	18.969999	18.420713
20200225	19.070000	19.070000	18.520000	18.580000	18.042006
20200226	18.590000	18.690001	18.270000	18.280001	17.750694
20200227	18.049999	18.450001	17.540001	17.680000	17.168066
20200228	17.320000	17.520000	16.790001	17.350000	16.847622
20200302	17.389999	17.870001	16.990000	17.820000	17.304012
20200303	17.830000	18.240000	17.580000	17.760000	17.245750
20200304	17.959999	18.389999	17.920000	18.280001	17.750694
20200305	17.969999	18.129999	17.700001	17.870001	17.352566
20200306	17.450001	17.450001	16.920000	17.330000	16.828201
20200309	16.420000	16.520000	15.560000	15.570000	15.119163
20200310	16.000000	16.219999	15.320000	16.180000	15.711500
20200311	15.780000	15.800000	14.820000	14.850000	14.420011
20200312	13.860000	13.900000	10.000000	12.720000	12.351686
20200313	13.450000	13.610000	12.470000	13.220000	12.837209
20200316	12.310000	12.410000	10.570000	10.600000	10.293072
20200317	10.850000	11.070000	10.000000	10.860000	10.545543
20200318	10.150000	10.250000	9.300000	9.760000	9.477394
20200319	9.630000	10.900000	9.010000	10.250000	9.953206
20200320	10.470000	11.320000	10.070000	10.630000	10.322203
20200323	10.520000	10.630000	9.120000	9.410000	9.137528
20200324	10.050000	10.560000	9.750000	10.490000	10.186256
20200325	10.680000	12.070000	10.060000	11.190000	10.865988
20200326	11.390000	11.790000	10.600000	11.320000	10.992223
20200327	10.840000	10.880000	10.290000	10.400000	10.098863
20200330	10.360000	10.470000	9.560000	10.100000	9.807549
20200331	9.940000	10.110000	9.270000	9.670000	9.390000
20200401	8.720000	9.000000	8.250000	8.300000	8.300000
20200402	8.300000	8.460000	7.450000	7.750000	7.750000
20200403	7.690000	8.140000	7.520000	7.770000	7.770000
20200406	8.550000	8.840000	8.140000	8.660000	8.660000
20200407	9.480000	10.260000	9.130000	9.150000	9.150000
20200408	9.360000	9.690000	9.050000	9.630000	9.630000
20200409	10.180000	11.240000	10.180000	10.820000	10.820000
20200413	10.800000	10.840000	10.120000	10.550000	10.550000
20200414	10.770000	11.100000	10.550000	10.730000	10.730000
20200415	10.030000	10.150000	9.580000	9.710000	9.710000
20200416	9.580000	9.610000	8.410000	8.480000	8.480000
20200417	9.130000	9.550000	8.790000	8.920000	8.920000
20200420	8.560000	8.890000	8.330000	8.560000	8.560000
20200421	8.150000	8.540000	8.030000	8.300000	8.300000
20200422	8.690000	8.690000	8.200000	8.330000	8.330000
20200423	8.410000	8.880000	8.340000	8.640000	8.640000
20200424	8.750000	8.970000	8.380000	8.600000	8.600000
20200427	8.660000	9.320000	8.560000	9.300000	9.300000
20200428	9.810000	10.380000	9.810000	10.150000	10.150000
20200429	10.670000	11.270000	10.650000	11.190000	11.190000
20200430	10.800000	11.040000	10.440000	10.910000	10.910000
20200501	10.440000	10.680000	10.250000	10.600000	10.600000
20200504	10.100000	10.510000	9.990000	10.400000	10.400000
20200505	10.800000	10.910000	10.350000	10.380000	10.380000
20200506	10.400000	10.450000	9.760000	9.820000	9.820000
20200507	10.000000	10.310000	9.847500	10.290000	10.290000
