Date	Open	High	Low	Close	Volume
20200203	20.860001	21.040001	20.709999	20.809999	20.809999
20200204	21.040001	21.219999	20.950001	21.000000	21.000000
20200205	21.150000	21.379999	21.150000	21.290001	21.290001
20200206	21.309999	21.480000	21.209999	21.330000	21.330000
20200207	21.250000	21.320000	21.080000	21.120001	21.120001
20200210	21.070000	21.340000	21.049999	21.320000	21.320000
20200211	21.459999	21.500000	21.360001	21.459999	21.459999
20200212	21.580000	21.870001	21.559999	21.809999	21.809999
20200213	21.870001	21.990000	21.790001	21.940001	21.940001
20200214	22.000000	22.090000	21.889999	22.000000	22.000000
20200218	21.980000	22.020000	21.850000	22.010000	22.010000
20200219	22.070000	22.350000	21.959999	22.160000	22.160000
20200220	22.360001	22.580000	22.190001	22.240000	22.240000
20200221	22.100000	22.230000	21.900000	22.139999	22.139999
20200224	21.709999	22.020000	21.620001	21.770000	21.770000
20200225	21.850000	21.940001	21.010000	21.049999	21.049999
20200226	21.020000	21.040001	20.450001	20.520000	20.520000
20200227	20.190001	20.379999	19.510000	19.520000	19.520000
20200228	19.020000	19.280001	18.400000	19.170000	19.170000
20200302	19.360001	20.290001	19.100000	20.240000	20.240000
20200303	20.350000	20.690001	19.590000	19.850000	19.850000
20200304	20.160000	20.379999	19.980000	20.230000	20.230000
20200305	19.809999	20.100000	19.379999	19.700001	19.700001
20200306	19.190001	19.440001	18.600000	19.330000	19.330000
20200309	17.250000	17.400000	16.000000	16.100000	16.100000
20200310	16.700001	17.240000	14.950000	16.040001	16.040001
20200311	15.520000	16.040001	15.130000	15.500000	15.500000
20200312	14.220000	14.600000	13.450000	13.860000	13.860000
20200313	15.030000	15.130000	13.220000	14.780000	14.780000
20200316	13.120000	13.880000	12.650000	12.730000	12.730000
20200317	12.880000	13.400000	12.320000	12.640000	12.640000
20200318	11.790000	11.870000	9.440000	9.980000	9.980000
20200319	10.030000	11.450000	9.420000	11.200000	11.200000
20200320	11.840000	12.440000	11.150000	12.350000	12.350000
20200323	12.020000	12.320000	11.010000	11.030000	11.030000
20200324	12.010000	12.940000	11.360000	12.880000	12.880000
20200325	13.040000	14.750000	12.450000	13.730000	13.730000
20200326	13.940000	14.850000	13.760000	14.480000	14.480000
20200327	13.760000	14.360000	13.590000	13.750000	13.750000
20200330	13.400000	13.500000	12.640000	13.270000	13.270000
20200331	13.460000	14.200000	13.170000	13.920000	13.920000
20200401	13.050000	13.280000	12.500000	12.730000	12.730000
20200402	13.180000	14.130000	12.990000	13.450000	13.450000
20200403	13.450000	13.770000	12.880000	13.410000	13.410000
20200406	13.960000	14.200000	13.620000	13.990000	13.990000
20200407	14.650000	14.770000	14.020000	14.200000	14.200000
20200408	14.380000	14.890000	14.180000	14.830000	14.830000
20200409	15.200000	15.890000	14.900000	15.360000	15.360000
20200413	15.750000	15.880000	14.730000	14.950000	14.950000
20200414	14.990000	15.240000	14.830000	15.120000	15.120000
20200415	14.370000	14.770000	14.020000	14.350000	14.350000
20200416	14.240000	14.390000	13.940000	14.110000	14.110000
20200417	14.360000	15.000000	14.300000	14.970000	14.970000
20200420	14.140000	15.160000	14.030000	14.690000	14.690000
20200421	14.200000	14.710000	13.980000	14.460000	14.460000
20200422	15.000000	15.040000	14.240000	14.620000	14.620000
