Date	Open	High	Low	Close	Volume
20200203	42.869999	44.090000	42.770000	42.880001	41.348415
20200204	43.459999	44.049999	43.130001	43.220001	41.676273
20200205	43.750000	46.259998	43.680000	46.070000	44.424477
20200206	46.340000	46.470001	44.919998	44.950001	43.344482
20200207	44.650002	44.759998	43.630001	43.799999	42.235554
20200210	43.599998	44.520000	43.459999	44.090000	42.515198
20200211	44.189999	44.750000	43.650002	44.439999	42.852695
20200212	44.740002	45.700001	44.580002	45.360001	43.739838
20200213	45.009998	45.130001	44.270000	44.639999	43.045551
20200214	44.680000	44.720001	44.110001	44.470001	42.881626
20200218	44.220001	44.279999	43.360001	43.830002	42.264484
20200219	43.830002	44.330002	43.180000	44.000000	42.428413
20200220	43.950001	45.520000	43.810001	44.770000	43.170910
20200221	44.230000	45.029999	43.939999	44.549999	42.958767
20200224	42.880001	43.509998	42.360001	43.130001	41.589489
20200225	43.380001	43.560001	40.459999	41.099998	39.631992
20200226	41.310001	41.779999	39.910000	40.020000	38.590569
20200227	38.750000	40.849998	37.110001	38.919998	37.529858
20200228	37.549999	39.750000	37.509998	39.150002	37.751644
20200302	39.200001	39.200001	37.169998	38.439999	37.067001
20200303	39.860001	40.099998	36.580002	37.430000	36.093079
20200304	37.770000	37.770000	35.740002	36.520000	35.215584
20200305	35.419998	35.959999	34.009998	34.139999	32.920589
20200306	33.500000	35.980000	32.880001	34.650002	33.412376
20200309	32.080002	32.790001	31.100000	32.500000	31.339169
20200310	34.020000	34.209999	30.049999	31.610001	30.480957
20200311	30.580000	30.690001	28.090000	28.450001	27.433826
20200312	24.750000	25.500000	23.000000	23.010000	22.188131
20200313	24.600000	24.900000	22.049999	24.790001	23.904554
20200316	21.660000	22.080000	19.700001	19.709999	19.005999
20200317	19.299999	19.350000	15.950000	17.000000	17.000000
20200318	15.920000	16.480000	13.980000	15.590000	15.590000
20200319	15.350000	18.070000	14.360000	17.180000	17.180000
20200320	17.000000	17.600000	15.330000	15.850000	15.850000
20200323	15.600000	15.790000	12.850000	13.090000	13.090000
20200324	14.200000	16.840000	14.010000	16.629999	16.629999
20200325	17.389999	18.299999	15.890000	17.700001	17.700001
20200326	18.410000	18.889999	17.110001	17.959999	17.959999
20200327	16.770000	18.260000	15.770000	17.549999	17.549999
20200330	17.020000	17.540001	15.700000	16.030001	16.030001
20200331	15.920000	16.459999	14.450000	14.590000	14.590000
20200401	13.790000	13.920000	12.850000	12.940000	12.940000
20200402	12.900000	13.770000	11.520000	11.710000	11.710000
20200403	11.750000	11.990000	10.890000	11.510000	11.510000
20200406	12.420000	14.590000	12.310000	14.150000	14.150000
20200407	16.650000	18.629999	16.510000	17.010000	17.010000
20200408	17.950001	18.500000	17.000000	17.520000	17.520000
20200409	18.879999	21.280001	18.809999	19.910000	19.910000
20200413	20.420000	20.900000	17.920000	18.790001	18.790001
20200414	19.430000	20.330000	18.570000	19.010000	19.010000
20200415	17.600000	18.469999	17.080000	17.690001	17.690001
20200416	17.850000	18.080000	17.200001	17.610001	17.610001
20200417	18.959999	19.700001	18.030001	18.480000	18.480000
20200420	17.730000	18.309999	16.980000	17.059999	17.059999
20200421	16.330000	17.080000	16.110001	16.480000	16.480000
20200422	16.900000	17.200001	15.160000	15.390000	15.390000
20200423	15.080000	16.350000	15.040000	16.120001	16.120001
20200424	16.250000	16.450001	15.120000	15.800000	15.800000
20200427	16.200001	18.639999	15.720000	18.600000	18.600000
20200428	19.730000	20.950001	18.740000	19.840000	19.840000
20200429	20.900000	21.080000	19.370001	20.049999	20.049999
20200430	19.500000	19.639999	18.219999	18.459999	18.459999
20200501	17.719999	18.379999	17.350000	17.639999	17.639999
20200504	16.990000	17.940001	16.260000	17.570000	17.570000
20200505	18.000000	18.580000	16.980000	17.080000	17.080000
20200506	17.260000	17.400000	16.450001	16.650000	16.650000
20200507	17.219999	18.299999	17.219999	18.170000	18.170000
