Date	Open	High	Low	Close	Volume
20200203	22.879999	23.120001	22.410000	22.440001	22.166342
20200204	22.510000	24.090000	22.120001	23.799999	23.509756
20200205	23.980000	24.700001	23.639999	24.570000	24.270367
20200206	24.639999	24.860001	23.940001	23.980000	23.687561
20200207	23.840000	23.910000	23.350000	23.580000	23.292439
20200210	25.110001	25.260000	23.370001	24.139999	23.845610
20200211	24.299999	24.959999	24.209999	24.590000	24.290123
20200212	24.830000	24.940001	24.510000	24.719999	24.418537
20200213	24.400000	24.620001	23.840000	24.280001	23.983904
20200214	24.459999	24.650000	24.150000	24.340000	24.043171
20200218	24.250000	24.430000	23.770000	24.090000	23.796221
20200219	24.240000	24.600000	24.110001	24.600000	24.300001
20200220	22.459999	24.959999	21.809999	23.420000	23.420000
20200221	23.969999	24.430000	23.559999	24.070000	24.070000
20200224	23.230000	23.700001	22.620001	23.650000	23.650000
20200225	23.590000	23.770000	23.090000	23.500000	23.500000
20200226	23.600000	23.719999	22.740000	22.780001	22.780001
20200227	21.070000	23.360001	20.610001	23.049999	23.049999
20200228	22.469999	22.940001	21.330000	21.660000	21.660000
20200302	21.840000	22.340000	21.150000	22.250000	22.250000
20200303	22.320000	23.110001	21.900000	22.080000	22.080000
20200304	22.260000	24.490000	22.080000	24.350000	24.350000
20200305	23.540001	24.520000	23.000000	23.309999	23.309999
20200306	22.270000	22.709999	21.740000	22.250000	22.250000
20200309	20.900000	21.860001	20.000000	20.600000	20.600000
20200310	21.549999	21.700001	20.139999	20.770000	20.770000
20200311	20.260000	20.709999	19.480000	19.620001	19.620001
20200312	18.139999	18.139999	15.790000	15.840000	15.840000
20200313	16.620001	16.920000	15.400000	16.120001	16.120001
20200316	14.330000	14.330000	10.040000	11.650000	11.650000
20200317	11.790000	11.820000	8.000000	10.130000	10.130000
20200318	9.440000	10.190000	8.070000	9.790000	9.790000
20200319	9.490000	11.210000	8.510000	10.740000	10.740000
20200320	10.830000	11.230000	9.450000	9.780000	9.780000
20200323	9.690000	9.750000	8.520000	9.170000	9.170000
20200324	9.670000	13.200000	9.620000	12.750000	12.750000
20200325	13.180000	15.180000	12.500000	13.930000	13.930000
20200326	14.350000	14.720000	12.970000	13.140000	13.140000
20200327	12.330000	13.220000	11.500000	12.590000	12.590000
20200330	12.310000	12.580000	11.010000	11.790000	11.790000
20200331	11.690000	12.450000	11.450000	11.560000	11.560000
20200401	10.590000	11.010000	9.650000	10.230000	10.230000
20200402	10.050000	10.230000	9.320000	10.150000	10.150000
20200403	10.140000	11.510000	10.110000	11.340000	11.340000
20200406	12.120000	13.090000	11.550000	12.550000	12.550000
20200407	13.800000	14.790000	12.990000	13.240000	13.240000
20200408	13.420000	15.080000	13.350000	14.580000	14.580000
20200409	15.650000	16.959999	14.690000	14.930000	14.930000
20200413	14.930000	14.950000	13.480000	13.710000	13.710000
20200414	14.280000	15.050000	13.700000	14.070000	14.070000
20200415	12.980000	13.160000	12.180000	12.620000	12.620000
20200416	12.750000	12.850000	12.040000	12.240000	12.240000
20200417	13.010000	13.940000	12.910000	13.780000	13.780000
20200420	13.130000	13.500000	12.430000	12.540000	12.540000
20200421	11.850000	12.680000	11.810000	12.060000	12.060000
20200422	12.310000	12.400000	9.230000	9.610000	9.610000
