Date	Open	High	Low	Close	Volume
20200203	221.750000	223.270004	220.339996	220.889999	219.893204
20200204	225.360001	228.500000	222.289993	223.740005	222.730362
20200205	224.610001	225.889999	221.910004	223.470001	222.461563
20200206	223.649994	227.580002	222.979996	225.979996	224.960236
20200207	227.220001	230.580002	226.000000	229.860001	228.822739
20200210	229.869995	230.990005	227.229996	229.600006	228.563904
20200211	229.270004	229.440002	226.830002	228.000000	226.971130
20200212	228.490005	230.229996	224.759995	230.039993	229.001907
20200213	229.190002	230.979996	226.960007	227.009995	225.985580
20200214	227.160004	229.470001	226.479996	228.550003	227.518646
20200218	228.000000	229.860001	226.559998	228.729996	227.697830
20200219	228.610001	229.710007	225.509995	225.979996	224.960236
20200220	226.429993	227.220001	221.490005	223.800003	222.790085
20200221	222.990005	224.229996	221.559998	222.800003	221.794601
20200224	218.179993	220.750000	216.830002	219.059998	218.071472
20200225	219.330002	220.779999	208.899994	209.759995	208.813431
20200226	209.820007	215.740005	209.779999	210.320007	209.370911
20200227	208.520004	210.020004	201.410004	201.940002	201.028732
20200228	195.520004	198.110001	190.610001	197.729996	196.837723
20200302	197.899994	202.990005	194.710007	202.050003	201.138229
20200303	203.869995	209.500000	197.880005	198.679993	197.783432
20200304	202.350006	212.000000	200.289993	211.639999	210.684952
20200305	208.649994	208.869995	199.000000	200.570007	199.664917
20200306	195.000000	201.589996	192.399994	199.929993	199.027786
20200309	186.770004	192.990005	182.000000	186.580002	185.738037
20200310	193.500000	196.300003	186.309998	196.119995	195.234985
20200311	190.800003	193.559998	184.360001	188.360001	187.510010
20200312	174.619995	181.550003	164.119995	166.020004	166.020004
20200313	174.630005	178.639999	164.479996	177.630005	177.630005
20200316	155.000000	166.470001	149.210007	152.229996	152.229996
20200317	155.320007	170.679993	151.399994	168.949997	168.949997
20200318	154.940002	175.100006	152.169998	167.990005	167.990005
20200319	166.339996	167.369995	153.449997	160.139999	160.139999
20200320	160.479996	160.479996	150.800003	154.039993	154.039993
20200323	153.029999	154.539993	142.009995	150.220001	150.220001
20200324	153.479996	162.559998	152.949997	162.070007	162.070007
20200325	160.740005	179.770004	160.000000	173.460007	173.460007
20200326	175.669998	191.190002	174.830002	190.500000	190.500000
20200327	183.639999	190.539993	178.460007	185.000000	185.000000
20200330	186.910004	187.490005	179.240005	181.960007	181.960007
20200331	180.830002	183.559998	177.009995	180.119995	180.119995
20200401	171.990005	177.910004	170.229996	177.169998	177.169998
20200402	176.130005	183.960007	175.220001	183.520004	183.520004
20200403	183.429993	184.759995	177.350006	178.500000	178.500000
20200406	186.960007	187.210007	181.600006	184.000000	184.000000
20200407	190.630005	190.639999	178.669998	179.899994	179.899994
20200408	181.000000	188.679993	179.550003	185.199997	185.199997
20200409	186.369995	194.250000	186.029999	190.789993	190.789993
20200413	190.440002	190.759995	185.029999	188.320007	188.320007
20200414	192.669998	197.860001	191.479996	197.000000	197.000000
20200415	198.460007	198.460007	190.759995	195.000000	195.000000
20200416	195.210007	198.630005	194.179993	198.220001	198.220001
20200417	202.399994	204.130005	200.820007	203.500000	203.500000
20200420	200.309998	202.580002	194.649994	194.839996	194.839996
20200421	192.270004	194.619995	186.070007	187.779999	187.779999
20200422	192.229996	194.589996	190.889999	191.759995	191.759995
20200423	193.440002	194.240005	188.699997	189.429993	189.429993
20200424	190.000000	190.470001	186.419998	189.850006	189.850006
20200427	190.639999	193.990005	190.539993	192.699997	192.699997
20200428	195.000000	198.100006	194.169998	195.789993	195.789993
20200429	195.660004	198.250000	193.619995	195.300003	195.300003
20200430	193.240005	194.490005	191.759995	193.699997	193.699997
20200501	190.779999	190.960007	186.770004	189.460007	189.460007
20200504	187.539993	188.089996	183.789993	186.820007	186.820007
20200505	185.580002	192.949997	184.050003	189.000000	189.000000
20200506	189.940002	190.000000	182.240005	182.509995	182.509995
20200507	185.000000	185.695007	183.190002	184.550003	184.550003
