Date	Open	High	Low	Close	Volume
20200203	140.529999	141.570007	139.679993	141.000000	140.272934
20200204	142.300003	144.070007	141.779999	143.440002	142.700363
20200205	144.779999	147.360001	144.529999	147.350006	146.590195
20200206	147.740005	147.869995	146.809998	147.300003	146.540451
20200207	147.220001	147.220001	145.380005	146.410004	145.655045
20200210	141.500000	145.550003	141.119995	145.509995	144.759674
20200211	145.729996	145.860001	143.179993	144.250000	143.506180
20200212	144.669998	144.899994	143.490005	143.509995	142.769989
20200213	142.860001	143.740005	141.789993	141.800003	141.800003
20200214	142.250000	142.320007	140.570007	141.119995	141.119995
20200218	141.020004	141.960007	140.529999	141.009995	141.009995
20200219	141.619995	141.839996	140.360001	140.830002	140.830002
20200220	141.630005	142.809998	141.199997	142.000000	142.000000
20200221	141.339996	142.649994	140.330002	142.039993	142.039993
20200224	139.279999	141.589996	137.869995	138.149994	138.149994
20200225	138.940002	139.229996	134.619995	135.410004	135.410004
20200226	136.029999	137.020004	133.309998	133.529999	133.529999
20200227	133.330002	134.669998	129.050003	129.190002	129.190002
20200228	126.379997	126.800003	121.510002	126.129997	126.129997
20200302	127.739998	133.000000	126.209999	132.839996	132.839996
20200303	133.279999	135.649994	128.690002	130.309998	130.309998
20200304	133.029999	140.860001	133.000000	140.380005	140.380005
20200305	138.380005	141.910004	137.529999	140.149994	140.149994
20200306	136.119995	142.360001	135.550003	141.460007	141.460007
20200309	134.020004	140.929993	133.309998	135.720001	135.720001
20200310	139.229996	141.929993	134.720001	141.190002	141.190002
20200311	139.460007	141.839996	137.389999	140.020004	140.020004
20200312	130.789993	136.500000	125.930000	126.019997	126.019997
20200313	132.949997	139.369995	128.509995	139.369995	139.369995
20200316	131.000000	138.679993	128.250000	129.380005	129.380005
20200317	133.210007	143.589996	131.100006	143.199997	143.199997
20200318	136.339996	144.000000	134.080002	143.089996	143.089996
20200319	142.490005	142.979996	131.119995	133.089996	133.089996
20200320	132.160004	132.250000	120.230003	122.400002	122.400002
20200323	120.949997	126.879997	117.059998	119.050003	119.050003
20200324	123.239998	124.599998	117.410004	122.889999	122.889999
20200325	120.120003	126.139999	119.209999	121.940002	121.940002
20200326	123.290001	135.740005	121.940002	134.350006	134.350006
20200327	130.649994	137.610001	130.199997	134.110001	134.110001
20200330	133.869995	141.770004	133.509995	138.440002	138.440002
20200331	136.960007	142.020004	134.520004	138.720001	138.720001
20200401	134.000000	137.190002	132.979996	136.419998	136.419998
20200402	135.350006	142.800003	133.029999	142.179993	142.179993
20200403	140.919998	144.600006	138.460007	139.660004	139.660004
20200406	142.270004	143.500000	140.300003	141.610001	141.610001
20200407	143.130005	144.800003	140.050003	141.880005	141.880005
20200408	142.050003	147.250000	140.500000	146.220001	146.220001
20200409	144.509995	146.399994	143.550003	145.729996	145.729996
20200413	144.970001	146.589996	142.880005	144.419998	144.419998
20200414	147.279999	151.550003	144.050003	151.110001	151.110001
20200415	148.940002	153.399994	148.509995	151.179993	151.179993
20200416	152.889999	155.589996	152.000000	154.729996	154.729996
20200417	155.419998	157.669998	153.029999	157.289993	157.289993
20200420	156.630005	160.199997	155.610001	157.789993	157.789993
20200421	155.410004	155.800003	151.410004	152.669998	152.669998
20200422	154.610001	157.279999	153.570007	156.710007	156.710007
20200423	157.179993	162.559998	154.000000	159.929993	159.929993
20200424	162.000000	164.899994	160.610001	162.929993	162.929993
20200427	164.000000	164.500000	160.720001	161.289993	161.289993
20200428	160.940002	161.979996	156.589996	157.300003	157.300003
20200429	157.759995	158.029999	154.669998	155.160004	155.160004
20200430	155.199997	156.979996	153.279999	154.639999	154.639999
20200501	153.720001	154.600006	151.570007	153.630005	153.630005
20200504	154.649994	156.000000	151.259995	153.279999	153.279999
20200505	153.800003	159.220001	152.750000	157.889999	157.889999
20200506	158.460007	158.940002	156.350006	156.679993	156.679993
20200507	157.500000	157.526398	153.554596	154.929993	154.929993
