Date	Open	High	Low	Close	Volume
20200203	54.919998	55.830002	54.400002	54.419998	53.751450
20200204	55.720001	56.279999	55.500000	55.680000	54.995972
20200205	56.970001	58.150002	56.910000	57.990002	57.277596
20200206	60.000000	60.610001	59.090000	59.369999	58.640640
20200207	58.549999	59.770000	58.549999	59.459999	58.729534
20200210	59.160000	59.820000	58.770000	59.709999	58.976463
20200211	60.070000	61.509998	60.020000	60.549999	59.806145
20200212	61.080002	61.790001	60.860001	60.980000	60.230862
20200213	60.500000	61.310001	60.480000	61.169998	60.418526
20200214	61.200001	61.680000	60.639999	61.110001	60.359264
20200218	60.549999	61.169998	59.660000	60.169998	59.430809
20200219	60.340000	61.110001	60.290001	60.860001	60.112335
20200220	60.560001	61.959999	60.520000	61.029999	60.280247
20200221	60.220001	60.580002	59.330002	59.770000	59.035725
20200224	57.090000	57.270000	54.250000	55.099998	54.423096
20200225	55.259998	55.279999	51.669998	52.099998	51.459949
20200226	52.750000	52.880001	51.160000	51.180000	50.551254
20200227	49.520000	50.380001	47.720001	47.730000	47.143639
20200228	45.869999	47.020000	44.029999	45.389999	44.832382
20200302	45.790001	48.279999	44.840000	48.279999	47.686878
20200303	48.080002	48.709999	44.150002	44.250000	43.706390
20200304	45.240002	45.250000	42.810001	45.000000	44.447174
20200305	43.049999	43.369999	40.709999	41.169998	40.664227
20200306	38.840000	40.160000	37.130001	38.119999	37.651695
20200309	34.410000	35.419998	30.500000	31.709999	31.320442
20200310	35.380001	37.150002	33.200001	35.500000	35.063881
20200311	33.590000	34.090000	31.290001	31.870001	31.478477
20200312	28.730000	29.299999	23.260000	23.370001	23.082901
20200313	26.150000	28.860001	23.670000	28.860001	28.505455
20200316	21.780001	25.400000	21.450001	21.670000	21.403784
20200317	22.459999	23.379999	19.309999	22.910000	22.628551
20200318	20.049999	21.990000	16.950001	19.740000	19.497494
20200319	19.120001	20.850000	17.340000	19.219999	18.983881
20200320	19.469999	20.290001	16.959999	17.059999	16.850418
20200323	17.049999	17.700001	16.110001	17.350000	17.136856
20200324	19.090000	23.139999	18.780001	22.850000	22.569288
20200325	24.389999	26.860001	22.530001	25.090000	24.781769
20200326	25.709999	29.010000	24.860001	28.770000	28.416561
20200327	26.000000	29.520000	25.799999	27.459999	27.122654
20200330	27.100000	27.690001	25.360001	27.280001	26.944866
20200331	27.049999	27.240000	26.100000	26.320000	25.996658
20200401	24.240000	24.650000	23.290001	23.850000	23.557003
20200402	23.469999	25.020000	22.760000	23.530001	23.240934
20200403	23.180000	23.900000	22.650000	23.459999	23.171793
20200406	25.809999	27.250000	25.010000	26.990000	26.658428
20200407	29.690001	31.719999	29.030001	29.420000	29.058575
20200408	29.959999	32.889999	29.670000	32.560001	32.160004
20200409	34.430000	36.930000	32.950001	34.290001	34.290001
20200413	34.209999	34.439999	31.430000	32.369999	32.369999
20200414	33.500000	33.990002	31.570000	32.220001	32.220001
20200415	29.910000	30.379999	28.879999	28.900000	28.900000
20200416	29.010000	29.010000	27.469999	27.629999	27.629999
20200417	28.840000	30.180000	28.820000	29.660000	29.660000
20200420	28.110001	29.780001	27.820000	29.010000	29.010000
20200421	27.280001	28.370001	26.969999	27.129999	27.129999
20200422	28.450001	29.350000	27.780001	29.040001	29.040001
20200423	29.500000	30.580000	28.660000	28.700001	28.700001
20200424	29.290001	30.590000	28.790001	30.209999	30.209999
20200427	30.520000	32.110001	30.440001	31.870001	31.870001
20200428	34.259998	34.650002	32.689999	33.709999	33.709999
20200429	35.840000	37.369999	35.439999	36.599998	36.599998
20200430	35.020000	36.450001	34.270000	35.470001	35.470001
20200501	33.779999	34.230000	31.920000	32.480000	32.480000
20200504	31.570000	32.820000	30.700001	32.709999	32.709999
20200505	33.310001	34.029999	32.349998	32.470001	32.470001
20200506	33.150002	33.169998	29.820000	29.910000	29.910000
20200507	32.900002	35.759998	32.900002	35.759998	35.759998
