Date	Open	High	Low	Close	Volume
20200203	59.580002	59.709999	59.270000	59.520000	59.073452
20200204	59.439999	59.590000	58.570000	58.660000	58.219902
20200205	58.500000	58.880001	58.299999	58.560001	58.120655
20200206	58.680000	58.889999	58.410000	58.529999	58.090878
20200207	58.770000	58.970001	58.310001	58.330002	57.892380
20200210	58.490002	58.570000	58.220001	58.419998	57.981701
20200211	58.470001	58.740002	58.340000	58.389999	57.951927
20200212	58.200001	58.790001	58.150002	58.660000	58.219902
20200213	58.630001	59.389999	58.520000	59.380001	58.934502
20200214	59.470001	59.779999	59.330002	59.740002	59.291801
20200218	59.950001	60.279999	59.740002	60.169998	59.718575
20200219	60.150002	60.150002	59.389999	59.470001	59.023827
20200220	59.369999	59.669998	59.110001	59.570000	59.123077
20200221	59.650002	60.270000	59.009998	59.139999	58.696301
20200224	59.360001	59.799999	58.730000	58.840000	58.398552
20200225	58.900002	59.509998	57.950001	58.009998	57.574780
20200226	58.060001	58.759998	57.799999	57.830002	57.396133
20200227	57.830002	58.029999	54.849998	54.950001	54.537739
20200228	54.000000	54.000000	51.250000	52.119999	51.728970
20200302	52.209999	55.470001	52.130001	55.360001	54.944664
20200303	55.290001	56.540001	54.560001	54.770000	54.359089
20200304	55.419998	58.150002	54.990002	57.860001	57.425907
20200305	57.020000	58.020000	56.580002	57.389999	56.959431
20200306	56.020000	57.720001	54.959999	57.490002	57.058681
20200309	54.619999	56.410000	53.189999	54.160000	53.753666
20200310	54.770000	56.040001	51.959999	54.000000	53.594864
20200311	52.810001	53.799999	50.910000	51.590000	51.202946
20200312	48.750000	51.730000	45.369999	48.180000	47.818531
20200313	49.919998	51.099998	47.549999	50.900002	50.518124
20200316	47.869999	50.290001	46.430000	47.560001	47.203182
20200317	48.599998	53.939999	48.509998	52.369999	51.977093
20200318	50.070000	51.560001	46.750000	48.970001	48.602604
20200319	49.040001	49.400002	44.509998	45.029999	44.692162
20200320	45.060001	45.139999	40.209999	40.700001	40.394650
20200323	40.279999	40.720001	37.660000	39.990002	39.689976
20200324	41.000000	44.020000	39.340000	43.860001	43.530941
20200325	43.070000	45.889999	40.509998	44.180000	43.848541
20200326	44.240002	48.619999	44.180000	47.900002	47.540630
20200327	46.369999	49.330002	45.669998	47.750000	47.391754
20200330	48.369999	50.790001	47.349998	50.570000	50.190598
20200331	49.669998	50.490002	48.009998	48.290001	47.927704
20200401	46.459999	46.919998	43.970001	44.970001	44.632614
20200402	44.029999	47.290001	43.610001	46.919998	46.567982
20200403	46.369999	47.349998	44.740002	45.150002	44.811264
20200406	46.470001	48.680000	46.099998	47.830002	47.471157
20200407	49.040001	49.169998	47.689999	48.029999	47.669655
20200408	48.119999	51.660000	47.790001	51.230000	50.845646
20200409	51.509998	54.450001	51.509998	53.139999	52.741318
20200413	52.570000	52.980000	50.669998	51.279999	50.895271
20200414	52.459999	53.750000	52.169998	53.619999	53.217716
20200415	52.820000	53.299999	51.220001	51.500000	51.113621
20200416	51.790001	52.419998	50.900002	51.610001	51.222797
20200417	52.230000	53.180000	51.610001	52.869999	52.473343
20200420	52.070000	52.529999	49.849998	49.990002	49.614952
20200421	48.970001	49.830002	48.410000	49.700001	49.327126
20200422	50.450001	51.599998	49.830002	51.029999	50.647148
20200423	51.090000	51.160000	49.630001	50.090000	49.714199
20200424	50.049999	50.400002	48.889999	49.980000	49.605026
20200427	50.250000	50.740002	50.000000	50.340000	49.962326
20200428	50.939999	51.369999	50.080002	50.650002	50.270000
20200429	50.779999	50.930000	49.029999	49.410000	49.410000
20200430	49.099998	49.299999	47.939999	48.549999	48.549999
20200501	48.180000	48.360001	46.810001	47.250000	47.250000
20200504	47.410000	47.709999	46.599998	47.500000	47.500000
20200505	47.610001	48.430000	47.500000	48.020000	48.020000
20200506	48.220001	48.369999	46.080002	46.169998	46.169998
20200507	46.880001	47.410000	46.230000	46.919998	46.919998
