Date	Open	High	Low	Close	Volume
20200203	117.000000	119.220001	116.720001	117.180000	116.502510
20200204	118.809998	120.309998	118.320000	119.349998	118.659966
20200205	120.519997	122.349998	119.930000	122.129997	121.423889
20200206	122.440002	122.870003	121.500000	121.510002	120.807480
20200207	121.650002	121.959999	120.790001	121.480003	120.777657
20200210	120.900002	121.820000	120.459999	121.209999	120.509209
20200211	121.309998	123.190002	121.160004	123.029999	122.318687
20200212	123.900002	125.199997	123.620003	125.029999	124.307129
20200213	124.239998	125.269997	123.970001	124.769997	124.048630
20200214	125.150002	125.559998	124.489998	125.419998	124.694870
20200218	124.639999	125.910004	122.820000	123.230003	122.517540
20200219	123.669998	124.480003	123.160004	123.440002	122.726326
20200220	123.769997	126.730003	123.010002	126.570000	125.838226
20200221	125.750000	126.199997	124.419998	125.309998	124.585503
20200224	122.320000	124.419998	122.010002	122.910004	122.199387
20200225	124.389999	124.389999	118.519997	118.519997	117.834763
20200226	120.300003	120.449997	111.959999	113.300003	112.644951
20200227	110.099998	112.540001	107.529999	107.620003	106.997787
20200228	104.070000	107.169998	102.930000	106.570000	105.953857
20200302	107.199997	111.180000	105.089996	111.040001	110.398010
20200303	111.309998	113.029999	107.150002	108.559998	107.932350
20200304	110.709999	113.550003	109.559998	113.290001	112.635002
20200305	110.279999	111.239998	106.879997	107.519997	106.898361
20200306	103.949997	106.050003	102.169998	105.309998	104.701141
20200309	97.820000	99.820000	93.150002	94.220001	93.675262
20200310	98.250000	104.139999	95.050003	104.019997	103.418594
20200311	100.330002	103.309998	97.760002	99.150002	98.576759
20200312	91.209999	94.900002	89.110001	89.919998	89.400116
20200313	93.660004	96.559998	88.379997	96.489998	95.932129
20200316	85.550003	87.599998	71.180000	72.589996	72.170311
20200317	73.550003	75.620003	64.250000	73.790001	73.363380
20200318	68.510002	70.120003	61.000000	65.019997	64.644081
20200319	64.410004	73.209999	60.000000	69.870003	69.466042
20200320	72.250000	72.980003	65.529999	66.360001	65.976334
20200323	65.220001	69.110001	63.049999	67.800003	67.408012
20200324	72.760002	77.589996	72.050003	77.300003	76.853088
20200325	80.110001	86.989998	78.320000	83.720001	83.235970
20200326	86.080002	90.940002	85.949997	88.110001	87.600586
20200327	84.080002	89.720001	83.400002	86.980003	86.477119
20200330	87.400002	89.540001	85.430000	88.709999	88.197113
20200331	88.070000	88.940002	85.529999	86.050003	85.552498
20200401	80.739998	83.919998	79.080002	80.419998	79.955040
20200402	79.849998	83.269997	79.250000	82.860001	82.380936
20200403	82.129997	84.239998	81.150002	82.199997	81.724747
20200406	87.089996	89.370003	84.000000	88.769997	88.256767
20200407	94.959999	96.180000	90.750000	90.959999	90.434105
20200408	91.449997	94.769997	90.589996	94.349998	93.804504
20200409	96.440002	98.400002	94.769997	95.309998	94.758957
20200413	95.389999	95.839996	93.040001	95.199997	94.649590
20200414	97.839996	99.820000	96.820000	99.070000	98.497215
20200415	94.889999	95.900002	92.559998	94.339996	93.794563
20200416	94.000000	96.080002	91.790001	92.440002	91.905556
20200417	96.500000	98.669998	95.339996	97.099998	96.538605
20200420	95.250000	97.809998	94.529999	95.129997	94.579994
20200421	92.089996	93.699997	91.489998	92.620003	92.620003
20200422	93.800003	96.029999	93.160004	94.949997	94.949997
20200423	95.260002	96.660004	94.820000	94.900002	94.900002
20200424	96.070000	99.660004	95.720001	98.750000	98.750000
20200427	99.320000	102.970001	99.309998	101.970001	101.970001
20200428	105.449997	106.570000	102.430000	103.519997	103.519997
20200429	106.730003	107.800003	105.180000	106.160004	106.160004
20200430	104.709999	106.720001	103.470001	104.750000	104.750000
20200501	102.500000	104.690002	102.309998	104.459999	104.459999
20200504	103.410004	107.379997	102.830002	107.349998	107.349998
20200505	108.930000	111.690002	108.879997	110.150002	110.150002
20200506	110.290001	111.529999	108.949997	109.620003	109.620003
20200507	111.150002	112.939903	111.070000	112.939903	112.939903
