Date	Open	High	Low	Close	Volume
20200203	66.110001	67.559998	65.930000	66.559998	65.258125
20200204	67.050003	69.080002	66.860001	67.839996	66.513092
20200205	69.059998	69.370003	67.489998	67.889999	66.562119
20200206	68.400002	69.599998	68.330002	69.470001	68.111214
20200207	67.699997	68.000000	66.510002	66.800003	65.493439
20200210	66.089996	68.250000	66.089996	68.160004	66.826843
20200211	68.629997	69.540001	67.910004	68.849998	67.503342
20200212	69.910004	71.379997	69.660004	71.129997	69.738739
20200213	70.410004	70.550003	69.169998	69.309998	67.954338
20200214	69.000000	69.199997	67.980003	68.070000	66.738594
20200218	68.239998	68.849998	67.160004	68.160004	66.826843
20200219	68.440002	69.930000	68.260002	69.099998	67.748451
20200220	68.480003	68.529999	66.709999	67.440002	66.120918
20200221	66.800003	66.980003	65.559998	65.599998	64.316910
20200224	62.439999	63.439999	62.180000	62.209999	60.993214
20200225	63.040001	63.270000	59.509998	60.160000	58.983311
20200226	60.560001	61.259998	58.439999	59.160000	58.002869
20200227	57.720001	61.009998	56.279999	58.430000	57.287148
20200228	56.820000	58.799999	56.619999	58.310001	57.169498
20200302	58.900002	58.900002	56.599998	58.259998	57.120472
20200303	58.599998	59.520000	55.480000	55.900002	54.806637
20200304	56.770000	57.840000	55.470001	57.250000	56.130230
20200305	55.599998	56.709999	54.570000	54.939999	53.865410
20200306	53.000000	56.090000	52.540001	54.860001	53.786976
20200309	51.009998	52.840000	49.000000	49.660000	48.688683
20200310	51.820000	53.509998	49.580002	53.380001	52.335926
20200311	51.779999	51.779999	48.220001	48.630001	47.678833
20200312	42.400002	46.590000	39.060001	44.150002	43.286457
20200313	48.020000	49.099998	42.869999	49.009998	48.051395
20200316	40.520000	45.099998	39.200001	40.389999	39.599998
20200317	40.759998	43.290001	35.919998	40.860001	40.860001
20200318	36.740002	40.099998	33.299999	37.680000	37.680000
20200319	36.750000	44.669998	33.860001	40.360001	40.360001
20200320	42.150002	47.000000	41.790001	43.310001	43.310001
20200323	43.509998	45.330002	41.610001	43.450001	43.450001
20200324	46.450001	47.820000	44.250000	44.840000	44.840000
20200325	46.849998	51.669998	44.770000	47.349998	47.349998
20200326	48.580002	52.930000	46.509998	48.360001	48.360001
20200327	45.549999	46.200001	42.000000	42.099998	42.099998
20200330	41.750000	44.730000	41.250000	43.490002	43.490002
20200331	43.439999	43.930000	41.799999	42.470001	42.470001
20200401	40.320000	41.200001	39.669998	40.299999	40.299999
20200402	39.900002	41.310001	39.630001	40.270000	40.270000
20200403	40.250000	40.490002	36.799999	37.919998	37.919998
20200406	40.560001	41.419998	39.730000	40.700001	40.700001
20200407	43.639999	44.750000	42.180000	42.700001	42.700001
20200408	43.740002	47.520000	43.180000	46.549999	46.549999
20200409	48.410000	49.889999	46.150002	47.860001	47.860001
20200413	47.590000	47.630001	45.509998	46.490002	46.490002
20200414	47.590000	48.250000	46.090000	48.130001	48.130001
20200415	46.009998	48.000000	45.650002	47.099998	47.099998
20200416	47.169998	47.580002	44.549999	45.900002	45.900002
20200417	47.500000	48.189999	46.209999	47.009998	47.009998
20200420	45.950001	46.099998	43.070000	43.130001	43.130001
20200421	43.119999	43.119999	40.419998	40.689999	40.689999
20200422	41.639999	41.869999	40.310001	41.029999	41.029999
20200423	45.169998	46.490002	43.860001	45.959999	45.959999
20200424	46.049999	46.369999	43.290001	43.779999	43.779999
20200427	44.680000	48.470001	44.060001	46.380001	46.380001
20200428	48.549999	49.990002	44.580002	46.580002	46.580002
20200429	48.630001	49.820000	47.660000	48.889999	48.889999
20200430	47.450001	49.340000	46.860001	48.020000	48.020000
20200501	46.090000	46.540001	45.000000	45.610001	45.610001
20200504	44.000000	45.730000	43.500000	45.450001	45.450001
20200505	46.630001	46.750000	45.230000	46.389999	46.389999
20200506	46.970001	47.439999	46.240002	46.439999	46.439999
20200507	47.130001	48.200001	46.834999	47.040001	47.040001
