Date	Open	High	Low	Close	Volume
20200203	68.599998	69.580002	68.290001	68.599998	68.599998
20200204	69.830002	71.360001	69.070000	70.989998	70.989998
20200205	71.699997	71.769997	70.379997	70.809998	70.809998
20200206	71.180000	72.400002	70.699997	72.250000	72.250000
20200207	72.099998	72.739998	71.620003	72.190002	72.190002
20200210	71.980003	72.919998	71.970001	72.889999	72.889999
20200211	73.010002	74.029999	72.970001	73.110001	73.110001
20200212	73.440002	74.239998	73.230003	74.099998	74.099998
20200213	73.519997	74.129997	73.120003	73.150002	73.150002
20200214	73.370003	74.180000	72.930000	74.019997	74.019997
20200218	73.720001	74.910004	73.510002	74.129997	74.129997
20200219	74.570000	76.599998	74.559998	76.080002	76.080002
20200220	76.050003	76.050003	74.279999	75.660004	75.660004
20200221	75.489998	75.769997	73.739998	74.190002	74.190002
20200224	71.349998	72.269997	68.150002	68.260002	68.260002
20200225	68.419998	69.489998	62.419998	62.790001	62.790001
20200226	63.369999	64.620003	59.049999	60.759998	60.759998
20200227	59.000000	60.750000	56.529999	57.750000	57.750000
20200228	57.500000	64.320000	55.770000	60.770000	60.770000
20200302	61.099998	61.099998	55.320000	57.959999	57.959999
20200303	57.959999	61.630001	55.240002	57.610001	57.610001
20200304	58.099998	59.840000	55.570000	59.770000	59.770000
20200305	57.529999	57.980000	54.250000	55.450001	55.450001
20200306	52.959999	56.439999	50.869999	53.000000	53.000000
20200309	48.290001	50.230000	46.009998	47.259998	47.259998
20200310	49.189999	50.730000	44.590000	50.360001	50.360001
20200311	48.020000	48.340000	40.900002	42.009998	42.009998
20200312	37.139999	42.130001	31.799999	36.200001	36.200001
20200313	42.080002	43.630001	37.770000	42.849998	42.849998
20200316	35.000000	39.230000	34.849998	36.310001	36.310001
20200317	37.000000	37.500000	32.110001	33.919998	33.919998
20200318	31.750000	32.299999	21.700001	29.500000	29.500000
20200319	29.030001	37.330002	27.510000	32.919998	32.919998
20200320	34.500000	36.919998	32.310001	33.970001	33.970001
20200323	33.570000	39.310001	33.000000	37.330002	37.330002
20200324	41.240002	43.490002	40.529999	42.939999	42.939999
20200325	44.020000	46.639999	40.580002	45.900002	45.900002
20200326	46.000000	46.770000	43.619999	45.939999	45.939999
20200327	43.849998	48.650002	42.740002	47.150002	47.150002
20200330	44.980000	46.419998	44.110001	45.230000	45.230000
20200331	44.430000	47.619999	43.270000	45.459999	45.459999
20200401	42.290001	43.570000	37.759998	38.880001	38.880001
20200402	37.950001	38.770000	33.330002	33.950001	33.950001
20200403	33.700001	34.099998	28.500000	33.570000	33.570000
20200406	36.810001	38.160000	33.049999	34.509998	34.509998
20200407	37.169998	39.810001	35.959999	37.849998	37.849998
20200408	38.139999	39.450001	36.720001	37.759998	37.759998
20200409	40.840000	40.880001	37.860001	38.270000	38.270000
20200413	38.549999	40.020000	36.139999	39.410000	39.410000
20200414	39.669998	42.419998	39.669998	41.959999	41.959999
20200415	39.349998	40.630001	37.990002	38.470001	38.470001
20200416	37.750000	37.970001	35.799999	36.400002	36.400002
20200417	40.860001	40.869999	37.020000	38.349998	38.349998
20200420	37.160000	38.669998	36.169998	36.660000	36.660000
20200421	36.000000	37.439999	35.250000	36.470001	36.470001
20200422	37.230000	37.480000	36.110001	36.349998	36.349998
20200423	36.509998	41.450001	36.470001	39.450001	39.450001
20200424	39.439999	40.119999	37.860001	38.240002	38.240002
20200427	39.450001	43.110001	38.650002	42.009998	42.009998
20200428	44.130001	44.560001	42.110001	43.639999	43.639999
20200429	46.299999	47.560001	45.540001	46.529999	46.529999
20200430	45.480000	46.130001	44.049999	44.869999	44.869999
20200501	43.500000	44.110001	40.439999	41.169998	41.169998
20200504	39.570000	42.000000	38.540001	41.830002	41.830002
20200505	42.189999	42.439999	39.750000	40.250000	40.250000
20200506	40.680000	40.689999	38.209999	38.490002	38.490002
20200507	39.299999	40.599998	38.880001	39.255001	39.255001
