Date	Open	High	Low	Close	Volume
20200203	57.790001	57.840000	57.130001	57.549999	57.207508
20200204	57.910000	58.000000	57.320000	57.430000	57.088226
20200205	57.759998	58.180000	57.520000	57.919998	57.575306
20200206	57.529999	58.520000	57.500000	58.419998	58.072330
20200207	58.480000	59.220001	58.369999	58.660000	58.310905
20200210	58.470001	59.110001	58.400002	58.970001	58.619061
20200211	59.020000	59.160000	58.720001	58.869999	58.519653
20200212	59.080002	59.529999	58.310001	58.950001	58.599178
20200213	58.930000	59.060001	58.549999	59.029999	58.678703
20200214	59.169998	59.730000	58.849998	59.680000	59.324833
20200218	58.959999	59.889999	58.939999	59.660000	59.304955
20200219	59.849998	59.959999	59.240002	59.299999	58.947094
20200220	58.930000	59.340000	58.529999	59.040001	58.688644
20200221	58.849998	59.200001	58.650002	58.750000	58.400368
20200224	58.189999	58.720001	57.610001	57.740002	57.396381
20200225	57.720001	58.270000	56.869999	57.020000	56.680664
20200226	57.320000	58.000000	56.799999	56.860001	56.521618
20200227	56.540001	57.220001	54.419998	54.459999	54.135899
20200228	53.169998	53.320000	51.560001	52.799999	52.485779
20200302	52.630001	55.630001	52.490002	55.599998	55.269115
20200303	55.419998	56.900002	54.389999	54.790001	54.463936
20200304	55.619999	58.130001	55.490002	58.009998	57.664772
20200305	56.820000	57.299999	56.080002	56.860001	56.521618
20200306	54.470001	55.980000	54.290001	55.660000	55.328758
20200309	52.549999	54.860001	52.070000	53.939999	53.618992
20200310	54.990002	55.490002	52.330002	54.910000	54.583221
20200311	53.410000	53.689999	51.410000	52.340000	52.028515
20200312	49.230000	50.520000	46.570000	47.509998	47.227257
20200313	49.639999	50.939999	47.209999	50.919998	50.616966
20200316	46.410000	47.389999	44.740002	45.099998	44.831600
20200317	45.849998	49.720001	44.730000	48.820000	48.529465
20200318	45.369999	48.119999	43.189999	46.549999	46.272972
20200319	46.910000	47.290001	43.189999	45.470001	45.199402
20200320	46.060001	46.209999	42.849998	43.320000	43.062195
20200323	43.320000	45.020000	41.189999	41.930000	41.680470
20200324	44.080002	47.259998	42.950001	46.660000	46.382317
20200325	46.459999	47.759998	45.810001	46.110001	45.835594
20200326	46.110001	49.240002	46.000000	48.900002	48.608990
20200327	47.419998	49.270000	47.119999	47.889999	47.605000
20200330	48.810001	51.410000	48.209999	51.130001	51.130001
20200331	51.410000	51.430000	49.930000	50.080002	50.080002
20200401	48.380001	49.900002	48.000000	48.680000	48.680000
20200402	48.250000	50.680000	48.049999	50.380001	50.380001
20200403	50.360001	51.139999	49.830002	50.790001	50.790001
20200406	52.889999	52.889999	51.520000	52.029999	52.029999
20200407	52.930000	53.250000	51.400002	51.799999	51.799999
20200408	52.020000	52.230000	51.160000	51.790001	51.790001
20200409	51.790001	53.599998	51.700001	52.340000	52.340000
20200413	52.380001	52.520000	51.380001	52.020000	52.020000
20200414	53.060001	54.610001	52.630001	54.509998	54.509998
20200415	53.869999	53.970001	53.400002	53.709999	53.709999
20200416	53.869999	54.380001	53.299999	53.430000	53.430000
20200417	54.139999	54.500000	52.779999	53.480000	53.480000
20200420	53.080002	54.450001	52.869999	53.490002	53.490002
20200421	52.529999	52.980000	51.000000	51.080002	51.080002
20200422	51.669998	52.029999	51.240002	51.970001	51.970001
