Date	Open	High	Low	Close	Volume
20200203	53.250000	54.110001	53.000000	53.779999	53.779999
20200204	55.290001	56.020000	54.939999	55.500000	55.500000
20200205	57.020000	57.259998	55.820000	56.770000	56.770000
20200206	58.080002	59.169998	57.410000	58.680000	58.680000
20200207	57.970001	58.000000	56.770000	56.880001	56.880001
20200210	56.299999	57.340000	56.200001	57.330002	57.330002
20200211	57.880001	58.840000	56.330002	57.250000	57.250000
20200212	59.040001	61.189999	58.900002	59.270000	59.270000
20200213	59.009998	60.630001	58.860001	59.330002	59.330002
20200214	60.160000	60.560001	58.259998	58.500000	58.500000
20200218	57.070000	58.040001	56.619999	57.750000	57.750000
20200219	58.580002	60.250000	58.560001	59.990002	59.990002
20200220	59.880001	59.990002	57.689999	59.000000	59.000000
20200221	58.630001	58.730000	55.889999	56.990002	56.990002
20200224	53.310001	55.459999	52.610001	55.009998	55.009998
20200225	54.840000	55.450001	51.549999	52.099998	52.099998
20200226	52.650002	54.270000	51.880001	52.369999	52.369999
20200227	50.630001	52.849998	49.990002	50.580002	50.580002
20200228	48.650002	52.919998	48.389999	52.560001	52.560001
20200302	53.200001	54.689999	52.099998	54.590000	54.590000
20200303	54.599998	55.400002	51.099998	51.799999	51.799999
20200304	53.020000	55.380001	52.209999	55.290001	55.290001
20200305	53.450001	55.610001	53.340000	53.720001	53.720001
20200306	52.200001	53.189999	50.000000	51.470001	51.470001
20200309	45.480000	48.599998	44.919998	45.970001	45.970001
20200310	48.150002	48.259998	45.290001	47.860001	47.860001
20200311	46.200001	46.320000	42.849998	43.720001	43.720001
20200312	39.400002	42.540001	38.000000	38.810001	38.810001
20200313	41.570000	43.020000	38.349998	42.990002	42.990002
20200316	37.349998	39.139999	34.450001	34.470001	34.470001
20200317	35.490002	39.130001	34.020000	37.380001	37.380001
20200318	34.259998	36.560001	31.129999	34.689999	34.689999
20200319	34.660000	37.299999	33.650002	36.290001	36.290001
20200320	37.770000	38.590000	35.840000	36.110001	36.110001
20200323	36.990002	39.470001	35.689999	38.250000	38.250000
20200324	41.820000	44.419998	41.139999	43.270000	43.270000
20200325	43.910000	44.880001	40.029999	42.500000	42.500000
20200326	44.900002	45.750000	43.330002	44.790001	44.790001
20200327	43.250000	45.279999	42.310001	43.480000	43.480000
20200330	44.169998	45.570000	43.150002	44.520000	44.520000
20200331	44.400002	45.169998	41.910000	42.060001	42.060001
20200401	40.549999	42.299999	39.330002	39.889999	39.889999
20200402	39.790001	41.590000	39.520000	41.090000	41.090000
20200403	40.970001	41.860001	40.549999	41.220001	41.220001
20200406	43.349998	46.689999	43.340000	46.369999	46.369999
20200407	48.090000	48.369999	46.040001	46.540001	46.540001
20200408	47.080002	48.689999	46.799999	48.290001	48.290001
20200409	49.299999	49.810001	45.349998	46.130001	46.130001
20200413	44.900002	46.389999	44.389999	46.169998	46.169998
20200414	47.000000	48.380001	46.619999	47.619999	47.619999
20200415	46.400002	46.660000	45.639999	46.430000	46.430000
20200416	47.020000	47.200001	44.660000	45.529999	45.529999
20200417	46.779999	46.889999	44.849998	45.700001	45.700001
20200420	44.520000	45.080002	43.299999	43.400002	43.400002
20200421	43.000000	43.070000	41.189999	41.410000	41.410000
20200422	43.110001	43.650002	42.744999	43.445000	43.445000
