Date	Open	High	Low	Close	Volume
20200203	19.820000	19.959999	19.510000	19.730000	19.615789
20200204	20.110001	20.350000	19.820000	19.889999	19.774862
20200205	20.420000	21.389999	20.340000	21.309999	21.186642
20200206	21.340000	21.400000	20.730000	20.730000	20.610001
20200207	20.350000	20.520000	20.000000	20.049999	20.049999
20200210	19.799999	19.969999	19.430000	19.700001	19.700001
20200211	20.070000	20.320000	19.870001	19.900000	19.900000
20200212	19.750000	20.370001	18.900000	19.490000	19.490000
20200213	19.580000	20.180000	19.309999	19.600000	19.600000
20200214	19.690001	19.709999	19.080000	19.160000	19.160000
20200218	18.950001	19.110001	18.520000	18.969999	18.969999
20200219	19.170000	19.170000	18.730000	18.920000	18.920000
20200220	19.090000	19.129999	18.520000	18.549999	18.549999
20200221	18.240000	18.309999	17.860001	17.950001	17.950001
20200224	17.209999	17.299999	16.469999	16.469999	16.469999
20200225	16.520000	16.770000	15.160000	15.600000	15.600000
20200226	15.680000	15.790000	15.140000	15.300000	15.300000
20200227	14.690000	15.700000	14.320000	15.120000	15.120000
20200228	14.370000	15.960000	14.290000	15.830000	15.830000
20200302	16.100000	16.100000	15.250000	15.800000	15.800000
20200303	15.770000	16.090000	14.860000	15.190000	15.190000
20200304	15.610000	15.840000	14.930000	15.320000	15.320000
20200305	14.860000	15.150000	14.570000	14.790000	14.790000
20200306	14.200000	14.480000	12.930000	13.320000	13.320000
20200309	8.180000	10.210000	7.780000	9.340000	9.340000
20200310	10.100000	10.260000	8.400000	9.260000	9.260000
20200311	8.800000	8.800000	7.200000	7.400000	7.400000
20200312	6.720000	7.340000	5.870000	6.270000	6.270000
20200313	6.930000	7.380000	6.160000	7.190000	7.190000
20200316	5.990000	6.600000	5.180000	5.230000	5.230000
20200317	5.260000	5.310000	3.710000	4.190000	4.190000
20200318	3.890000	4.110000	2.730000	3.020000	3.020000
20200319	3.290000	4.230000	3.000000	3.940000	3.940000
20200320	4.170000	4.300000	3.890000	4.030000	4.030000
20200323	4.100000	4.630000	3.860000	4.470000	4.470000
20200324	5.010000	5.840000	4.850000	5.830000	5.830000
20200325	6.220000	6.740000	5.510000	6.120000	6.120000
20200326	6.000000	6.730000	5.850000	6.210000	6.210000
20200327	5.980000	5.990000	5.250000	5.360000	5.360000
20200330	5.130000	5.420000	4.840000	5.310000	5.310000
20200331	5.610000	6.270000	5.570000	6.040000	6.040000
20200401	5.690000	6.260000	5.400000	5.890000	5.890000
20200402	6.310000	6.760000	6.010000	6.310000	6.310000
20200403	6.560000	6.750000	6.100000	6.180000	6.180000
20200406	6.300000	6.710000	6.060000	6.670000	6.670000
20200407	7.040000	7.600000	6.690000	6.780000	6.780000
20200408	7.170000	7.350000	6.800000	7.220000	7.220000
20200409	7.800000	8.560000	6.830000	7.510000	7.510000
20200413	7.950000	7.990000	7.010000	7.220000	7.220000
20200414	7.150000	7.450000	6.970000	7.260000	7.260000
20200415	6.700000	6.930000	6.040000	6.870000	6.870000
20200416	6.740000	6.780000	6.130000	6.250000	6.250000
20200417	6.330000	6.980000	6.320000	6.950000	6.950000
20200420	6.370000	7.200000	6.300000	6.860000	6.860000
20200421	6.460000	6.740000	6.260000	6.730000	6.730000
20200422	7.060000	7.295000	6.970000	7.110000	7.110000
