Date	Open	High	Low	Close	Volume
20200203	99.000000	100.919998	98.570000	99.269997	98.995338
20200204	101.910004	102.779999	101.260002	101.379997	101.099503
20200205	101.760002	101.970001	99.529999	100.540001	100.261826
20200206	100.900002	101.529999	100.160004	100.269997	99.992569
20200207	99.809998	100.400002	98.970001	99.440002	99.164871
20200210	99.220001	100.510002	99.000000	100.019997	99.743263
20200211	100.070000	100.349998	99.440002	100.019997	99.743263
20200212	100.739998	103.080002	100.440002	103.000000	102.715019
20200213	102.510002	103.739998	101.680000	103.370003	103.084000
20200214	103.529999	103.889999	102.449997	103.540001	103.253525
20200218	103.000000	103.379997	101.610001	102.000000	101.717789
20200219	102.660004	103.389999	102.430000	102.459999	102.176514
20200220	102.459999	102.629997	100.550003	102.529999	102.246323
20200221	102.000000	102.080002	99.629997	100.250000	99.972626
20200224	95.540001	97.070000	95.250000	95.910004	95.644638
20200225	96.349998	96.760002	92.620003	92.900002	92.642967
20200226	93.080002	94.650002	91.989998	92.000000	91.745453
20200227	90.000000	93.059998	88.500000	88.550003	88.305000
20200228	86.029999	89.470001	85.150002	89.379997	89.379997
20200302	89.599998	93.139999	87.910004	92.680000	92.680000
20200303	92.739998	94.980003	90.570000	90.930000	90.930000
20200304	92.080002	93.820000	90.839996	93.790001	93.790001
20200305	91.260002	91.680000	89.940002	90.580002	90.580002
20200306	88.360001	89.389999	85.879997	88.360001	88.360001
20200309	81.889999	86.739998	80.919998	84.110001	84.110001
20200310	86.690002	88.400002	82.879997	88.300003	88.300003
20200311	84.000000	84.629997	82.070000	84.000000	84.000000
20200312	78.230003	78.489998	73.000000	74.199997	74.199997
20200313	78.199997	78.199997	71.760002	75.580002	75.580002
20200316	65.279999	72.970001	63.369999	66.790001	66.790001
20200317	67.510002	73.330002	62.400002	69.839996	69.839996
20200318	64.790001	68.330002	60.000000	68.040001	68.040001
20200319	67.040001	72.709999	64.150002	70.339996	70.339996
20200320	71.510002	74.059998	67.199997	67.449997	67.449997
20200323	65.000000	66.879997	60.580002	62.799999	62.799999
20200324	65.699997	72.660004	64.000000	72.330002	72.330002
20200325	80.110001	83.489998	76.199997	79.010002	79.010002
20200326	80.169998	86.860001	80.010002	84.300003	84.300003
20200327	81.699997	85.739998	79.510002	83.230003	83.230003
20200330	84.000000	85.959999	81.500000	85.379997	85.379997
20200331	85.129997	85.730003	82.400002	82.739998	82.739998
20200401	79.489998	81.180000	78.529999	79.230003	79.230003
20200402	79.000000	81.599998	77.160004	80.139999	80.139999
20200403	79.360001	79.790001	77.910004	78.860001	78.860001
20200406	81.910004	85.040001	81.209999	84.629997	84.629997
20200407	88.699997	88.870003	84.029999	84.160004	84.160004
20200408	84.699997	85.769997	83.610001	85.300003	85.300003
20200409	86.690002	87.389999	85.160004	86.790001	86.790001
20200413	85.800003	85.989998	84.139999	84.459999	84.459999
20200414	85.949997	87.769997	85.480003	87.470001	87.470001
20200415	84.870003	85.879997	83.709999	85.040001	85.040001
20200416	85.430000	86.529999	84.550003	86.300003	86.300003
20200417	89.000000	90.250000	88.360001	89.910004	89.910004
20200420	88.430000	89.440002	87.519997	87.900002	87.900002
20200421	85.989998	86.900002	85.089996	85.199997	85.199997
20200422	86.980003	88.000000	86.419998	87.699997	87.699997
