Date	Open	High	Low	Close	Volume
20200203	53.500000	54.799999	53.490002	54.040001	53.391685
20200204	55.310001	56.439999	55.099998	55.880001	55.209610
20200205	57.029999	57.970001	56.730000	57.799999	57.106575
20200206	58.060001	58.459999	57.340000	58.150002	57.452377
20200207	57.840000	57.900002	57.240002	57.340000	56.652092
20200210	56.880001	58.099998	56.880001	58.060001	57.363457
20200211	58.759998	59.820000	58.369999	59.080002	58.371220
20200212	59.450001	60.959999	59.220001	60.820000	60.090343
20200213	53.480000	55.599998	53.200001	55.180000	54.518005
20200214	55.259998	55.340000	53.680000	54.240002	53.589287
20200218	53.970001	54.139999	52.759998	53.430000	52.789001
20200219	53.160000	54.169998	53.049999	53.209999	52.571640
20200220	53.200001	53.799999	52.680000	53.709999	53.065639
20200221	53.250000	53.349998	51.860001	52.000000	51.376156
20200224	50.500000	50.730000	49.680000	50.099998	49.498951
20200225	50.650002	51.000000	48.419998	48.799999	48.214546
20200226	49.459999	50.290001	48.250000	48.480000	47.898384
20200227	47.389999	48.660000	46.389999	46.869999	46.307701
20200228	45.000000	46.840000	44.889999	46.720001	46.159504
20200302	47.040001	47.619999	45.810001	47.570000	46.999302
20200303	47.009998	48.189999	45.259998	45.910000	45.359219
20200304	46.419998	46.419998	45.340000	46.340000	45.784061
20200305	44.990002	45.380001	43.709999	43.930000	43.402973
20200306	42.160000	44.150002	41.750000	44.000000	43.472134
20200309	41.160000	42.570000	39.730000	39.860001	39.381802
20200310	41.540001	43.509998	40.410000	43.490002	42.968254
20200311	42.080002	42.360001	39.939999	40.450001	39.964722
20200312	37.509998	39.000000	35.860001	35.910000	35.479187
20200313	38.290001	40.799999	36.779999	40.799999	40.310524
20200316	36.130001	42.330002	36.000000	40.049999	39.569519
20200317	42.040001	44.240002	39.400002	42.099998	41.594925
20200318	39.639999	43.029999	38.970001	42.290001	41.782650
20200319	41.730000	41.730000	37.970001	38.560001	38.097397
20200320	38.959999	39.880001	36.230000	36.240002	35.805229
20200323	36.930000	37.549999	34.660000	35.349998	34.925903
20200324	37.220001	38.900002	36.759998	38.279999	37.820755
20200325	38.230000	39.410000	36.990002	37.689999	37.237831
20200326	37.820000	42.570000	37.419998	42.450001	41.940727
20200327	41.150002	42.099998	39.349998	40.230000	39.747360
20200330	41.660000	41.660000	39.689999	40.720001	40.231483
20200331	40.150002	42.529999	40.090000	41.689999	41.189846
20200401	40.130001	40.970001	38.910000	40.009998	39.529999
20200402	38.849998	40.700001	38.570000	39.529999	39.529999
20200403	39.250000	40.480000	37.080002	37.340000	37.340000
20200406	38.759998	39.900002	38.189999	39.599998	39.599998
20200407	40.930000	41.910000	39.639999	39.730000	39.730000
20200408	40.169998	41.290001	39.619999	40.980000	40.980000
20200409	41.430000	43.820000	41.389999	42.730000	42.730000
20200413	42.580002	42.720001	41.060001	41.630001	41.630001
20200414	42.959999	43.470001	42.520000	43.139999	43.139999
20200415	42.349998	42.349998	40.279999	40.430000	40.430000
20200416	40.770000	41.419998	39.720001	41.209999	41.209999
20200417	41.990002	42.860001	41.689999	42.150002	42.150002
20200420	42.040001	42.049999	40.759998	40.950001	40.950001
20200421	40.779999	40.910000	38.889999	38.939999	38.939999
20200422	39.689999	39.980000	39.259998	39.680000	39.680000
20200423	39.689999	41.570000	39.669998	41.040001	41.040001
20200424	41.310001	43.200001	41.200001	43.060001	43.060001
20200427	42.610001	44.110001	42.599998	42.700001	42.700001
20200428	43.700001	43.740002	42.160000	42.270000	42.270000
20200429	43.630001	45.139999	42.520000	44.880001	44.880001
20200430	44.340000	44.340000	43.410000	43.770000	43.770000
20200501	42.570000	43.160000	41.080002	41.480000	41.480000
20200504	41.500000	41.700001	40.009998	40.650002	40.650002
20200505	41.160000	41.990002	41.040001	41.200001	41.200001
20200506	41.639999	42.689999	41.169998	42.599998	42.599998
20200507	43.060001	43.470001	42.779999	43.470001	43.470001
