Date	Open	High	Low	Close	Volume
20200203	98.839996	100.029999	97.480003	97.660004	96.703491
20200204	99.760002	101.010002	98.309998	100.419998	99.436455
20200205	102.239998	103.599998	102.010002	103.419998	102.407074
20200206	104.120003	104.440002	102.209999	102.650002	101.644615
20200207	101.529999	101.980003	101.129997	101.260002	100.268234
20200210	101.050003	101.339996	100.690002	101.059998	100.070183
20200211	101.510002	103.489998	101.459999	102.889999	101.882263
20200212	104.000000	104.449997	102.250000	102.430000	101.426773
20200213	102.040001	102.440002	101.169998	101.209999	100.218719
20200214	100.940002	101.419998	100.120003	101.199997	100.208817
20200218	101.019997	101.360001	99.839996	100.830002	99.842445
20200219	101.169998	103.180000	101.169998	103.070000	102.060501
20200220	102.650002	104.250000	102.500000	102.699997	101.694122
20200221	101.860001	102.110001	100.580002	101.940002	100.941574
20200224	97.750000	98.970001	95.959999	96.529999	95.584557
20200225	96.750000	97.339996	90.800003	91.129997	90.237442
20200226	92.370003	93.169998	88.720001	89.370003	88.494690
20200227	87.370003	90.589996	86.629997	87.680000	86.821236
20200228	84.570000	87.830002	83.160004	87.760002	86.900452
20200302	87.739998	88.550003	84.699997	88.489998	87.623299
20200303	88.190002	89.570000	81.750000	83.440002	82.622765
20200304	84.730003	85.779999	81.930000	85.050003	84.216995
20200305	81.290001	81.839996	79.800003	80.889999	80.097740
20200306	78.389999	79.500000	76.339996	77.639999	76.879570
20200309	70.949997	73.019997	69.209999	70.830002	70.136269
20200310	74.309998	75.470001	70.849998	74.360001	73.631699
20200311	71.900002	73.620003	69.930000	71.470001	70.770004
20200312	65.110001	69.400002	63.020000	63.040001	63.040001
20200313	67.660004	76.349998	66.339996	76.050003	76.050003
20200316	64.089996	70.699997	61.740002	62.220001	62.220001
20200317	64.360001	68.739998	61.509998	68.550003	68.550003
20200318	64.430000	69.809998	63.279999	66.180000	66.180000
20200319	65.129997	72.010002	62.860001	67.410004	67.410004
20200320	67.559998	69.379997	64.000000	64.559998	64.559998
20200323	65.169998	65.290001	60.669998	63.110001	63.110001
20200324	66.160004	70.250000	66.139999	69.860001	69.860001
20200325	70.430000	75.779999	67.660004	72.860001	72.860001
20200326	73.570000	75.900002	72.559998	75.349998	75.349998
20200327	72.709999	75.449997	71.820000	73.980003	73.980003
20200330	73.900002	76.190002	72.070000	75.790001	75.790001
20200331	74.650002	76.889999	73.970001	75.459999	75.459999
20200401	71.250000	73.910004	70.620003	73.000000	73.000000
20200402	71.510002	77.500000	71.510002	76.919998	76.919998
20200403	75.980003	77.970001	74.570000	77.029999	77.029999
20200406	79.550003	82.379997	78.040001	81.370003	81.370003
20200407	85.040001	86.139999	82.309998	82.599998	82.599998
20200408	83.550003	84.699997	80.970001	83.379997	83.379997
20200409	84.879997	86.480003	83.489998	84.889999	84.889999
20200413	84.370003	84.800003	81.930000	83.550003	83.550003
20200414	85.879997	86.000000	82.449997	83.389999	83.389999
20200415	80.400002	80.879997	78.199997	78.889999	78.889999
20200416	79.019997	80.730003	77.190002	77.959999	77.959999
20200417	80.959999	82.480003	79.050003	80.000000	80.000000
20200420	78.889999	80.910004	78.180000	79.330002	79.330002
20200421	78.250000	78.669998	71.739998	74.430000	74.430000
20200422	76.400002	77.089996	74.779999	75.790001	75.790001
