Date	Open	High	Low	Close	Volume
20200203	235.699997	241.110001	235.449997	240.330002	240.186340
20200204	246.029999	247.899994	244.020004	247.130005	246.982269
20200205	251.990005	252.399994	247.410004	250.759995	250.610092
20200206	252.139999	254.250000	248.880005	254.250000	254.098022
20200207	252.639999	253.529999	250.570007	251.589996	251.439606
20200210	252.500000	263.000000	252.300003	262.970001	262.812805
20200211	267.320007	272.500000	264.829987	267.890015	267.729889
20200212	270.010010	272.799988	268.450012	272.540009	272.377106
20200213	270.209991	273.480011	269.109985	270.779999	270.618134
20200214	287.260010	294.970001	286.000000	289.790009	289.616791
20200218	285.640015	297.309998	284.859985	296.570007	296.392731
20200219	301.489990	315.410004	301.489990	314.700012	314.511902
20200220	312.769989	316.320007	296.350006	308.700012	308.515472
20200221	304.190002	305.200012	290.660004	294.070007	293.894226
20200224	270.190002	281.869995	268.000000	273.279999	273.116638
20200225	276.299988	278.790009	257.959991	262.049988	261.893341
20200226	262.059998	275.450012	262.000000	267.649994	267.489990
20200227	254.899994	267.000000	248.889999	252.600006	252.600006
20200228	242.460007	272.459991	241.789993	270.070007	270.070007
20200302	276.899994	277.589996	261.000000	276.429993	276.429993
20200303	278.670013	281.070007	262.459991	265.890015	265.890015
20200304	270.200012	284.890015	267.200012	284.510010	284.510010
20200305	276.500000	283.200012	271.500000	273.290009	273.290009
20200306	266.079987	268.390015	258.000000	266.040009	266.040009
20200309	239.899994	259.399994	238.179993	245.440002	245.440002
20200310	256.540009	261.079987	245.990005	261.079987	261.079987
20200311	255.460007	256.600006	242.570007	246.470001	246.470001
20200312	225.460007	236.119995	215.800003	216.309998	216.309998
20200313	230.500000	241.020004	219.610001	240.839996	240.839996
20200316	212.410004	226.100006	194.000000	196.399994	196.399994
20200317	200.910004	220.860001	191.000000	217.270004	217.270004
20200318	200.100006	209.940002	180.679993	202.820007	202.820007
20200319	201.960007	216.729996	193.389999	212.970001	212.970001
20200320	219.000000	230.320007	205.130005	205.750000	205.750000
20200323	205.710007	216.479996	198.520004	212.690002	212.690002
20200324	229.000000	252.660004	228.050003	249.179993	249.179993
20200325	253.800003	261.820007	243.660004	245.619995	245.619995
20200326	253.940002	262.220001	250.000000	257.239990	257.239990
20200327	250.000000	263.119995	248.679993	252.729996	252.729996
20200330	255.360001	265.959991	253.589996	265.589996	265.589996
20200331	267.200012	275.399994	257.750000	263.600006	263.600006
20200401	255.649994	261.529999	241.279999	243.070007	243.070007
20200402	244.240005	256.000000	242.309998	255.470001	255.470001
20200403	253.960007	255.630005	238.389999	243.910004	243.910004
20200406	255.240005	269.880005	252.929993	268.399994	268.399994
20200407	277.299988	278.250000	257.299988	259.029999	259.029999
20200408	263.410004	267.950012	260.600006	266.950012	266.950012
20200409	272.000000	272.920013	260.420013	262.950012	262.950012
20200413	260.549988	270.200012	257.000000	269.850006	269.850006
20200414	275.000000	285.320007	273.890015	283.950012	283.950012
20200415	277.200012	284.170013	275.380005	280.839996	280.839996
20200416	287.079987	299.000000	286.549988	294.700012	294.700012
20200417	298.000000	298.859985	286.940002	292.320007	292.320007
20200420	287.239990	293.500000	285.269989	287.049988	287.049988
20200421	282.309998	284.769989	267.109985	269.510010	269.510010
20200422	277.230011	283.920013	275.459991	282.000000	282.000000
