Date	Open	High	Low	Close	Volume
20200203	13.740000	13.840000	13.610000	13.640000	13.505484
20200204	13.810000	13.830000	13.620000	13.810000	13.673807
20200205	13.930000	14.170000	13.780000	14.090000	13.951045
20200206	14.210000	14.570000	14.120000	14.470000	14.327298
20200207	13.970000	14.450000	13.570000	14.190000	14.050058
20200210	14.190000	14.190000	13.630000	13.760000	13.624300
20200211	13.860000	14.140000	13.800000	14.130000	13.990651
20200212	14.160000	14.500000	14.160000	14.440000	14.297593
20200213	14.410000	14.470000	14.290000	14.400000	14.257988
20200214	14.420000	14.620000	14.320000	14.600000	14.456016
20200218	14.560000	14.600000	14.450000	14.500000	14.357002
20200219	14.550000	14.790000	14.460000	14.610000	14.465917
20200220	14.740000	14.740000	14.360000	14.550000	14.406508
20200221	14.470000	14.490000	14.300000	14.340000	14.198580
20200224	13.990000	14.140000	13.610000	13.610000	13.475779
20200225	13.670000	13.870000	12.810000	12.860000	12.733175
20200226	12.870000	12.950000	12.210000	12.330000	12.208402
20200227	12.100000	12.410000	11.730000	11.930000	11.812347
20200228	11.510000	12.220000	11.510000	12.080000	11.960868
20200302	12.120000	12.440000	11.740000	12.430000	12.307416
20200303	12.340000	12.750000	11.780000	11.840000	11.723235
20200304	11.690000	11.970000	11.520000	11.770000	11.653925
20200305	11.480000	11.480000	11.010000	11.070000	10.960828
20200306	10.680000	11.110000	10.580000	11.020000	10.911322
20200309	10.260000	10.570000	10.070000	10.140000	10.040000
20200310	10.350000	10.830000	10.060000	10.800000	10.800000
20200311	10.450000	10.570000	10.010000	10.090000	10.090000
20200312	9.380000	9.830000	9.110000	9.220000	9.220000
20200313	9.740000	10.500000	9.500000	10.470000	10.470000
20200316	10.560000	10.560000	9.450000	10.140000	10.140000
20200317	10.170000	11.480000	9.970000	10.880000	10.880000
20200318	10.570000	10.620000	9.520000	9.880000	9.880000
20200319	9.820000	10.350000	9.530000	9.670000	9.670000
20200320	9.360000	9.710000	8.920000	9.020000	9.020000
20200323	9.110000	9.190000	7.970000	8.230000	8.230000
20200324	8.650000	8.700000	8.330000	8.680000	8.680000
20200325	8.660000	9.230000	8.100000	8.720000	8.720000
20200326	8.780000	9.400000	8.710000	9.160000	9.160000
20200327	8.890000	8.890000	8.420000	8.530000	8.530000
20200330	8.470000	8.930000	8.290000	8.820000	8.820000
20200331	8.980000	9.330000	8.620000	8.980000	8.980000
20200401	8.420000	9.070000	8.410000	8.640000	8.640000
20200402	8.520000	8.860000	7.900000	8.200000	8.200000
20200403	8.160000	8.310000	8.000000	8.180000	8.180000
20200406	8.570000	8.990000	8.490000	8.930000	8.930000
20200407	8.830000	9.550000	8.630000	8.790000	8.790000
20200408	8.850000	9.030000	8.630000	8.950000	8.950000
20200409	9.120000	9.610000	9.050000	9.490000	9.490000
20200413	9.470000	9.470000	9.100000	9.390000	9.390000
20200414	9.580000	9.600000	9.140000	9.410000	9.410000
20200415	9.120000	9.120000	8.670000	8.930000	8.930000
20200416	8.940000	9.100000	8.400000	8.440000	8.440000
20200417	8.650000	9.040000	8.650000	8.900000	8.900000
20200420	8.740000	8.920000	8.610000	8.770000	8.770000
20200421	8.510000	8.570000	8.260000	8.440000	8.440000
20200422	8.620000	8.670000	8.410000	8.440000	8.440000
20200423	8.470000	8.870000	8.450000	8.680000	8.680000
20200424	8.730000	8.910000	8.650000	8.830000	8.830000
20200427	8.870000	9.540000	8.870000	9.460000	9.460000
20200428	9.650000	9.950000	9.490000	9.810000	9.810000
20200429	10.050000	10.520000	10.000000	10.500000	10.500000
20200430	10.260000	10.590000	9.860000	9.910000	9.910000
20200501	9.760000	9.780000	9.430000	9.480000	9.480000
20200504	9.340000	9.690000	9.200000	9.640000	9.640000
20200505	9.740000	10.000000	9.510000	9.550000	9.550000
20200506	9.600000	9.810000	9.500000	9.670000	9.670000
20200507	9.790000	9.940000	9.490000	9.605000	9.605000
