Date	Open	High	Low	Close	Volume
20200319	40.000000	46.000000	40.000000	45.250000	45.250000
20200320	45.009998	46.009998	45.000000	45.000000	45.000000
20200323	42.000000	42.000000	39.980000	40.000000	40.000000
20200324	40.000000	40.000000	39.000000	40.000000	40.000000
20200325	40.000000	44.799999	38.000000	41.009998	41.009998
20200326	45.000000	47.500000	44.250000	45.000000	45.000000
20200327	45.000000	47.500000	44.990002	45.235001	45.235001
20200330	44.250000	50.000000	44.250000	50.000000	50.000000
20200331	46.500000	50.000000	44.779999	50.000000	50.000000
20200401	45.990002	48.500000	44.000000	46.700001	46.700001
20200402	45.023998	48.660000	43.200001	44.000000	44.000000
20200403	43.750000	49.299999	41.799999	47.320000	47.320000
20200406	47.000000	47.849998	44.700001	45.939999	45.939999
20200407	45.150002	46.990002	42.930000	44.279999	44.279999
20200408	42.209999	45.200001	41.259998	44.090000	44.090000
20200409	44.049999	50.250000	44.000000	49.139999	49.139999
20200413	48.549999	48.669998	45.720001	46.000000	46.000000
20200414	45.910000	46.299999	43.970001	45.889999	45.889999
20200415	44.189999	44.849998	42.799999	44.549999	44.549999
20200416	44.080002	46.407001	43.549999	45.619999	45.619999
20200417	47.000000	48.560001	45.919998	46.150002	46.150002
20200420	45.000000	46.980000	44.900002	45.389999	45.389999
20200421	44.500000	47.200001	44.500000	45.900002	45.900002
20200422	47.310001	49.549999	46.000000	47.049999	47.049999
20200423	47.439999	48.040001	46.480000	47.470001	47.470001
20200424	48.020000	48.500000	46.310001	47.849998	47.849998
20200427	48.080002	48.599998	47.610001	48.220001	48.220001
20200428	49.070000	50.950001	48.650002	49.860001	49.860001
20200429	50.770000	51.730000	49.709999	51.150002	51.150002
20200430	50.970001	51.599998	50.500000	50.910000	50.910000
20200501	50.330002	50.529999	48.310001	49.709999	49.709999
20200504	48.849998	49.669998	47.509998	49.529999	49.529999
20200505	49.529999	50.639999	47.959999	48.090000	48.090000
20200506	48.610001	49.000000	47.889999	48.310001	48.310001
20200507	49.020000	52.240002	48.990002	51.580002	51.580002
