Date	Open	High	Low	Close	Volume
20200203	59.439999	59.700001	59.139999	59.330002	58.798817
20200204	59.410000	59.639999	58.970001	59.070000	58.541145
20200205	58.990002	59.830002	58.799999	59.279999	58.749264
20200206	59.330002	59.599998	58.209999	58.330002	57.807770
20200207	58.529999	58.610001	57.660000	57.700001	57.183411
20200210	57.750000	58.110001	57.169998	57.439999	56.925735
20200211	57.650002	58.250000	57.570000	57.820000	57.302334
20200212	57.770000	58.490002	57.770000	58.209999	57.688843
20200213	58.180000	58.570000	58.060001	58.360001	57.837502
20200214	58.549999	58.680000	58.330002	58.480000	57.956425
20200218	58.660000	59.160000	58.500000	59.020000	58.491592
20200219	59.000000	59.049999	58.720001	58.900002	58.372669
20200220	58.830002	59.290001	58.730000	59.180000	58.650158
20200221	59.000000	60.139999	58.919998	59.959999	59.423176
20200224	59.709999	60.160000	59.099998	59.110001	58.580788
20200225	59.070000	59.150002	57.410000	57.410000	56.896008
20200226	58.700001	59.000000	55.520000	55.570000	55.072479
20200227	55.500000	55.599998	52.860001	52.869999	52.396652
20200228	51.900002	52.150002	50.139999	51.310001	50.850620
20200302	51.349998	53.759998	51.270000	53.709999	53.229130
20200303	53.720001	55.270000	52.900002	53.049999	52.575039
20200304	53.630001	55.610001	53.500000	55.590000	55.092300
20200305	54.630001	55.160000	53.419998	53.990002	53.506626
20200306	52.549999	55.040001	51.560001	54.730000	54.240002
20200309	51.259998	52.509998	49.889999	50.759998	50.759998
20200310	51.709999	53.000000	50.389999	52.939999	52.939999
20200311	51.599998	51.650002	48.150002	48.750000	48.750000
20200312	46.110001	51.080002	44.250000	44.590000	44.590000
20200313	46.919998	47.160000	42.230000	44.139999	44.139999
20200316	40.799999	44.889999	39.560001	40.279999	40.279999
20200317	41.220001	43.340000	40.200001	43.080002	43.080002
20200318	40.660000	41.270000	36.639999	38.259998	38.259998
20200319	38.180000	40.700001	36.230000	39.139999	39.139999
20200320	39.139999	40.380001	37.509998	37.820000	37.820000
20200323	37.270000	38.110001	34.750000	36.860001	36.860001
20200324	38.520000	41.200001	38.270000	40.779999	40.779999
20200325	40.689999	43.340000	39.570000	40.889999	40.889999
20200326	41.070000	44.320000	40.490002	44.009998	44.009998
20200327	42.450001	45.910000	42.400002	44.480000	44.480000
20200330	44.970001	45.430000	43.459999	44.509998	44.509998
20200331	44.169998	45.840000	43.759998	44.910000	44.910000
20200401	43.049999	43.439999	41.630001	42.790001	42.790001
20200402	42.340000	45.540001	42.189999	45.279999	45.279999
20200403	44.840000	45.820000	43.930000	44.360001	44.360001
20200406	46.009998	47.389999	45.419998	46.849998	46.849998
20200407	48.360001	49.840000	47.500000	47.529999	47.529999
20200408	47.150002	51.240002	47.150002	50.860001	50.860001
20200409	51.560001	54.160000	51.540001	52.950001	52.950001
20200413	52.029999	52.650002	51.060001	51.660000	51.660000
20200414	52.599998	53.610001	51.900002	53.480000	53.480000
20200415	52.139999	52.430000	50.910000	52.009998	52.009998
20200416	52.070000	52.820000	51.299999	52.169998	52.169998
20200417	53.139999	54.869999	52.759998	54.619999	54.619999
20200420	53.709999	53.950001	51.630001	51.840000	51.840000
20200421	50.560001	51.250000	49.240002	50.009998	50.009998
20200422	50.990002	51.639999	50.040001	51.099998	51.099998
20200423	51.139999	51.619999	50.009998	50.369999	50.369999
20200424	50.820000	51.610001	50.310001	51.369999	51.369999
20200427	51.650002	52.240002	51.230000	52.009998	52.009998
20200428	52.639999	53.410000	51.689999	51.880001	51.880001
20200429	52.849998	53.150002	51.610001	52.299999	52.299999
20200430	52.060001	52.150002	50.130001	50.709999	50.709999
20200501	50.200001	50.360001	49.029999	49.410000	49.410000
20200504	49.730000	49.730000	47.930000	49.139999	49.139999
20200505	49.200001	50.290001	49.139999	49.840000	49.840000
20200506	50.080002	50.110001	48.020000	48.049999	48.049999
20200507	48.740002	48.810001	47.930000	48.590000	48.590000
