Date	Open	High	Low	Close	Volume
20200203	82.639999	84.190002	82.639999	83.000000	81.538162
20200204	83.019997	84.110001	82.820000	83.599998	82.127594
20200205	83.599998	84.779999	83.599998	83.940002	82.461609
20200206	84.800003	88.800003	84.580002	86.180000	84.662155
20200207	86.300003	87.739998	86.220001	87.449997	85.909782
20200210	87.339996	88.769997	86.910004	88.750000	87.186890
20200211	88.750000	90.169998	88.360001	89.440002	87.864738
20200212	89.000000	89.300003	87.370003	87.900002	86.351860
20200213	88.839996	89.730003	87.540001	88.820000	87.255653
20200214	88.879997	89.230003	88.010002	88.500000	86.941292
20200218	88.290001	88.389999	87.050003	87.440002	85.899963
20200219	87.809998	87.970001	86.879997	87.879997	86.332207
20200220	87.500000	87.769997	86.139999	87.440002	85.899963
20200221	86.860001	89.699997	86.680000	89.639999	88.061211
20200224	88.220001	88.550003	85.379997	85.570000	84.062897
20200225	85.930000	87.150002	84.129997	85.000000	83.502937
20200226	85.000000	86.620003	84.809998	86.250000	84.730919
20200227	84.860001	87.449997	83.070000	83.070000	81.606926
20200228	81.000000	81.970001	77.730003	81.870003	80.428062
20200302	81.610001	85.040001	80.809998	84.970001	83.473465
20200303	84.879997	86.949997	82.650002	83.500000	82.029358
20200304	84.339996	88.779999	84.150002	88.739998	87.177063
20200305	86.680000	89.180000	86.500000	87.860001	86.312569
20200306	84.570000	87.559998	83.739998	87.269997	85.732956
20200309	82.169998	84.820000	79.320000	81.629997	80.192291
20200310	83.279999	84.970001	80.879997	84.730003	83.237694
20200311	82.040001	82.699997	79.089996	79.839996	78.433815
20200312	73.540001	76.830002	70.269997	72.250000	70.977493
20200313	75.120003	79.790001	72.349998	79.500000	78.099808
20200316	70.760002	74.660004	68.410004	69.599998	68.374168
20200317	71.669998	75.129997	70.599998	73.989998	72.686852
20200318	70.269997	73.480003	59.830002	64.910004	63.766773
20200319	64.260002	67.220001	61.009998	66.430000	65.260002
20200320	64.900002	65.260002	60.290001	61.090000	61.090000
20200323	58.959999	60.580002	56.009998	59.980000	59.980000
20200324	60.950001	66.110001	60.779999	63.599998	63.599998
20200325	61.610001	68.580002	61.009998	66.070000	66.070000
20200326	66.129997	72.040001	65.980003	71.160004	71.160004
20200327	68.790001	71.580002	67.389999	69.150002	69.150002
20200330	70.320000	73.000000	70.019997	72.550003	72.550003
20200331	72.570000	75.019997	72.199997	72.959999	72.959999
20200401	69.769997	71.989998	69.279999	71.120003	71.120003
20200402	70.260002	75.059998	70.120003	74.339996	74.339996
20200403	75.440002	75.500000	72.769997	73.459999	73.459999
20200406	75.379997	76.610001	74.160004	75.680000	75.680000
20200407	76.870003	77.269997	73.720001	74.510002	74.510002
20200408	75.169998	75.910004	74.360001	74.660004	74.660004
20200409	75.919998	77.730003	74.930000	75.339996	75.339996
20200413	75.010002	75.480003	73.669998	73.949997	73.949997
20200414	74.349998	77.449997	74.150002	77.180000	77.180000
20200415	75.599998	75.830002	73.769997	75.440002	75.440002
20200416	76.000000	76.480003	74.220001	75.389999	75.389999
20200417	76.419998	78.870003	76.190002	77.959999	77.959999
20200420	76.139999	78.139999	75.769997	76.860001	76.860001
20200421	72.980003	75.519997	71.599998	72.279999	72.279999
20200422	73.669998	73.860001	72.330002	72.589996	72.589996
