Date	Open	High	Low	Close	Volume
20200203	43.380001	44.029999	43.060001	43.360001	43.095268
20200204	44.200001	44.500000	43.869999	43.930000	43.661789
20200205	44.619999	44.720001	44.330002	44.680000	44.407211
20200206	44.779999	44.799999	44.080002	44.349998	44.079224
20200207	43.919998	44.090000	43.619999	43.639999	43.373558
20200210	43.480000	43.919998	43.299999	43.840000	43.572338
20200211	44.009998	44.500000	43.900002	44.270000	43.999714
20200212	44.480000	44.759998	44.180000	44.720001	44.446968
20200213	44.570000	44.669998	44.270000	44.639999	44.367455
20200214	44.639999	44.790001	44.040001	44.240002	43.969898
20200218	43.980000	44.200001	43.090000	43.459999	43.194656
20200219	43.610001	43.849998	43.480000	43.689999	43.423252
20200220	43.509998	44.610001	43.450001	44.549999	44.278004
20200221	44.180000	44.799999	43.799999	44.560001	44.287945
20200224	43.250000	43.849998	43.029999	43.590000	43.323864
20200225	43.750000	43.750000	42.369999	42.410000	42.151070
20200226	42.860001	43.000000	41.790001	41.849998	41.594486
20200227	40.930000	41.509998	39.610001	39.610001	39.368164
20200228	38.310001	39.410000	37.389999	39.389999	39.149506
20200302	39.470001	41.139999	39.040001	41.080002	40.829189
20200303	40.840000	42.009998	39.439999	39.470001	39.229019
20200304	40.230000	40.939999	39.759998	40.880001	40.630413
20200305	39.459999	39.970001	38.560001	38.680000	38.443844
20200306	37.340000	38.779999	37.180000	38.279999	38.046284
20200309	35.910000	38.040001	35.290001	35.689999	35.472095
20200310	36.779999	37.700001	35.740002	37.619999	37.390312
20200311	36.349998	37.340000	35.950001	36.400002	36.177765
20200312	33.330002	35.770000	33.160000	33.669998	33.464428
20200313	35.439999	35.939999	32.830002	35.810001	35.591366
20200316	31.980000	32.779999	30.230000	30.379999	30.194517
20200317	31.129999	31.400000	29.280001	30.389999	30.204456
20200318	28.389999	28.959999	24.360001	25.600000	25.443701
20200319	25.340000	25.620001	23.320000	24.480000	24.330540
20200320	25.000000	25.850000	23.590000	23.780001	23.634813
20200323	23.480000	23.660000	22.010000	22.850000	22.710491
20200324	24.049999	27.250000	23.799999	27.010000	26.845093
20200325	27.170000	29.670000	26.139999	29.010000	28.832882
20200326	29.340000	31.010000	29.020000	30.410000	30.224335
20200327	29.850000	30.730000	29.070000	29.930000	29.747265
20200330	29.620001	30.340000	29.059999	29.629999	29.449095
20200331	29.320000	30.500000	29.139999	29.760000	29.578302
20200401	28.400000	28.400000	27.020000	27.360001	27.192957
20200402	27.120001	29.040001	26.959999	27.740000	27.570635
20200403	27.660000	28.610001	27.469999	28.370001	28.196791
20200406	29.870001	31.030001	29.870001	30.840000	30.651709
20200407	32.259998	32.630001	31.260000	31.299999	31.108900
20200408	31.160000	32.910000	31.049999	32.689999	32.490414
20200409	33.220001	34.110001	32.529999	32.840000	32.639500
20200413	32.639999	32.959999	31.139999	31.459999	31.267923
20200414	32.310001	33.160000	31.879999	32.209999	32.013344
20200415	31.240000	32.730000	30.610001	31.120001	30.930000
20200416	30.780001	30.850000	29.580000	30.480000	30.480000
20200417	31.590000	32.580002	31.360001	31.660000	31.660000
20200420	30.930000	31.520000	30.559999	31.360001	31.360001
20200421	30.190001	30.530001	29.139999	29.250000	29.250000
20200422	30.040001	30.090000	29.250000	29.459999	29.459999
