Date	Open	High	Low	Close	Volume
20200203	120.489998	122.050003	119.930000	121.339996	120.822227
20200204	122.839996	123.980003	121.519997	122.529999	122.007149
20200205	123.589996	125.099998	122.599998	124.860001	124.327209
20200206	125.300003	125.440002	123.610001	124.360001	123.829346
20200207	123.699997	123.860001	122.269997	122.610001	122.086815
20200210	122.050003	122.050003	120.360001	120.889999	120.374153
20200211	121.459999	122.940002	121.199997	121.949997	121.429626
20200212	122.650002	122.720001	121.510002	122.360001	121.837875
20200213	121.900002	121.900002	120.320000	120.459999	119.945984
20200214	120.410004	120.940002	119.510002	120.150002	119.637306
20200218	119.739998	120.440002	118.910004	119.330002	118.820808
20200219	119.580002	120.000000	119.139999	119.519997	119.009995
20200220	118.620003	119.830002	118.309998	119.360001	119.360001
20200221	118.980003	119.290001	118.370003	118.910004	118.910004
20200224	116.709999	117.059998	114.489998	115.269997	115.269997
20200225	115.690002	115.739998	109.519997	109.629997	109.629997
20200226	110.489998	111.629997	108.980003	109.089996	109.089996
20200227	107.620003	109.129997	103.559998	103.589996	103.589996
20200228	100.580002	104.489998	100.230003	104.449997	104.449997
20200302	104.919998	106.309998	104.070000	105.309998	105.309998
20200303	105.070000	106.949997	102.750000	104.389999	104.389999
20200304	105.879997	107.959999	104.949997	107.959999	107.959999
20200305	105.220001	105.320000	101.029999	102.650002	102.650002
20200306	99.660004	102.820000	99.570000	101.449997	101.449997
20200309	95.790001	103.029999	95.470001	97.410004	97.410004
20200310	100.269997	102.000000	97.529999	101.980003	101.980003
20200311	99.180000	99.180000	95.220001	96.970001	96.970001
20200312	87.510002	92.309998	86.440002	89.900002	89.900002
20200313	94.309998	95.330002	90.110001	94.190002	94.190002
20200316	82.930000	88.559998	81.199997	82.419998	82.419998
20200317	84.330002	84.330002	79.610001	82.620003	82.620003
20200318	78.550003	80.000000	70.309998	72.919998	72.919998
20200319	72.209999	78.830002	69.769997	76.559998	76.559998
20200320	77.110001	80.459999	71.750000	79.720001	79.720001
20200323	78.379997	80.629997	71.529999	72.500000	72.500000
20200324	75.820000	82.239998	75.620003	82.050003	82.050003
20200325	77.769997	89.580002	77.769997	85.709999	85.709999
20200326	86.239998	90.389999	85.000000	89.760002	89.760002
20200327	86.190002	87.279999	84.449997	85.000000	85.000000
20200330	85.849998	87.199997	83.669998	85.919998	85.919998
20200331	85.139999	87.330002	83.120003	83.599998	83.599998
20200401	80.559998	82.300003	79.699997	79.889999	79.889999
20200402	79.589996	82.320000	78.010002	80.730003	80.730003
20200403	80.389999	81.680000	80.169998	80.430000	80.430000
20200406	84.389999	87.680000	84.000000	86.629997	86.629997
20200407	89.089996	93.279999	89.089996	91.089996	91.089996
20200408	91.989998	94.099998	91.070000	93.349998	93.349998
20200409	94.720001	98.809998	94.199997	97.169998	97.169998
20200413	95.919998	96.989998	93.019997	93.680000	93.680000
20200414	95.889999	95.889999	92.230003	92.790001	92.790001
20200415	90.410004	91.529999	87.800003	88.480003	88.480003
20200416	88.900002	89.480003	86.300003	88.900002	88.900002
20200417	91.480003	94.019997	91.190002	93.309998	93.309998
20200420	91.629997	93.300003	90.169998	91.099998	91.099998
20200421	88.769997	89.839996	87.750000	88.010002	88.010002
20200422	89.760002	90.550003	89.059998	89.370003	89.370003
