Date	Open	High	Low	Close	Volume
20200203	39.389999	39.889999	39.180000	39.470001	39.405968
20200204	40.099998	40.299999	39.400002	39.410000	39.346066
20200205	40.009998	40.580002	39.790001	40.360001	40.294525
20200206	40.480000	40.480000	39.080002	39.110001	39.046551
20200207	38.840000	39.230000	38.349998	38.889999	38.826908
20200210	38.750000	39.439999	38.689999	39.360001	39.296146
20200211	39.650002	40.439999	39.509998	40.180000	40.114815
20200212	40.389999	41.130001	40.119999	40.770000	40.703857
20200213	40.490002	40.889999	40.389999	40.799999	40.733810
20200214	40.880001	40.900002	40.189999	40.500000	40.434296
20200218	40.259998	40.650002	39.830002	40.150002	40.084866
20200219	40.270000	40.279999	39.400002	39.500000	39.435917
20200220	39.439999	39.730000	39.209999	39.419998	39.356045
20200221	39.130001	40.090000	39.060001	40.020000	39.955074
20200224	39.029999	39.759998	38.240002	39.430000	39.366032
20200225	39.580002	39.580002	37.939999	37.959999	37.898415
20200226	38.180000	38.500000	36.880001	37.080002	37.019848
20200227	38.330002	40.090000	37.650002	39.419998	39.356045
20200228	38.590000	39.419998	37.400002	38.130001	38.068142
20200302	37.730000	39.040001	37.099998	38.830002	38.767006
20200303	38.910000	39.869999	38.020000	38.560001	38.497444
20200304	39.139999	40.290001	38.980000	40.240002	40.174721
20200305	39.380001	39.770000	38.910000	39.119999	39.056534
20200306	37.820000	38.580002	37.529999	38.240002	38.177963
20200309	35.290001	35.410000	33.160000	33.220001	33.166107
20200310	34.119999	34.290001	32.220001	34.139999	34.084614
20200311	33.060001	33.259998	31.790001	32.540001	32.487209
20200312	30.440001	31.160000	28.950001	29.610001	29.561964
20200313	31.080000	32.450001	29.870001	32.450001	32.397358
20200316	29.120001	30.900000	28.559999	29.150000	29.102709
20200317	29.650000	31.190001	29.000000	29.860001	29.811558
20200318	27.980000	28.610001	26.299999	27.160000	27.115938
20200319	27.040001	29.139999	26.410000	26.980000	26.936230
20200320	27.420000	27.570000	25.040001	25.129999	25.089230
20200323	25.080000	25.920000	23.770000	23.799999	23.761389
20200324	24.799999	27.799999	24.770000	27.600000	27.555223
20200325	27.610001	31.370001	27.330000	30.410000	30.360664
20200326	30.850000	32.330002	30.410000	31.490000	31.438913
20200327	30.170000	30.510000	29.160000	29.840000	29.791590
20200330	29.860001	30.889999	28.730000	30.510000	30.460503
20200331	30.430000	32.259998	30.030001	31.730000	31.678524
20200401	30.280001	30.969999	29.520000	30.790001	30.740049
20200402	30.760000	32.209999	30.309999	30.820000	30.770000
20200403	30.860001	31.000000	29.860001	30.559999	30.559999
20200406	31.680000	33.310001	31.680000	33.130001	33.130001
20200407	34.009998	34.320000	32.490002	32.580002	32.580002
20200408	33.049999	34.169998	32.660000	33.799999	33.799999
20200409	34.180000	34.970001	32.740002	33.549999	33.549999
20200413	33.430000	33.450001	32.080002	32.320000	32.320000
20200414	33.180000	34.139999	32.689999	33.700001	33.700001
20200415	32.560001	33.040001	32.119999	32.549999	32.549999
20200416	32.529999	32.799999	31.650000	32.650002	32.650002
20200417	33.400002	34.970001	33.340000	34.910000	34.910000
20200420	34.000000	34.689999	33.400002	33.639999	33.639999
20200421	33.450001	34.009998	32.410000	32.439999	32.439999
20200422	33.290001	33.380001	32.610001	32.959999	32.959999
