Date	Open	High	Low	Close	Volume
20200203	58.380001	59.189999	58.150002	58.220001	57.885689
20200204	59.220001	59.509998	58.709999	59.380001	59.039024
20200205	60.150002	61.349998	60.110001	61.130001	60.778976
20200206	61.279999	61.349998	60.040001	60.070000	59.725063
20200207	59.580002	59.810001	59.090000	59.230000	58.889885
20200210	59.020000	59.450001	58.759998	59.380001	59.039024
20200211	59.779999	60.419998	59.779999	60.020000	59.675350
20200212	60.180000	61.330002	60.180000	61.119999	60.769032
20200213	61.169998	61.169998	60.290001	60.400002	60.053169
20200214	60.320000	60.810001	60.040001	60.200001	59.854317
20200218	59.910000	59.930000	58.970001	59.380001	59.039024
20200219	59.430000	59.830002	59.000000	59.500000	59.158337
20200220	59.180000	59.900002	58.930000	59.259998	58.919712
20200221	58.840000	59.610001	58.439999	59.209999	58.869999
20200224	57.110001	57.299999	56.320000	56.669998	56.669998
20200225	56.520000	56.889999	53.380001	53.459999	53.459999
20200226	53.889999	54.310001	52.250000	52.259998	52.259998
20200227	51.169998	52.529999	50.250000	50.759998	50.759998
20200228	48.889999	50.500000	48.740002	50.410000	50.410000
20200302	50.709999	51.070000	49.060001	51.070000	51.070000
20200303	50.919998	51.810001	48.119999	48.439999	48.439999
20200304	49.279999	50.330002	48.130001	50.180000	50.180000
20200305	48.580002	49.529999	47.400002	47.689999	47.689999
20200306	46.270000	49.139999	46.110001	49.060001	49.060001
20200309	45.840000	47.630001	44.099998	44.669998	44.669998
20200310	46.279999	48.130001	43.830002	48.099998	48.099998
20200311	46.590000	47.110001	45.910000	46.509998	46.509998
20200312	43.759998	46.020000	42.869999	43.560001	43.560001
20200313	45.950001	47.279999	44.209999	47.230000	47.230000
20200316	41.840000	45.110001	41.540001	43.439999	43.439999
20200317	44.270000	44.689999	40.040001	41.450001	41.450001
20200318	38.770000	39.950001	35.930000	39.380001	39.380001
20200319	38.549999	40.860001	36.720001	38.200001	38.200001
20200320	38.849998	38.849998	34.380001	35.000000	35.000000
20200323	34.599998	35.639999	32.380001	34.169998	34.169998
20200324	35.770000	39.480000	35.419998	39.180000	39.180000
20200325	39.240002	42.470001	37.110001	39.869999	39.869999
20200326	40.430000	43.750000	38.840000	43.459999	43.459999
20200327	41.590000	42.380001	38.840000	39.009998	39.009998
20200330	39.189999	41.959999	39.009998	40.310001	40.310001
20200331	39.770000	40.470001	37.049999	37.750000	37.750000
20200401	36.180000	38.290001	35.380001	38.169998	38.169998
20200402	37.680000	39.270000	37.060001	37.830002	37.830002
20200403	38.029999	38.580002	37.270000	37.970001	37.970001
20200406	38.220001	38.930000	35.230000	38.150002	38.150002
20200407	39.910000	41.209999	39.180000	40.169998	40.169998
20200408	41.029999	41.730000	39.700001	41.400002	41.400002
20200409	42.369999	43.959999	41.880001	43.279999	43.279999
20200413	42.790001	43.200001	40.250000	40.930000	40.930000
20200414	41.470001	42.330002	40.880001	41.740002	41.740002
20200415	40.490002	41.910000	39.529999	41.180000	41.180000
20200416	41.299999	41.299999	38.950001	40.400002	40.400002
20200417	41.849998	43.400002	41.509998	43.240002	43.240002
20200420	41.369999	42.630001	41.110001	41.189999	41.189999
20200421	39.389999	41.619999	39.270000	41.299999	41.299999
20200422	42.189999	42.380001	41.150002	41.250000	41.250000
