Date	Open	High	Low	Close	Volume
20200203	192.850006	197.160004	192.490005	194.559998	193.573410
20200204	198.660004	203.000000	198.660004	202.389999	201.363708
20200205	204.929993	205.929993	203.410004	205.270004	204.229111
20200206	206.440002	206.440002	203.649994	205.029999	203.990326
20200207	203.630005	204.289993	202.070007	202.720001	201.692032
20200210	201.860001	203.949997	201.419998	203.820007	202.786469
20200211	204.440002	205.880005	203.500000	203.960007	202.925751
20200212	205.699997	206.460007	203.770004	205.850006	204.806168
20200213	204.550003	205.910004	200.630005	201.149994	200.129990
20200214	200.639999	201.240005	198.649994	200.679993	200.679993
20200218	199.449997	199.919998	197.070007	198.740005	198.740005
20200219	199.690002	200.550003	197.199997	200.360001	200.360001
20200220	200.119995	205.429993	199.679993	205.309998	205.309998
20200221	203.470001	209.610001	202.220001	209.369995	209.369995
20200224	200.940002	203.380005	199.800003	202.759995	202.759995
20200225	203.559998	204.820007	196.089996	196.869995	196.869995
20200226	198.580002	201.990005	194.889999	195.160004	195.160004
20200227	189.889999	195.039993	186.110001	186.199997	186.199997
20200228	179.580002	184.419998	177.750000	183.500000	183.500000
20200302	184.669998	191.070007	183.279999	190.589996	190.589996
20200303	190.399994	198.100006	183.580002	183.940002	183.940002
20200304	187.369995	192.669998	185.000000	192.250000	192.250000
20200305	185.520004	189.559998	182.759995	183.399994	183.399994
20200306	177.690002	180.940002	174.500000	178.850006	178.850006
20200309	156.419998	165.460007	151.449997	152.639999	152.639999
20200310	158.259995	169.449997	154.279999	169.399994	169.399994
20200311	157.440002	164.460007	156.210007	159.089996	159.089996
20200312	145.130005	157.229996	144.970001	149.589996	149.589996
20200313	157.880005	166.350006	152.279999	166.179993	166.179993
20200316	146.169998	163.830002	145.270004	153.309998	153.309998
20200317	156.360001	159.130005	148.100006	155.160004	155.160004
20200318	143.570007	144.009995	116.980003	128.559998	128.559998
20200319	127.260002	137.800003	119.900002	135.080002	135.080002
20200320	137.580002	141.589996	124.459999	126.790001	126.790001
20200323	122.470001	125.339996	115.379997	120.680000	120.680000
20200324	129.490005	146.279999	129.490005	141.899994	141.899994
20200325	143.630005	159.990005	138.580002	154.559998	154.559998
20200326	157.979996	159.369995	150.220001	159.289993	159.289993
20200327	150.080002	156.619995	146.520004	151.460007	151.460007
20200330	151.389999	153.600006	148.679993	152.259995	152.259995
20200331	150.229996	152.850006	145.509995	150.910004	150.910004
20200401	142.960007	145.130005	140.059998	143.679993	143.679993
20200402	142.470001	152.300003	142.470001	149.710007	149.710007
20200403	150.279999	152.520004	144.839996	146.779999	146.779999
20200406	155.929993	159.300003	154.380005	157.410004	157.410004
20200407	163.500000	169.899994	160.009995	160.080002	160.080002
20200408	162.300003	169.690002	161.839996	167.800003	167.800003
20200409	170.360001	174.000000	161.839996	167.639999	167.639999
20200413	166.059998	167.360001	159.199997	160.539993	160.539993
20200414	164.509995	165.690002	159.490005	163.789993	163.789993
20200415	158.630005	159.610001	154.800003	158.960007	158.960007
20200416	159.179993	160.160004	154.850006	158.949997	158.949997
20200417	165.449997	170.399994	164.910004	168.589996	168.589996
20200420	164.399994	171.039993	162.039993	168.539993	168.539993
20200421	163.460007	167.389999	163.460007	164.460007	164.460007
20200422	167.380005	169.440002	164.100006	166.190002	166.190002
20200423	167.570007	173.339996	167.169998	169.339996	169.339996
20200424	171.929993	175.539993	169.320007	174.589996	174.589996
20200427	175.960007	182.639999	175.740005	181.679993	181.679993
20200428	194.220001	199.970001	191.139999	196.100006	196.100006
20200429	197.000000	200.570007	193.860001	197.000000	197.000000
20200430	193.639999	194.410004	188.440002	189.479996	189.479996
20200501	185.110001	186.479996	181.029999	183.190002	183.190002
20200504	180.000000	188.899994	177.800003	187.919998	187.919998
20200505	191.240005	192.949997	188.470001	190.990005	190.990005
20200506	190.820007	191.830002	187.589996	189.210007	189.210007
20200507	192.729996	194.149994	191.029999	192.029999	192.029999
