Date	Open	High	Low	Close	Volume
20200203	95.389999	96.279999	95.309998	95.839996	95.333603
20200204	96.330002	96.839996	96.190002	96.230003	95.721542
20200205	96.599998	97.080002	96.230003	96.889999	96.378052
20200206	96.940002	97.180000	96.519997	96.599998	96.089584
20200207	96.930000	97.540001	96.570000	97.139999	96.626732
20200210	97.139999	98.040001	97.010002	97.830002	97.313087
20200211	98.089996	98.440002	97.839996	98.050003	97.531929
20200212	97.730003	98.809998	97.309998	98.470001	97.949707
20200213	98.239998	99.349998	98.160004	99.010002	98.486855
20200214	99.190002	100.660004	99.059998	100.430000	99.899353
20200218	100.459999	100.459999	99.809998	100.269997	99.740196
20200219	100.489998	100.910004	99.949997	100.040001	99.511414
20200220	99.550003	99.900002	98.470001	99.120003	98.596275
20200221	99.110001	99.709999	98.820000	99.430000	98.904633
20200224	98.489998	99.489998	98.089996	98.930000	98.407280
20200225	99.089996	99.820000	96.940002	97.050003	96.537216
20200226	97.349998	98.330002	96.839996	96.900002	96.388000
20200227	96.160004	97.239998	91.330002	91.339996	90.857376
20200228	90.050003	90.650002	86.959999	90.260002	89.783089
20200302	90.900002	94.290001	90.389999	94.080002	93.582901
20200303	94.059998	95.690002	90.800003	91.309998	90.827538
20200304	93.629997	96.620003	93.519997	96.559998	96.049797
20200305	94.900002	96.400002	94.070000	94.919998	94.418465
20200306	92.900002	95.870003	92.000000	95.519997	95.015289
20200309	91.470001	94.839996	90.000000	92.040001	91.553680
20200310	93.809998	94.110001	90.000000	93.339996	92.846809
20200311	91.849998	92.860001	89.930000	91.279999	90.797699
20200312	84.989998	86.449997	79.580002	79.589996	79.169464
20200313	82.860001	84.989998	78.800003	84.980003	84.530991
20200316	76.500000	80.889999	75.680000	76.120003	75.717804
20200317	77.629997	82.300003	76.699997	81.639999	81.208633
20200318	78.400002	79.980003	73.809998	75.889999	75.489014
20200319	75.300003	75.370003	71.910004	74.000000	73.609001
20200320	73.639999	74.500000	70.519997	71.540001	71.162003
20200323	70.690002	71.860001	65.370003	66.260002	65.909897
20200324	68.750000	72.290001	68.430000	71.489998	71.112259
20200325	71.000000	73.220001	68.129997	71.739998	71.360939
20200326	72.459999	77.970001	72.000000	77.400002	76.991035
20200327	74.830002	78.870003	73.930000	75.599998	75.200546
20200330	77.160004	78.120003	75.099998	76.650002	76.245003
20200331	75.349998	76.129997	74.209999	75.059998	75.059998
20200401	72.870003	72.919998	71.320000	72.709999	72.709999
20200402	71.860001	75.660004	71.800003	75.230003	75.230003
20200403	74.099998	75.389999	71.699997	72.529999	72.529999
20200406	74.980003	75.500000	73.750000	74.110001	74.110001
20200407	76.529999	77.430000	74.769997	74.959999	74.959999
20200408	75.730003	78.580002	74.820000	78.239998	78.239998
20200409	78.919998	82.919998	78.919998	81.820000	81.820000
20200413	81.500000	81.820000	77.680000	78.889999	78.889999
20200414	79.160004	79.889999	78.309998	79.180000	79.180000
20200415	77.500000	77.959999	75.769997	77.000000	77.000000
20200416	77.129997	77.750000	75.610001	77.360001	77.360001
20200417	79.779999	80.580002	78.260002	80.279999	80.279999
20200420	79.849998	80.089996	77.900002	78.290001	78.290001
20200421	76.690002	77.860001	76.220001	76.570000	76.570000
20200422	77.559998	78.970001	77.169998	77.870003	77.870003
20200423	77.849998	78.269997	76.349998	76.500000	76.500000
20200424	76.809998	76.970001	75.339996	76.099998	76.099998
20200427	76.870003	79.150002	76.529999	78.620003	78.620003
20200428	80.599998	80.599998	78.559998	78.980003	78.980003
20200429	80.290001	80.610001	78.519997	79.769997	79.769997
20200430	78.419998	79.290001	77.250000	78.339996	78.339996
20200501	77.309998	77.389999	76.320000	77.129997	77.129997
20200504	76.510002	77.440002	76.190002	77.199997	77.199997
20200505	77.949997	78.320000	77.389999	77.480003	77.480003
20200506	85.230003	85.230003	78.500000	78.550003	78.550003
20200507	79.379997	81.764999	79.150002	81.764999	81.764999
