Date	Open	High	Low	Close	Volume
20200203	244.000000	246.639999	242.839996	244.690002	244.690002
20200204	251.130005	255.990005	249.820007	254.729996	254.729996
20200205	259.309998	263.529999	258.119995	262.700012	262.700012
20200206	265.119995	266.519989	261.380005	262.089996	262.089996
20200207	259.959991	260.420013	256.429993	257.149994	257.149994
20200210	255.429993	257.690002	254.669998	256.309998	256.309998
20200211	258.070007	265.119995	257.209991	263.640015	263.640015
20200212	265.000000	267.529999	264.459991	265.100006	265.100006
20200213	262.649994	265.980011	261.700012	265.950012	265.950012
20200214	264.609985	267.500000	263.940002	265.420013	265.420013
20200218	264.329987	265.510010	258.769989	261.109985	261.109985
20200219	263.179993	267.399994	261.929993	266.989990	266.989990
20200220	264.119995	270.950012	263.010010	270.790009	270.790009
20200221	268.339996	270.000000	259.510010	261.420013	261.420013
20200224	249.699997	250.350006	241.500000	243.270004	243.270004
20200225	244.869995	245.179993	229.869995	232.160004	232.160004
20200226	234.880005	235.880005	224.190002	224.300003	224.300003
20200227	216.270004	223.610001	208.240005	211.369995	211.369995
20200228	203.119995	211.289993	199.029999	208.160004	208.160004
20200302	209.559998	216.889999	202.139999	216.750000	216.750000
20200303	215.759995	218.429993	195.830002	198.630005	198.630005
20200304	202.119995	202.710007	193.039993	202.380005	202.380005
20200305	194.770004	194.770004	184.000000	185.059998	185.059998
20200306	174.990005	182.779999	169.240005	174.440002	174.440002
20200309	153.729996	160.330002	144.669998	148.149994	148.149994
20200310	157.570007	165.369995	150.259995	161.970001	161.970001
20200311	156.020004	159.300003	145.979996	148.750000	148.750000
20200312	133.899994	148.600006	127.559998	136.960007	136.960007
20200313	148.940002	157.070007	140.369995	156.669998	156.669998
20200316	132.699997	137.690002	127.389999	130.979996	130.979996
20200317	135.169998	150.330002	128.080002	149.369995	149.369995
20200318	138.830002	154.220001	135.550003	150.509995	150.509995
20200319	147.389999	182.000000	146.759995	168.169998	168.169998
20200320	169.660004	173.860001	149.149994	150.639999	150.639999
20200323	152.270004	152.839996	135.630005	143.210007	143.210007
20200324	154.750000	159.380005	149.119995	158.369995	158.369995
20200325	161.970001	171.529999	150.169998	165.000000	165.000000
20200326	166.550003	173.639999	161.009995	171.529999	171.529999
20200327	164.410004	164.410004	156.009995	159.339996	159.339996
20200330	155.850006	163.449997	150.600006	155.779999	155.779999
20200331	154.199997	157.919998	149.259995	151.080002	151.080002
20200401	142.070007	144.539993	138.440002	140.009995	140.009995
20200402	136.889999	149.929993	136.889999	142.949997	142.949997
20200403	141.550003	144.380005	136.630005	139.339996	139.339996
20200406	149.220001	160.309998	146.919998	159.320007	159.320007
20200407	169.630005	174.190002	160.059998	160.100006	160.100006
20200408	163.009995	170.190002	161.009995	168.580002	168.580002
20200409	173.649994	186.839996	173.240005	185.690002	185.690002
20200413	181.399994	185.399994	167.029999	170.410004	170.410004
20200414	173.880005	178.119995	169.839996	172.059998	172.059998
20200415	163.199997	166.570007	159.229996	161.889999	161.889999
20200416	160.270004	163.460007	153.449997	161.360001	161.360001
20200417	169.589996	175.979996	168.009995	173.690002	173.690002
20200420	167.949997	180.210007	166.270004	174.669998	174.669998
20200421	169.139999	171.710007	165.070007	165.490005	165.490005
20200422	171.369995	174.220001	166.940002	167.500000	167.500000
20200423	169.820007	174.000000	168.270004	171.000000	171.000000
20200424	176.490005	185.820007	165.119995	184.000000	184.000000
20200427	184.369995	193.289993	180.020004	192.630005	192.630005
20200428	198.369995	202.589996	192.240005	193.250000	193.250000
20200429	201.020004	204.839996	198.270004	201.429993	201.429993
20200430	194.270004	199.410004	191.770004	193.169998	193.169998
20200501	187.229996	187.669998	180.130005	184.860001	184.860001
20200504	181.419998	183.089996	175.259995	182.350006	182.350006
20200505	189.029999	192.429993	179.500000	180.839996	180.839996
20200506	184.199997	185.970001	177.309998	180.009995	180.009995
20200507	181.770004	191.074997	181.770004	189.880005	189.880005
