Date	Open	High	Low	Close	Volume
20200203	92.290001	93.550003	92.099998	92.180000	91.608116
20200204	92.730003	94.290001	92.449997	93.970001	93.387009
20200205	94.169998	95.739998	93.800003	95.290001	94.698822
20200206	95.599998	95.870003	94.000000	94.250000	93.665276
20200207	94.279999	94.550003	93.839996	94.110001	93.526138
20200210	94.559998	94.559998	93.639999	94.019997	93.436699
20200211	94.099998	95.269997	94.099998	94.589996	94.003159
20200212	94.900002	95.820000	94.610001	94.830002	94.241676
20200213	94.349998	95.040001	94.349998	94.660004	94.072731
20200214	94.760002	95.400002	94.550003	95.040001	94.450371
20200218	95.099998	95.790001	93.970001	95.769997	95.175842
20200219	95.839996	95.930000	93.730003	93.930000	93.347260
20200220	93.900002	94.660004	93.620003	94.160004	93.575836
20200221	93.940002	94.470001	93.080002	93.379997	92.800667
20200224	92.099998	92.419998	90.000000	90.930000	90.365868
20200225	91.000000	91.000000	85.820000	85.900002	85.367081
20200226	86.330002	86.540001	84.889999	85.029999	84.502472
20200227	83.769997	84.370003	80.440002	80.440002	79.940948
20200228	78.830002	79.639999	75.830002	78.440002	77.953362
20200302	78.910004	81.680000	77.080002	81.370003	80.865181
20200303	81.339996	83.330002	80.040001	80.709999	80.209274
20200304	81.889999	85.089996	81.790001	84.599998	84.075142
20200305	82.940002	84.169998	80.949997	82.720001	82.206802
20200306	79.860001	81.360001	78.209999	80.580002	80.080086
20200309	76.260002	78.599998	73.250000	73.400002	72.944626
20200310	75.330002	75.529999	71.110001	74.940002	74.475075
20200311	72.800003	73.080002	67.279999	67.989998	67.568184
20200312	62.919998	66.010002	58.299999	60.000000	59.627758
20200313	63.540001	66.150002	61.009998	65.919998	65.511032
20200316	59.720001	62.000000	52.380001	52.619999	52.293545
20200317	54.009998	59.900002	51.730000	58.720001	58.355701
20200318	54.049999	56.380001	48.060001	49.709999	49.401596
20200319	49.500000	53.040001	46.360001	49.980000	49.669922
20200320	50.610001	55.700001	45.389999	45.840000	45.555607
20200323	45.820000	45.820000	39.310001	41.139999	40.884766
20200324	44.160000	47.599998	41.410000	47.130001	46.837605
20200325	43.389999	51.160000	42.820000	47.939999	47.642578
20200326	48.590000	49.470001	45.090000	48.700001	48.397865
20200327	46.820000	50.080002	44.849998	47.549999	47.254997
20200330	47.509998	47.990002	44.119999	46.080002	46.080002
20200331	45.790001	46.330002	41.730000	43.099998	43.099998
20200401	40.060001	40.779999	37.500000	39.730000	39.730000
20200402	38.889999	40.889999	38.389999	39.959999	39.959999
20200403	39.580002	40.529999	37.799999	38.639999	38.639999
20200406	40.889999	44.869999	40.470001	43.150002	43.150002
20200407	45.959999	48.270000	45.020000	46.180000	46.180000
20200408	46.590000	49.360001	45.340000	48.720001	48.720001
20200409	50.110001	56.349998	49.910000	54.169998	54.169998
20200413	53.910000	54.000000	50.770000	52.610001	52.610001
20200414	53.349998	55.290001	52.060001	52.599998	52.599998
20200415	50.509998	51.340000	48.380001	51.259998	51.259998
20200416	51.189999	51.189999	48.990002	49.340000	49.340000
20200417	51.000000	52.080002	50.220001	51.259998	51.259998
20200420	49.950001	50.139999	47.029999	47.529999	47.529999
20200421	46.009998	46.919998	44.330002	44.860001	44.860001
20200422	46.119999	46.000000	43.980000	44.650002	44.650002
