Date	Open	High	Low	Close	Volume
20200203	148.770004	150.850006	148.500000	150.259995	150.259995
20200204	152.580002	155.919998	152.020004	155.809998	155.809998
20200205	157.440002	158.000000	153.570007	154.210007	154.210007
20200206	154.800003	156.130005	154.199997	154.770004	154.770004
20200207	154.500000	155.179993	153.350006	154.279999	154.279999
20200210	153.639999	157.110001	153.559998	156.919998	156.919998
20200211	157.880005	159.529999	157.149994	158.220001	158.220001
20200212	158.199997	160.020004	156.949997	159.520004	159.520004
20200213	158.779999	161.929993	158.279999	161.369995	161.369995
20200214	162.009995	164.100006	162.009995	163.350006	163.350006
20200218	164.009995	164.490005	162.380005	162.919998	162.919998
20200219	165.240005	166.869995	164.520004	164.990005	164.990005
20200220	159.059998	160.500000	151.050003	155.080002	155.080002
20200221	153.520004	154.240005	148.160004	149.330002	149.330002
20200224	144.970001	146.929993	141.300003	145.940002	145.940002
20200225	147.350006	148.029999	141.559998	142.160004	142.160004
20200226	142.960007	145.830002	141.100006	142.039993	142.039993
20200227	139.839996	141.759995	136.119995	136.830002	136.830002
20200228	131.509995	138.070007	131.509995	137.929993	137.929993
20200302	137.960007	141.729996	135.410004	141.630005	141.630005
20200303	141.220001	144.330002	138.190002	140.119995	140.119995
20200304	142.580002	146.960007	141.619995	146.820007	146.820007
20200305	142.910004	145.320007	141.309998	142.639999	142.639999
20200306	136.880005	139.759995	133.710007	137.720001	137.720001
20200309	128.110001	132.669998	126.000000	127.699997	127.699997
20200310	131.389999	135.289993	128.070007	135.190002	135.190002
20200311	131.550003	135.330002	128.820007	131.740005	131.740005
20200312	123.120003	129.039993	119.059998	119.150002	119.150002
20200313	124.910004	129.970001	116.470001	129.880005	129.880005
20200316	112.589996	125.379997	109.129997	112.750000	112.750000
20200317	115.019997	120.650002	111.099998	119.620003	119.620003
20200318	112.889999	115.680000	108.519997	114.230003	114.230003
20200319	113.849998	117.300003	108.790001	114.959999	114.959999
20200320	116.599998	119.559998	109.209999	110.000000	110.000000
20200323	110.349998	112.480003	104.900002	108.480003	108.480003
20200324	114.279999	121.470001	114.010002	120.629997	120.629997
20200325	119.989998	125.629997	117.910004	121.320000	121.320000
20200326	122.239998	128.339996	121.559998	127.970001	127.970001
20200327	123.930000	128.350006	120.169998	124.379997	124.379997
20200330	125.699997	130.460007	124.430000	129.309998	129.309998
20200331	128.229996	131.000000	126.730003	128.789993	128.789993
20200401	122.879997	127.809998	122.510002	125.959999	125.959999
20200402	124.680000	128.789993	124.000000	128.649994	128.649994
20200403	127.809998	128.639999	123.940002	124.550003	124.550003
20200406	130.360001	136.559998	129.110001	135.910004	135.910004
20200407	138.199997	140.770004	135.339996	135.509995	135.509995
20200408	138.649994	139.630005	135.279999	138.850006	138.850006
20200409	139.679993	141.029999	136.100006	136.580002	136.580002
20200413	133.850006	140.520004	133.270004	140.130005	140.130005
20200414	142.199997	147.830002	142.029999	147.429993	147.429993
20200415	145.169998	147.889999	144.279999	146.169998	146.169998
20200416	147.089996	152.050003	147.029999	151.830002	151.830002
20200417	155.529999	156.089996	153.070007	154.979996	154.979996
20200420	151.910004	154.669998	150.990005	151.009995	151.009995
20200421	149.429993	149.919998	142.860001	144.839996	144.839996
20200422	148.520004	151.320007	147.009995	150.720001	150.720001
20200423	149.740005	152.779999	149.360001	151.990005	151.990005
20200424	152.990005	153.440002	150.149994	153.029999	153.029999
20200427	155.600006	155.600006	153.529999	154.139999	154.139999
20200428	155.000000	155.899994	151.449997	151.830002	151.830002
20200429	153.440002	158.139999	152.419998	158.009995	158.009995
20200430	157.580002	158.960007	156.639999	157.119995	157.119995
20200501	153.679993	155.490005	148.199997	149.639999	149.639999
20200504	148.899994	151.850006	147.979996	151.080002	151.080002
20200505	151.880005	155.160004	151.610001	154.240005	154.240005
20200506	155.009995	157.970001	154.589996	156.830002	156.830002
20200507	158.000000	159.639999	157.854996	159.345001	159.345001
