Date	Open	High	Low	Close	Volume
20200203	133.380005	135.800003	132.529999	132.800003	130.796127
20200204	131.580002	139.240005	130.009995	137.289993	135.218369
20200205	137.270004	140.630005	137.250000	140.470001	138.350388
20200206	141.779999	142.639999	140.020004	140.860001	138.734497
20200207	140.320007	141.039993	139.289993	141.020004	138.892090
20200210	142.110001	143.100006	139.830002	143.059998	140.901306
20200211	143.500000	144.300003	139.869995	142.080002	139.936096
20200212	141.990005	142.479996	137.979996	139.169998	137.069992
20200213	136.929993	140.039993	136.509995	138.660004	138.660004
20200214	138.860001	139.270004	137.869995	138.919998	138.919998
20200218	138.960007	139.580002	137.850006	139.169998	139.169998
20200219	138.869995	138.869995	135.419998	137.009995	137.009995
20200220	137.020004	140.539993	136.649994	140.529999	140.529999
20200221	139.850006	142.770004	139.850006	142.250000	142.250000
20200224	140.389999	141.050003	139.369995	140.779999	140.779999
20200225	140.779999	141.039993	134.809998	135.279999	135.279999
20200226	136.339996	137.369995	132.199997	132.229996	132.229996
20200227	130.039993	132.539993	125.019997	125.800003	125.800003
20200228	123.820000	125.889999	119.910004	123.080002	123.080002
20200302	123.449997	127.330002	120.349998	127.220001	127.220001
20200303	127.080002	130.300003	121.139999	122.470001	122.470001
20200304	123.320000	124.440002	120.089996	123.489998	123.489998
20200305	121.400002	121.430000	117.599998	119.900002	119.900002
20200306	116.959999	119.690002	115.050003	119.059998	119.059998
20200309	112.500000	112.529999	103.000000	103.040001	103.040001
20200310	107.000000	112.489998	102.779999	111.440002	111.440002
20200311	108.680000	109.550003	100.000000	101.500000	101.500000
20200312	92.519997	95.739998	82.760002	83.489998	83.489998
20200313	88.849998	91.269997	81.599998	89.769997	89.769997
20200316	78.879997	78.889999	65.320000	65.790001	65.790001
20200317	66.550003	67.470001	53.959999	58.860001	58.860001
20200318	54.500000	55.540001	43.520000	44.919998	44.919998
20200319	46.310001	59.500000	45.500000	55.740002	55.740002
20200320	58.970001	63.410000	46.160000	48.139999	48.139999
20200323	48.500000	52.119999	46.049999	50.160000	50.160000
20200324	54.450001	57.180000	52.560001	54.730000	54.730000
20200325	55.720001	69.540001	54.730000	62.340000	62.340000
20200326	62.689999	65.489998	58.400002	62.099998	62.099998
20200327	60.419998	60.459999	55.700001	58.169998	58.169998
20200330	57.570000	58.000000	54.810001	56.270000	56.270000
20200331	56.610001	57.320000	52.799999	54.860001	54.860001
20200401	50.750000	51.330002	46.000000	47.040001	47.040001
20200402	46.119999	48.480000	42.250000	44.009998	44.009998
20200403	44.209999	47.119999	44.189999	46.720001	46.720001
20200406	50.599998	55.439999	49.959999	54.060001	54.060001
20200407	59.000000	64.339996	59.000000	60.880001	60.880001
20200408	62.000000	65.349998	60.299999	62.910000	62.910000
20200409	66.000000	74.169998	65.910004	68.169998	68.169998
20200413	68.599998	68.919998	62.189999	65.300003	65.300003
20200414	66.110001	69.400002	65.680000	67.750000	67.750000
20200415	63.799999	64.300003	59.799999	61.220001	61.220001
20200416	62.009998	62.340000	52.110001	53.099998	53.099998
20200417	58.360001	61.389999	55.509998	56.119999	56.119999
20200420	54.040001	57.000000	52.240002	53.830002	53.830002
20200421	52.230000	54.970001	51.799999	53.560001	53.560001
20200422	54.889999	55.150002	51.500000	52.459999	52.459999
20200423	52.630001	55.060001	51.410000	53.150002	53.150002
20200424	53.380001	53.639999	48.630001	51.490002	51.490002
20200427	52.250000	58.070000	51.500000	57.189999	57.189999
20200428	60.779999	65.660004	58.730000	63.330002	63.330002
20200429	66.370003	72.580002	66.309998	68.800003	68.800003
20200430	66.419998	68.639999	63.259998	66.769997	66.769997
20200501	63.500000	64.650002	60.590000	63.200001	63.200001
20200504	60.400002	63.509998	59.400002	63.009998	63.009998
20200505	64.940002	66.279999	60.090000	60.549999	60.549999
20200506	60.689999	61.860001	55.250000	55.740002	55.740002
20200507	55.910000	58.740002	55.270000	58.709999	58.709999
