Date	Open	High	Low	Close	Volume
20200203	161.289993	161.869995	160.550003	161.059998	159.416367
20200204	160.679993	161.660004	158.779999	158.970001	157.347702
20200205	158.940002	160.320007	158.529999	159.050003	157.426880
20200206	159.339996	161.240005	158.630005	160.500000	158.862076
20200207	160.660004	161.080002	158.360001	158.589996	156.971573
20200210	158.690002	159.250000	157.600006	157.979996	156.367798
20200211	158.529999	159.580002	158.119995	158.559998	156.941879
20200212	157.910004	159.300003	157.570007	158.889999	157.268509
20200213	158.789993	159.789993	157.770004	159.000000	157.377396
20200214	159.619995	160.960007	159.619995	160.960007	159.317398
20200218	161.500000	161.759995	160.460007	160.889999	159.248108
20200219	160.649994	161.279999	159.649994	159.729996	158.099930
20200220	159.330002	160.270004	158.839996	159.889999	158.258301
20200221	159.570007	160.589996	158.240005	158.429993	156.813202
20200224	157.839996	158.229996	154.119995	154.160004	152.586792
20200225	154.490005	154.770004	149.089996	149.570007	148.043625
20200226	149.949997	150.940002	146.460007	146.869995	145.371170
20200227	147.559998	150.669998	141.380005	141.419998	139.976791
20200228	138.100006	140.839996	134.649994	139.779999	138.353531
20200302	140.460007	143.699997	139.169998	142.229996	140.778519
20200303	142.649994	146.270004	139.940002	141.020004	139.580887
20200304	142.699997	148.000000	142.520004	147.839996	146.331268
20200305	144.919998	145.399994	140.789993	141.759995	140.313324
20200306	138.110001	142.649994	136.720001	141.869995	140.422195
20200309	134.100006	136.139999	125.110001	127.760002	126.456200
20200310	129.860001	134.020004	122.180000	130.600006	129.267227
20200311	127.269997	127.790001	117.739998	122.949997	121.695282
20200312	116.419998	116.419998	103.849998	104.269997	103.205910
20200313	109.779999	109.980003	98.160004	106.919998	105.828873
20200316	98.000000	101.820000	88.129997	88.620003	87.715630
20200317	89.290001	100.550003	88.300003	98.379997	97.376022
20200318	92.989998	102.949997	89.160004	102.400002	101.355003
20200319	101.459999	101.559998	96.440002	100.000000	100.000000
20200320	99.150002	105.839996	97.320000	99.639999	99.639999
20200323	100.309998	100.309998	88.000000	93.419998	93.419998
20200324	96.669998	105.650002	95.370003	104.029999	104.029999
20200325	104.160004	119.620003	101.129997	114.019997	114.019997
20200326	111.349998	125.279999	110.029999	123.599998	123.599998
20200327	118.949997	125.290001	116.010002	121.129997	121.129997
20200330	122.629997	124.440002	118.250000	119.989998	119.989998
20200331	118.349998	119.419998	112.139999	112.989998	112.989998
20200401	108.349998	109.470001	101.669998	103.709999	103.709999
20200402	102.180000	107.639999	101.180000	106.260002	106.260002
20200403	104.650002	107.300003	103.300003	104.279999	104.279999
20200406	108.949997	116.099998	108.440002	114.040001	114.040001
20200407	117.660004	121.220001	115.769997	116.669998	116.669998
20200408	117.650002	123.029999	116.089996	122.050003	122.050003
20200409	122.980003	133.139999	122.089996	130.529999	130.529999
20200413	129.770004	130.539993	125.129997	126.980003	126.980003
20200414	130.039993	130.800003	126.260002	127.930000	127.930000
20200415	124.070000	124.400002	120.970001	121.510002	121.510002
20200416	121.660004	122.029999	117.180000	117.459999	117.459999
20200417	120.230003	124.940002	119.889999	124.440002	124.440002
20200420	122.940002	124.629997	121.870003	122.570000	122.570000
20200421	120.160004	121.940002	117.500000	119.269997	119.269997
20200422	121.029999	124.589996	119.480003	123.660004	123.660004
20200423	124.220001	126.699997	123.360001	125.500000	125.500000
20200424	126.440002	127.860001	124.059998	126.970001	126.970001
20200427	128.080002	129.830002	127.250000	128.800003	128.800003
20200428	130.750000	132.160004	126.220001	126.959999	126.959999
20200429	130.000000	131.570007	127.050003	129.580002	129.580002
20200430	128.570007	128.570007	123.349998	123.849998	123.849998
20200501	122.050003	122.050003	119.010002	119.930000	119.930000
20200504	120.150002	125.980003	119.220001	124.120003	124.120003
20200505	122.910004	125.839996	122.250000	124.220001	124.220001
20200506	124.760002	124.839996	121.480003	122.019997	122.019997
20200507	123.800003	125.355003	123.199997	125.120003	125.120003
